rah,decd,mag,jh,zphot,arxiv,author,ra,dec,jname,zspec,field,jmag,hmag,id_zf,mass,sn,s11,muv,zeazy,mu,beta,ezphot,emuv,ebeta,logm,Muv,F150W,F200W,photz_2.5,photz_16,photz_84,photz_97.5,tform_16,tform_50,tform_84,stellar_mass_16,stellar_mass_50,stellar_mass_84,robust,zphot2,mag444,zerr,mptid,zplo,zphi,zserr,zflag,Te,Te_err,logO2pp,logO2pp_err,logO2p,logO2p_err,logOH,logOH_err,zperr,NIRCam_ID,z_Spec_flag,z_PRISM,z_spec_source,jades_id,Muv_err,beta_err,dv,dv_err,dchi2,pz,zphot_err,xi_Ha,nircam_id,gratings,zspec_err,beta_UV,beta_UV_err,beta_opt,beta_opt_err,m_uv,M_UV,z_ALT,n_lines_detected,zspec.,exptime,muv_err,emlines,id,count,F444W
,,,,,2410.01874,Rohan Naidu,3.557793,-30.35093,j001413.87m302103.34,,,,,,,,,,,,,,,,,,,"<img src=""http://grizli-cutout.herokuapp.com/thumb?ra=3.55779318&dec=-30.350929&filters=f200w-clear&size=1&scl=16&invert=True"" height=100px />",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.513348,1,,,,,71692,1,"<img src=""http://grizli-cutout.herokuapp.com/thumb?ra=3.55779318&dec=-30.350929&filters=f444w-clear&size=1&scl=24&invert=True"" height=100px />"
,,,,,2410.01874,Rohan Naidu,3.557888,-30.37017,j001413.89m302212.62,,,,,,,,,,,,,,,,,,,"<img src=""http://grizli-cutout.herokuapp.com/thumb?ra=3.55788818&dec=-30.370173&filters=f200w-clear&size=1&scl=16&invert=True"" height=100px />",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.797271,1,,,,,33918,1,"<img src=""http://grizli-cutout.herokuapp.com/thumb?ra=3.55788818&dec=-30.370173&filters=f444w-clear&size=1&scl=24&invert=True"" height=100px />"
,,,,,2410.01874,Rohan Naidu,3.557978,-30.37713,j001413.91m302237.67,2.579,,,,,,,,,,,,,,,,,,"<img src=""http://grizli-cutout.herokuapp.com/thumb?ra=3.55797848&dec=-30.3771308&filters=f200w-clear&size=1&scl=16&invert=True"" height=100px />",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.578931,4,,,,,38789,1,"<img src=""http://grizli-cutout.herokuapp.com/thumb?ra=3.55797848&dec=-30.3771308&filters=f444w-clear&size=1&scl=24&invert=True"" height=100px />"
,,,,,2410.01874,Rohan Naidu,3.557964,-30.42006,j001413.91m302512.22,,,,,,,,,,,,,,,,,,,"<img src=""http://grizli-cutout.herokuapp.com/thumb?ra=3.55796418&dec=-30.4200619&filters=f200w-clear&size=1&scl=16&invert=True"" height=100px />",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.333371,1,,,,,16318,1,"<img src=""http://grizli-cutout.herokuapp.com/thumb?ra=3.55796418&dec=-30.4200619&filters=f444w-clear&size=1&scl=24&invert=True"" height=100px />"
,,,,,2410.01874,Rohan Naidu,3.557987,-30.34295,j001413.92m302034.61,,,,,,,,,,,,,,,,,,,"<img src=""http://grizli-cutout.herokuapp.com/thumb?ra=3.55798758&dec=-30.3429482&filters=f200w-clear&size=1&scl=16&invert=True"" height=100px />",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.489172,1,,,,,66692,1,"<img src=""http://grizli-cutout.herokuapp.com/thumb?ra=3.55798758&dec=-30.3429482&filters=f444w-clear&size=1&scl=24&invert=True"" height=100px />"
,,,,,2410.01874,Rohan Naidu,3.557985,-30.34307,j001413.92m302035.06,,,,,,,,,,,,,,,,,,,"<img src=""http://grizli-cutout.herokuapp.com/thumb?ra=3.55798488&dec=-30.3430735&filters=f200w-clear&size=1&scl=16&invert=True"" height=100px />",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.479552,1,,,,,66695,1,"<img src=""http://grizli-cutout.herokuapp.com/thumb?ra=3.55798488&dec=-30.3430735&filters=f444w-clear&size=1&scl=24&invert=True"" height=100px />"
,,,,,2410.01874,Rohan Naidu,3.558042,-30.35221,j001413.93m302107.94,,,,,,,,,,,,,,,,,,,"<img src=""http://grizli-cutout.herokuapp.com/thumb?ra=3.55804198&dec=-30.3522063&filters=f200w-clear&size=1&scl=16&invert=True"" height=100px />",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.881816,1,,,,,72295,1,"<img src=""http://grizli-cutout.herokuapp.com/thumb?ra=3.55804198&dec=-30.3522063&filters=f444w-clear&size=1&scl=24&invert=True"" height=100px />"
,,,,,2410.01874,Rohan Naidu,3.558041,-30.38919,j001413.93m302321.09,,,,,,,,,,,,,,,,,,,"<img src=""http://grizli-cutout.herokuapp.com/thumb?ra=3.55804138&dec=-30.389192&filters=f200w-clear&size=1&scl=16&invert=True"" height=100px />",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.751045,1,,,,,47789,1,"<img src=""http://grizli-cutout.herokuapp.com/thumb?ra=3.55804138&dec=-30.389192&filters=f444w-clear&size=1&scl=24&invert=True"" height=100px />"
,,,,,2410.01874,Rohan Naidu,3.558029,-30.38926,j001413.93m302321.33,,,,,,,,,,,,,,,,,,,"<img src=""http://grizli-cutout.herokuapp.com/thumb?ra=3.55802868&dec=-30.3892579&filters=f200w-clear&size=1&scl=16&invert=True"" height=100px />",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.754035,1,,,,,47790,1,"<img src=""http://grizli-cutout.herokuapp.com/thumb?ra=3.55802868&dec=-30.3892579&filters=f444w-clear&size=1&scl=24&invert=True"" height=100px />"
,,,,,2410.01874,Rohan Naidu,3.558044,-30.38944,j001413.93m302321.98,,,,,,,,,,,,,,,,,,,"<img src=""http://grizli-cutout.herokuapp.com/thumb?ra=3.5580448&dec=-30.3894387&filters=f200w-clear&size=1&scl=16&invert=True"" height=100px />",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.752261,1,,,,,47791,1,"<img src=""http://grizli-cutout.herokuapp.com/thumb?ra=3.5580448&dec=-30.3894387&filters=f444w-clear&size=1&scl=24&invert=True"" height=100px />"
,,,,,2410.01874,Rohan Naidu,3.558025,-30.38961,j001413.93m302322.61,,,,,,,,,,,,,,,,,,,"<img src=""http://grizli-cutout.herokuapp.com/thumb?ra=3.55802498&dec=-30.3896141&filters=f200w-clear&size=1&scl=16&invert=True"" height=100px />",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.752308,1,,,,,47952,1,"<img src=""http://grizli-cutout.herokuapp.com/thumb?ra=3.55802498&dec=-30.3896141&filters=f444w-clear&size=1&scl=24&invert=True"" height=100px />"
,,,,,2410.01874,Rohan Naidu,3.558063,-30.33110,j001413.94m301951.95,,,,,,,,,,,,,,,,,,,"<img src=""http://grizli-cutout.herokuapp.com/thumb?ra=3.55806348&dec=-30.3310963&filters=f200w-clear&size=1&scl=16&invert=True"" height=100px />",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.775703,1,,,,,60811,1,"<img src=""http://grizli-cutout.herokuapp.com/thumb?ra=3.55806348&dec=-30.3310963&filters=f444w-clear&size=1&scl=24&invert=True"" height=100px />"
,,,,,2410.01874,Rohan Naidu,3.558145,-30.40967,j001413.95m302434.81,,,,,,,,,,,,,,,,,,,"<img src=""http://grizli-cutout.herokuapp.com/thumb?ra=3.55814538&dec=-30.40967&filters=f200w-clear&size=1&scl=16&invert=True"" height=100px />",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.027446,1,,,,,21054,1,"<img src=""http://grizli-cutout.herokuapp.com/thumb?ra=3.55814538&dec=-30.40967&filters=f444w-clear&size=1&scl=24&invert=True"" height=100px />"
,,,,,2410.01874,Rohan Naidu,3.558194,-30.37450,j001413.97m302228.20,2.408,,,,,,,,,,,,,,,,,,"<img src=""http://grizli-cutout.herokuapp.com/thumb?ra=3.55819398&dec=-30.3745008&filters=f200w-clear&size=1&scl=16&invert=True"" height=100px />",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.407846,2,,,,,37426,1,"<img src=""http://grizli-cutout.herokuapp.com/thumb?ra=3.55819398&dec=-30.3745008&filters=f444w-clear&size=1&scl=24&invert=True"" height=100px />"
,,,,,2410.01874,Rohan Naidu,3.558199,-30.39470,j001413.97m302340.92,,,,,,,,,,,,,,,,,,,"<img src=""http://grizli-cutout.herokuapp.com/thumb?ra=3.55819888&dec=-30.3947001&filters=f200w-clear&size=1&scl=16&invert=True"" height=100px />",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.981884,1,,,,,29561,1,"<img src=""http://grizli-cutout.herokuapp.com/thumb?ra=3.55819888&dec=-30.3947001&filters=f444w-clear&size=1&scl=24&invert=True"" height=100px />"
,,,,,2410.01874,Rohan Naidu,3.558191,-30.41174,j001413.97m302442.28,,,,,,,,,,,,,,,,,,,"<img src=""http://grizli-cutout.herokuapp.com/thumb?ra=3.55819148&dec=-30.4117431&filters=f200w-clear&size=1&scl=16&invert=True"" height=100px />",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.050274,1,,,,,20034,1,"<img src=""http://grizli-cutout.herokuapp.com/thumb?ra=3.55819148&dec=-30.4117431&filters=f444w-clear&size=1&scl=24&invert=True"" height=100px />"
,,,,,2410.01874,Rohan Naidu,3.558230,-30.40637,j001413.98m302422.93,,,,,,,,,,,,,,,,,,,"<img src=""http://grizli-cutout.herokuapp.com/thumb?ra=3.55822968&dec=-30.406369&filters=f200w-clear&size=1&scl=16&invert=True"" height=100px />",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.329344,1,,,,,22865,1,"<img src=""http://grizli-cutout.herokuapp.com/thumb?ra=3.55822968&dec=-30.406369&filters=f444w-clear&size=1&scl=24&invert=True"" height=100px />"
,,,,,2410.01874,Rohan Naidu,3.558308,-30.37617,j001413.99m302234.20,2.578,,,,,,,,,,,,,,,,,,"<img src=""http://grizli-cutout.herokuapp.com/thumb?ra=3.55830788&dec=-30.3761679&filters=f200w-clear&size=1&scl=16&invert=True"" height=100px />",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.578023,5,,,,,41171,1,"<img src=""http://grizli-cutout.herokuapp.com/thumb?ra=3.55830788&dec=-30.3761679&filters=f444w-clear&size=1&scl=24&invert=True"" height=100px />"
,,,,,2410.01874,Rohan Naidu,3.558282,-30.40638,j001413.99m302422.97,,,,,,,,,,,,,,,,,,,"<img src=""http://grizli-cutout.herokuapp.com/thumb?ra=3.55828178&dec=-30.4063801&filters=f200w-clear&size=1&scl=16&invert=True"" height=100px />",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.331726,1,,,,,22777,1,"<img src=""http://grizli-cutout.herokuapp.com/thumb?ra=3.55828178&dec=-30.4063801&filters=f444w-clear&size=1&scl=24&invert=True"" height=100px />"
,,,,,2410.01874,Rohan Naidu,3.558380,-30.36684,j001414.01m302200.61,,,,,,,,,,,,,,,,,,,"<img src=""http://grizli-cutout.herokuapp.com/thumb?ra=3.55837998&dec=-30.3668361&filters=f200w-clear&size=1&scl=16&invert=True"" height=100px />",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.798002,1,,,,,31996,1,"<img src=""http://grizli-cutout.herokuapp.com/thumb?ra=3.55837998&dec=-30.3668361&filters=f444w-clear&size=1&scl=24&invert=True"" height=100px />"
,,,,,2410.01874,Rohan Naidu,3.558397,-30.35594,j001414.02m302121.38,,,,,,,,,,,,,,,,,,,"<img src=""http://grizli-cutout.herokuapp.com/thumb?ra=3.55839658&dec=-30.3559397&filters=f200w-clear&size=1&scl=16&invert=True"" height=100px />",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.296604,1,,,,,75722,1,"<img src=""http://grizli-cutout.herokuapp.com/thumb?ra=3.55839658&dec=-30.3559397&filters=f444w-clear&size=1&scl=24&invert=True"" height=100px />"
,,,,,2410.01874,Rohan Naidu,3.558479,-30.34165,j001414.03m302029.94,,,,,,,,,,,,,,,,,,,"<img src=""http://grizli-cutout.herokuapp.com/thumb?ra=3.55847918&dec=-30.3416499&filters=f200w-clear&size=1&scl=16&invert=True"" height=100px />",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.293455,1,,,,,65910,1,"<img src=""http://grizli-cutout.herokuapp.com/thumb?ra=3.55847918&dec=-30.3416499&filters=f444w-clear&size=1&scl=24&invert=True"" height=100px />"
,,,,,2410.01874,Rohan Naidu,3.558478,-30.36191,j001414.03m302142.89,,,,,,,,,,,,,,,,,,,"<img src=""http://grizli-cutout.herokuapp.com/thumb?ra=3.5584788&dec=-30.3619142&filters=f200w-clear&size=1&scl=16&invert=True"" height=100px />",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.270509,1,,,,,78242,1,"<img src=""http://grizli-cutout.herokuapp.com/thumb?ra=3.5584788&dec=-30.3619142&filters=f444w-clear&size=1&scl=24&invert=True"" height=100px />"
,,,,,2410.01874,Rohan Naidu,3.558458,-30.42154,j001414.03m302517.54,,,,,,,,,,,,,,,,,,,"<img src=""http://grizli-cutout.herokuapp.com/thumb?ra=3.55845838&dec=-30.4215377&filters=f200w-clear&size=1&scl=16&invert=True"" height=100px />",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.000614,1,,,,,15791,1,"<img src=""http://grizli-cutout.herokuapp.com/thumb?ra=3.55845838&dec=-30.4215377&filters=f444w-clear&size=1&scl=24&invert=True"" height=100px />"
,,,,,2410.01874,Rohan Naidu,3.558495,-30.34784,j001414.04m302052.24,2.561,,,,,,,,,,,,,,,,,,"<img src=""http://grizli-cutout.herokuapp.com/thumb?ra=3.55849488&dec=-30.347845&filters=f200w-clear&size=1&scl=16&invert=True"" height=100px />",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.560552,2,,,,,70109,1,"<img src=""http://grizli-cutout.herokuapp.com/thumb?ra=3.55849488&dec=-30.347845&filters=f444w-clear&size=1&scl=24&invert=True"" height=100px />"
,,,,,2410.01874,Rohan Naidu,3.558594,-30.40545,j001414.06m302419.62,,,,,,,,,,,,,,,,,,,"<img src=""http://grizli-cutout.herokuapp.com/thumb?ra=3.5585948&dec=-30.405449&filters=f200w-clear&size=1&scl=16&invert=True"" height=100px />",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.047148,1,,,,,23421,1,"<img src=""http://grizli-cutout.herokuapp.com/thumb?ra=3.5585948&dec=-30.405449&filters=f444w-clear&size=1&scl=24&invert=True"" height=100px />"
,,,,,2410.01874,Rohan Naidu,3.558588,-30.41346,j001414.06m302448.46,,,,,,,,,,,,,,,,,,,"<img src=""http://grizli-cutout.herokuapp.com/thumb?ra=3.55858788&dec=-30.4134605&filters=f200w-clear&size=1&scl=16&invert=True"" height=100px />",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.631451,1,,,,,20171,1,"<img src=""http://grizli-cutout.herokuapp.com/thumb?ra=3.55858788&dec=-30.4134605&filters=f444w-clear&size=1&scl=24&invert=True"" height=100px />"
,,,,,2410.01874,Rohan Naidu,3.558674,-30.40532,j001414.08m302419.17,,,,,,,,,,,,,,,,,,,"<img src=""http://grizli-cutout.herokuapp.com/thumb?ra=3.55867428&dec=-30.4053247&filters=f200w-clear&size=1&scl=16&invert=True"" height=100px />",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.040536,1,,,,,23399,1,"<img src=""http://grizli-cutout.herokuapp.com/thumb?ra=3.55867428&dec=-30.4053247&filters=f444w-clear&size=1&scl=24&invert=True"" height=100px />"
,,,,,2410.01874,Rohan Naidu,3.558660,-30.41691,j001414.08m302500.87,,,,,,,,,,,,,,,,,,,"<img src=""http://grizli-cutout.herokuapp.com/thumb?ra=3.55866018&dec=-30.416909&filters=f200w-clear&size=1&scl=16&invert=True"" height=100px />",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.851272,1,,,,,17937,1,"<img src=""http://grizli-cutout.herokuapp.com/thumb?ra=3.55866018&dec=-30.416909&filters=f444w-clear&size=1&scl=24&invert=True"" height=100px />"
,,,,,2410.01874,Rohan Naidu,3.558703,-30.40542,j001414.09m302419.51,,,,,,,,,,,,,,,,,,,"<img src=""http://grizli-cutout.herokuapp.com/thumb?ra=3.55870278&dec=-30.4054181&filters=f200w-clear&size=1&scl=16&invert=True"" height=100px />",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.050106,1,,,,,23848,1,"<img src=""http://grizli-cutout.herokuapp.com/thumb?ra=3.55870278&dec=-30.4054181&filters=f444w-clear&size=1&scl=24&invert=True"" height=100px />"
,,,,,2410.01874,Rohan Naidu,3.558899,-30.35955,j001414.14m302134.39,,,,,,,,,,,,,,,,,,,"<img src=""http://grizli-cutout.herokuapp.com/thumb?ra=3.55889858&dec=-30.3595521&filters=f200w-clear&size=1&scl=16&invert=True"" height=100px />",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.269308,1,,,,,76857,1,"<img src=""http://grizli-cutout.herokuapp.com/thumb?ra=3.55889858&dec=-30.3595521&filters=f444w-clear&size=1&scl=24&invert=True"" height=100px />"
,,,,,2410.01874,Rohan Naidu,3.558926,-30.35967,j001414.14m302134.80,,,,,,,,,,,,,,,,,,,"<img src=""http://grizli-cutout.herokuapp.com/thumb?ra=3.55892598&dec=-30.3596667&filters=f200w-clear&size=1&scl=16&invert=True"" height=100px />",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.263616,1,,,,,76718,1,"<img src=""http://grizli-cutout.herokuapp.com/thumb?ra=3.55892598&dec=-30.3596667&filters=f444w-clear&size=1&scl=24&invert=True"" height=100px />"
,,,,,2410.01874,Rohan Naidu,3.558935,-30.36243,j001414.14m302144.74,,,,,,,,,,,,,,,,,,,"<img src=""http://grizli-cutout.herokuapp.com/thumb?ra=3.55893498&dec=-30.3624283&filters=f200w-clear&size=1&scl=16&invert=True"" height=100px />",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.269737,1,,,,,78773,1,"<img src=""http://grizli-cutout.herokuapp.com/thumb?ra=3.55893498&dec=-30.3624283&filters=f444w-clear&size=1&scl=24&invert=True"" height=100px />"
,,,,,2410.01874,Rohan Naidu,3.558942,-30.34686,j001414.15m302048.70,2.558,,,,,,,,,,,,,,,,,,"<img src=""http://grizli-cutout.herokuapp.com/thumb?ra=3.5589428&dec=-30.3468608&filters=f200w-clear&size=1&scl=16&invert=True"" height=100px />",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.557576,2,,,,,68630,1,"<img src=""http://grizli-cutout.herokuapp.com/thumb?ra=3.5589428&dec=-30.3468608&filters=f444w-clear&size=1&scl=24&invert=True"" height=100px />"
,,,,,2410.01874,Rohan Naidu,3.559086,-30.39468,j001414.18m302340.84,,,,,,,,,,,,,,,,,,,"<img src=""http://grizli-cutout.herokuapp.com/thumb?ra=3.55908578&dec=-30.3946771&filters=f200w-clear&size=1&scl=16&invert=True"" height=100px />",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.042382,1,,,,,29546,1,"<img src=""http://grizli-cutout.herokuapp.com/thumb?ra=3.55908578&dec=-30.3946771&filters=f444w-clear&size=1&scl=24&invert=True"" height=100px />"
,,,,,2410.01874,Rohan Naidu,3.559178,-30.38521,j001414.20m302306.77,1.885,,,,,,,,,,,,,,,,,,"<img src=""http://grizli-cutout.herokuapp.com/thumb?ra=3.55917788&dec=-30.3852138&filters=f200w-clear&size=1&scl=16&invert=True"" height=100px />",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.885439,3,,,,,45408,1,"<img src=""http://grizli-cutout.herokuapp.com/thumb?ra=3.55917788&dec=-30.3852138&filters=f444w-clear&size=1&scl=24&invert=True"" height=100px />"
,,,,,2410.01874,Rohan Naidu,3.559257,-30.40192,j001414.22m302406.91,,,,,,,,,,,,,,,,,,,"<img src=""http://grizli-cutout.herokuapp.com/thumb?ra=3.5592578&dec=-30.4019204&filters=f200w-clear&size=1&scl=16&invert=True"" height=100px />",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.945473,1,,,,,26343,1,"<img src=""http://grizli-cutout.herokuapp.com/thumb?ra=3.5592578&dec=-30.4019204&filters=f444w-clear&size=1&scl=24&invert=True"" height=100px />"
,,,,,2410.01874,Rohan Naidu,3.559300,-30.35821,j001414.23m302129.56,2.188,,,,,,,,,,,,,,,,,,"<img src=""http://grizli-cutout.herokuapp.com/thumb?ra=3.55930048&dec=-30.3582098&filters=f200w-clear&size=1&scl=16&invert=True"" height=100px />",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.187962,2,,,,,75796,1,"<img src=""http://grizli-cutout.herokuapp.com/thumb?ra=3.55930048&dec=-30.3582098&filters=f444w-clear&size=1&scl=24&invert=True"" height=100px />"
,,,,,2410.01874,Rohan Naidu,3.559299,-30.41514,j001414.23m302454.49,2.328,,,,,,,,,,,,,,,,,,"<img src=""http://grizli-cutout.herokuapp.com/thumb?ra=3.55929938&dec=-30.4151354&filters=f200w-clear&size=1&scl=16&invert=True"" height=100px />",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.328354,3,,,,,18701,1,"<img src=""http://grizli-cutout.herokuapp.com/thumb?ra=3.55929938&dec=-30.4151354&filters=f444w-clear&size=1&scl=24&invert=True"" height=100px />"
,,,,,2410.01874,Rohan Naidu,3.559325,-30.38999,j001414.24m302323.97,,,,,,,,,,,,,,,,,,,"<img src=""http://grizli-cutout.herokuapp.com/thumb?ra=3.55932528&dec=-30.3899916&filters=f200w-clear&size=1&scl=16&invert=True"" height=100px />",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.97645,1,,,,,48295,1,"<img src=""http://grizli-cutout.herokuapp.com/thumb?ra=3.55932528&dec=-30.3899916&filters=f444w-clear&size=1&scl=24&invert=True"" height=100px />"
,,,,,2410.01874,Rohan Naidu,3.559372,-30.34537,j001414.25m302043.34,,,,,,,,,,,,,,,,,,,"<img src=""http://grizli-cutout.herokuapp.com/thumb?ra=3.55937248&dec=-30.3453726&filters=f200w-clear&size=1&scl=16&invert=True"" height=100px />",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.412351,1,,,,,68132,1,"<img src=""http://grizli-cutout.herokuapp.com/thumb?ra=3.55937248&dec=-30.3453726&filters=f444w-clear&size=1&scl=24&invert=True"" height=100px />"
,,,,,2410.01874,Rohan Naidu,3.559436,-30.39001,j001414.26m302324.02,,,,,,,,,,,,,,,,,,,"<img src=""http://grizli-cutout.herokuapp.com/thumb?ra=3.55943598&dec=-30.3900056&filters=f200w-clear&size=1&scl=16&invert=True"" height=100px />",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.979767,1,,,,,48294,1,"<img src=""http://grizli-cutout.herokuapp.com/thumb?ra=3.55943598&dec=-30.3900056&filters=f444w-clear&size=1&scl=24&invert=True"" height=100px />"
,,,,,2410.01874,Rohan Naidu,3.559480,-30.35367,j001414.28m302113.20,,,,,,,,,,,,,,,,,,,"<img src=""http://grizli-cutout.herokuapp.com/thumb?ra=3.55947988&dec=-30.3536678&filters=f200w-clear&size=1&scl=16&invert=True"" height=100px />",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.621441,1,,,,,73218,1,"<img src=""http://grizli-cutout.herokuapp.com/thumb?ra=3.55947988&dec=-30.3536678&filters=f444w-clear&size=1&scl=24&invert=True"" height=100px />"
,,,,,2410.01874,Rohan Naidu,3.559541,-30.34723,j001414.29m302050.04,2.656,,,,,,,,,,,,,,,,,,"<img src=""http://grizli-cutout.herokuapp.com/thumb?ra=3.55954068&dec=-30.347232&filters=f200w-clear&size=1&scl=16&invert=True"" height=100px />",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.6561,2,,,,,68564,1,"<img src=""http://grizli-cutout.herokuapp.com/thumb?ra=3.55954068&dec=-30.347232&filters=f444w-clear&size=1&scl=24&invert=True"" height=100px />"
,,,,,2410.01874,Rohan Naidu,3.559678,-30.33105,j001414.32m301951.78,,,,,,,,,,,,,,,,,,,"<img src=""http://grizli-cutout.herokuapp.com/thumb?ra=3.55967798&dec=-30.3310494&filters=f200w-clear&size=1&scl=16&invert=True"" height=100px />",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.117111,1,,,,,60627,1,"<img src=""http://grizli-cutout.herokuapp.com/thumb?ra=3.55967798&dec=-30.3310494&filters=f444w-clear&size=1&scl=24&invert=True"" height=100px />"
,,,,,2410.01874,Rohan Naidu,3.559677,-30.38741,j001414.32m302314.67,,,,,,,,,,,,,,,,,,,"<img src=""http://grizli-cutout.herokuapp.com/thumb?ra=3.55967698&dec=-30.3874088&filters=f200w-clear&size=1&scl=16&invert=True"" height=100px />",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.751262,1,,,,,46774,1,"<img src=""http://grizli-cutout.herokuapp.com/thumb?ra=3.55967698&dec=-30.3874088&filters=f444w-clear&size=1&scl=24&invert=True"" height=100px />"
,,,,,2410.01874,Rohan Naidu,3.559680,-30.42199,j001414.32m302519.17,,,,,,,,,,,,,,,,,,,"<img src=""http://grizli-cutout.herokuapp.com/thumb?ra=3.55967988&dec=-30.4219928&filters=f200w-clear&size=1&scl=16&invert=True"" height=100px />",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.63152,1,,,,,15485,1,"<img src=""http://grizli-cutout.herokuapp.com/thumb?ra=3.55967988&dec=-30.4219928&filters=f444w-clear&size=1&scl=24&invert=True"" height=100px />"
