id,field,ra,dec,zphot
1072,primer-uds-north,34.3722360084715,-5.210033954791225,8.905960083007812
1381,primer-uds-north,34.44098752394927,-5.209337115813178,5.662596702575684
1470,primer-uds-north,34.26054886084535,-5.209163222784578,5.396758556365967
1544,primer-uds-north,34.37741275217305,-5.209022814691235,5.463461875915527
1939,primer-uds-north,34.40309780563553,-5.208186294435946,4.362056732177734
3992,primer-uds-north,34.36730351221929,-5.204195880674563,5.659328460693359
7991,primer-uds-north,34.293687121322456,-5.196476661896288,5.655741214752197
8559,primer-uds-north,34.465426118959,-5.195332718715463,7.936542510986328
10404,primer-uds-north,34.46287218271903,-5.191959925492854,5.655996322631836
11219,primer-uds-north,34.47112649680852,-5.190443847236024,5.428709506988525
14419,primer-uds-north,34.39917769351939,-5.184322969859979,4.816784381866455
15257,primer-uds-north,34.431864205539185,-5.182779988252042,6.920136451721191
16999,primer-uds-north,34.508057817800164,-5.1800837790157175,4.2059326171875
18804,primer-uds-north,34.363515044768505,-5.176963791951121,4.317291259765625
18892,primer-uds-north,34.268908020655076,-5.176721823124139,4.729468822479248
19416,primer-uds-north,34.46076321349001,-5.175813201579843,5.4331817626953125
21108,primer-uds-north,34.36296344400555,-5.17319980462139,7.136404514312744
22773,primer-uds-north,34.43898594228325,-5.170543086397919,4.40127420425415
23575,primer-uds-north,34.408019900593665,-5.16914658540713,5.660595417022705
24081,primer-uds-north,34.34620665884841,-5.168197042479149,5.656405448913574
24100,primer-uds-north,34.44288277802616,-5.168180429149539,4.991886138916016
29106,primer-uds-north,34.331642955166934,-5.159233119107454,5.204842567443848
29110,primer-uds-north,34.42591519726276,-5.159179553898098,7.128774642944336
31581,primer-uds-north,34.369660395452605,-5.1551482967237865,4.163408279418945
31645,primer-uds-north,34.514179116647604,-5.155046303348935,4.755919456481934
32025,primer-uds-north,34.452492762590296,-5.154707337215251,4.043330669403076
32237,primer-uds-north,34.41985984195683,-5.154215136324553,4.612168312072754
32986,primer-uds-north,34.41140073334921,-5.153087888601745,4.15274715423584
33332,primer-uds-north,34.404984092098026,-5.152606688880327,4.541976451873779
33774,primer-uds-north,34.24782824156703,-5.151996752625728,7.137637138366699
35111,primer-uds-north,34.296003362134044,-5.149896222259397,5.656314373016357
36327,primer-uds-north,34.27604159504762,-5.148030618101284,7.861698150634766
42014,primer-uds-north,34.36071841832473,-5.139081941674189,4.551596164703369
42859,primer-uds-north,34.4596070740345,-5.137797708107967,6.580926895141602
43738,primer-uds-north,34.4243105632024,-5.1364909347605625,5.0900678634643555
43932,primer-uds-north,34.386713074172285,-5.136108226081832,4.235387802124023
44053,primer-uds-north,34.447358936910916,-5.135860437645193,5.438138961791992
44681,primer-uds-north,34.41782169195119,-5.134841768801986,4.5811662673950195
46085,primer-uds-north,34.4549315772716,-5.132707859848963,4.7858500480651855
48927,primer-uds-north,34.277044585960994,-5.128335591767835,7.9073028564453125
52141,primer-uds-north,34.44713116480162,-5.122991975711636,7.130077838897705
52856,primer-uds-north,34.38713641481489,-5.121605238050311,6.320851802825928
53667,primer-uds-north,34.26703329974927,-5.120073981052057,4.563920497894287
54143,primer-uds-north,34.466942861952305,-5.1192260932954206,4.731501579284668
54603,primer-uds-north,34.34025165777664,-5.118707167823379,5.651866912841797
55902,primer-uds-north,34.3723692861514,-5.115911848045463,8.67038631439209
56783,primer-uds-north,34.21687919902369,-5.114384799480999,5.313366413116455
57469,primer-uds-north,34.43021892134757,-5.113188391459482,5.667973041534424
57944,primer-uds-north,34.35325571098699,-5.11226685839519,5.289790153503418
61010,primer-uds-north,34.21842694680572,-5.107160386031185,7.1341962814331055
61298,primer-uds-north,34.39440513225522,-5.106746992298238,5.24259614944458
61378,primer-uds-north,34.21395271523686,-5.106552572188026,7.458285331726074
62716,primer-uds-north,34.39679207216778,-5.104411139932186,5.386734962463379
64273,primer-uds-north,34.228526240834974,-5.101526094376732,7.1315598487854
