ra,dec,beta_UV,beta_UV_err,beta_opt,beta_opt_err,mag444,m_uv,M_UV,id,zphot,zspec
214.88968,52.832977,-2.01,0.53,0.45,0.21,26.97,28.8,-17.8,CEERS-69459,-1.0,5.67
214.937207,52.96535,-0.62,0.84,2.39,0.41,27.31,30.24,-17.09,CEERS-80072,9.04,-1.0
214.902238,52.939369,-1.81,0.28,2.25,0.24,26.66,28.55,-18.68,CEERS-80438,8.44,-1.0
214.830688,52.88777,-1.7,0.36,1.81,0.3,26.31,28.31,-19.04,CEERS-81443,9.13,-1.0
214.809145,52.868483,-1.78,1.08,1.88,0.23,25.64,28.57,-18.02,CEERS-82815,-1.0,5.62
214.779224,52.836922,-2.24,2.03,1.01,0.23,26.9,29.63,-16.34,CEERS-88326,3.88,-1.0
214.861035,52.879024,-2.25,0.5,1.17,0.13,26.76,28.96,-17.51,CEERS-96811,5.2,-1.0
214.871881,52.880431,-2.28,0.59,0.32,0.25,27.48,28.99,-17.62,CEERS-99879,-1.0,5.68
214.69515,52.748564,-1.92,0.31,2.21,0.26,26.2,28.24,-19.09,CEERS-102791,9.04,-1.0
214.701887,52.744079,-1.22,0.6,0.74,0.45,27.15,29.34,-17.81,CEERS-107936,8.05,-1.0
214.913993,52.889968,-2.19,0.94,-0.01,0.43,28.26,29.65,-17.26,CEERS-110480,6.91,-1.0
214.914034,52.889829,-2.26,1.15,2.2,0.55,27.66,29.55,-17.56,CEERS-110826,7.84,-1.0
214.896763,52.875798,-2.63,0.94,1.1,0.28,27.55,29.46,-17.27,CEERS-111399,-1.0,6.13
214.89192,52.873915,-1.93,1.62,0.38,0.46,27.72,29.88,-17.06,CEERS-111679,7.0,-1.0
214.975531,52.925267,-1.84,0.55,1.54,0.17,26.33,28.97,-17.46,CEERS-114801,-1.0,5.11
214.863954,52.918145,-1.56,1.81,0.21,0.34,27.98,30.04,-16.98,CEERS-124311,7.39,-1.0
53.262517,-27.820981,-1.71,0.03,2.22,0.01,23.8,26.87,-19.34,NGDEEP-1868,4.45,-1.0
53.227373,-27.828794,-1.82,0.14,1.27,0.04,25.4,27.94,-18.94,NGDEEP-2510,6.73,-1.0
53.276239,-27.839022,-1.9,0.08,1.59,0.03,25.01,27.63,-19.08,NGDEEP-3027,6.04,-1.0
53.243145,-27.862041,-2.34,0.12,0.98,0.05,25.43,27.18,-19.7,NGDEEP-4524,6.73,-1.0
53.267687,-27.869338,-1.42,0.06,3.4,0.07,26.23,28.28,-19.02,NGDEEP-5091,8.89,-1.0
53.220037,-27.804005,-2.31,0.19,1.08,0.09,27.11,28.58,-17.91,NGDEEP-7057,5.29,-1.0
53.235335,-27.821536,-2.23,0.22,2.98,0.34,27.7,29.06,-18.14,NGDEEP-9888,8.29,-1.0
53.235203,-27.832254,-1.83,0.72,5.04,0.52,28.45,31.13,-16.31,NGDEEP-11365,9.76,-1.0
53.245764,-27.845503,-2.39,0.33,0.5,0.39,26.69,28.26,-17.94,NGDEEP-12355,4.45,-1.0
53.250314,-27.870406,-2.28,1.01,1.74,0.26,28.07,30.84,-15.92,NGDEEP-16817,6.28,-1.0
53.161372,-27.737666,-1.53,0.12,0.8,0.03,25.1,27.58,-19.31,JADES-430,6.79,-1.0
53.158183,-27.739128,-1.32,0.25,2.02,0.06,25.58,28.57,-18.15,JADES-534,6.1,-1.0
53.184783,-27.744047,-2.24,0.44,0.49,0.09,26.79,28.93,-17.48,JADES-903,5.05,-1.0
53.179218,-27.758732,-1.64,0.18,0.27,0.06,26.08,27.96,-18.73,JADES-2632,5.98,-1.0
53.190768,-27.767884,-2.25,0.26,0.28,0.15,27.71,28.73,-18.28,JADES-3856,7.33,-1.0
53.166111,-27.772041,-1.82,0.19,0.01,0.09,26.22,27.92,-18.86,JADES-4454,6.34,-1.0
53.203994,-27.772098,-1.81,0.35,2.21,0.06,25.9,29.02,-18.02,JADES-4461,7.51,-1.0
53.126898,-27.786151,-1.05,0.28,1.94,0.04,25.45,29.1,-17.89,JADES-6698,7.24,-1.0
53.125427,-27.787437,-1.37,0.42,0.67,0.03,25.84,29.84,-16.56,JADES-6923,4.99,-1.0
53.12142,-27.794912,-0.41,0.48,2.17,0.05,26.17,30.17,-16.88,JADES-8103,7.51,-1.0
53.175596,-27.79589,-2.03,0.33,0.27,0.14,26.81,28.04,-18.54,JADES-8275,5.59,-1.0
53.111539,-27.798072,-1.85,0.38,0.07,0.1,26.84,28.85,-17.23,JADES-8646,4.15,-1.0
53.145293,-27.808666,-1.37,0.29,0.84,0.06,25.77,29.08,-16.37,JADES-10491,2.89,-1.0
53.159331,-27.811751,-2.5,0.2,0.24,0.06,26.69,28.2,-18.15,JADES-11027,4.87,-1.0
53.06768,-27.812331,-1.96,0.04,0.73,0.02,23.98,26.02,-20.25,JADES-11125,4.63,-1.0
53.126537,-27.818091,-2.31,0.19,0.62,0.08,26.03,27.58,-19.09,JADES-12068,-1.0,5.92
53.086974,-27.831901,-1.81,0.25,1.19,0.09,26.19,28.31,-18.43,JADES-14445,6.16,-1.0
53.073157,-27.83313,-1.58,0.36,0.21,0.12,26.68,28.11,-18.9,JADES-14655,7.33,-1.0
53.067296,-27.838335,-1.87,0.67,1.58,0.12,26.16,28.93,-17.87,JADES-15457,6.43,-1.0
53.042427,-27.841818,-2.06,0.21,1.88,0.06,23.73,27.63,-18.66,JADES-16024,4.69,-1.0
53.034904,-27.852188,-1.49,0.12,0.27,0.04,25.37,27.7,-18.47,JADES-17724,4.36,-1.0
53.096419,-27.85309,-1.81,0.24,1.08,0.07,26.99,29.26,-17.23,JADES-17876,5.29,-1.0
53.046014,-27.853993,-1.74,0.2,2.14,0.17,26.43,28.12,-19.05,JADES-18065,8.14,-1.0
53.115315,-27.859219,-1.71,0.21,-0.01,0.06,25.36,28.18,-17.71,JADES-19110,3.7,-1.0
53.124768,-27.866299,-1.38,0.11,0.52,0.04,24.37,27.39,-18.84,JADES-20532,4.51,-1.0
53.064114,-27.870933,-2.67,0.42,1.89,0.07,25.84,28.34,-18.19,JADES-21540,5.41,-1.0
53.087731,-27.871244,-1.81,0.31,1.14,0.07,26.86,28.99,-17.31,JADES-21598,4.72,-1.0
53.08683,-27.873056,-1.41,0.14,1.27,0.03,22.69,26.99,-18.59,JADES-21925,3.1,-1.0
53.074129,-27.883704,-1.82,0.38,0.23,0.07,25.98,27.96,-18.51,JADES-24052,5.23,-1.0
53.036911,-27.884895,-1.25,0.11,0.02,0.03,24.68,27.22,-18.52,JADES-24287,3.4,-1.0
53.119075,-27.892556,-1.75,0.8,1.81,0.17,25.93,28.5,-18.52,JADES-25547,7.36,-1.0
53.097523,-27.901256,-1.5,0.12,0.64,0.04,24.28,26.89,-19.6,JADES-26901,5.26,-1.0
53.076339,-27.909921,-2.15,0.37,1.33,0.1,25.36,27.98,-18.57,JADES-27709,5.47,-1.0
53.096263,-27.901148,-2.11,0.25,1.31,0.42,27.72,28.73,-18.45,JADES-30318,8.2,-1.0
53.108632,-27.895708,-2.29,3.16,1.66,0.38,28.14,30.09,-16.95,JADES-31938,7.48,-1.0
53.039823,-27.891842,-2.71,0.42,0.07,0.25,28.99,29.71,-17.27,JADES-33140,7.18,-1.0
53.0559,-27.891657,-2.18,0.45,1.59,0.18,27.61,29.37,-17.25,JADES-33225,5.71,-1.0
53.101878,-27.810947,-1.07,0.96,0.88,0.14,26.26,29.78,-16.67,JADES-51898,5.17,-1.0
53.133827,-27.828256,-1.73,1.68,2.84,0.22,27.09,30.41,-16.63,JADES-58277,7.48,-1.0
53.060546,-27.848401,-1.86,0.4,0.63,0.2,26.89,28.79,-17.75,JADES-64894,5.44,-1.0
53.108307,-27.851008,-2.64,0.67,0.87,0.25,27.68,29.05,-17.56,JADES-65849,5.71,-1.0
53.072478,-27.855352,-0.81,0.31,2.23,0.38,28.56,30.12,-17.53,JADES-67592,11.26,-1.0
53.14795,-27.75993,-2.38,0.58,1.02,0.2,27.65,29.66,-17.07,JADES-74394,6.16,-1.0
53.144299,-27.779856,-1.17,1.1,1.16,0.15,27.58,29.66,-17.47,JADES-81234,7.93,-1.0
53.197512,-27.782456,-1.8,0.28,0.6,0.49,28.62,29.49,-18.05,JADES-82209,10.48,-1.0
53.138702,-27.792481,-2.24,0.4,3.01,0.46,28.78,30.43,-16.83,JADES-85727,8.65,-1.0
150.139906,2.442501,-1.1,0.66,0.05,0.2,27.53,28.96,-17.32,PRIMER-COS-2144,4.66,-1.0
150.163424,2.439157,-0.84,0.65,0.34,0.04,24.22,28.24,-18.2,PRIMER-COS-2356,5.14,-1.0
150.173282,2.437678,-1.6,0.26,0.14,0.08,24.82,26.72,-19.57,PRIMER-COS-2451,4.69,-1.0
150.131691,2.435682,-2.05,0.14,0.99,0.05,24.0,26.42,-19.81,PRIMER-COS-2601,4.51,-1.0
150.116167,2.427454,-2.39,0.88,0.48,0.22,26.79,28.69,-17.58,PRIMER-COS-3209,4.63,-1.0
150.100965,2.41942,-0.48,0.03,0.12,0.02,19.75,22.58,-23.71,PRIMER-COS-3866,-1.0,4.66
150.128729,2.416338,-2.18,0.36,0.96,0.08,25.22,27.23,-19.41,PRIMER-COS-4240,5.8,-1.0
150.155826,2.403112,-2.0,0.32,0.55,0.05,25.29,27.75,-18.72,PRIMER-COS-5621,5.23,-1.0
150.137105,2.40121,-2.19,0.21,1.73,0.19,26.13,27.48,-19.7,PRIMER-COS-5844,8.2,-1.0
150.142362,2.390024,-2.64,1.07,1.19,0.1,26.02,28.49,-17.98,PRIMER-COS-7071,5.23,-1.0
150.12582,2.389715,-2.55,0.34,0.59,0.11,26.56,27.69,-19.25,PRIMER-COS-7103,7.03,-1.0
150.170166,2.38839,-1.93,0.14,0.48,0.04,23.74,25.88,-20.61,PRIMER-COS-7236,5.29,-1.0
150.156844,2.379459,-1.56,0.74,0.89,0.08,25.95,28.9,-17.96,PRIMER-COS-8227,6.67,-1.0
150.1759,2.376759,-1.83,0.74,0.16,0.08,25.82,28.7,-17.68,PRIMER-COS-8550,4.93,-1.0
150.074228,2.373893,-1.81,0.17,0.55,0.04,24.37,26.64,-19.82,PRIMER-COS-8925,5.2,-1.0
150.094115,2.373685,-0.82,1.11,1.54,0.12,25.2,28.66,-18.16,PRIMER-COS-8962,6.52,-1.0
150.078333,2.372687,-2.31,0.74,0.91,0.11,26.02,28.44,-18.18,PRIMER-COS-9114,5.74,-1.0
150.106897,2.360045,-1.41,0.26,0.88,0.06,25.33,27.58,-19.46,PRIMER-COS-10864,7.45,-1.0
150.063327,2.354978,-1.29,0.52,0.47,0.1,25.5,27.99,-18.31,PRIMER-COS-11625,4.72,-1.0
150.07671,2.350924,-2.29,0.54,0.77,0.1,26.13,28.17,-18.29,PRIMER-COS-12184,5.17,-1.0
150.144439,2.344396,-2.11,0.11,0.52,0.03,24.05,26.26,-19.98,PRIMER-COS-13104,4.54,-1.0
150.098997,2.343621,-2.6,0.07,1.38,0.03,23.89,25.14,-21.82,PRIMER-COS-13211,7.06,-1.0
150.175769,2.338785,-1.23,0.17,1.02,0.04,23.56,26.64,-20.02,PRIMER-COS-13886,5.86,-1.0
150.07568,2.325286,-1.11,0.58,0.75,0.21,27.32,28.73,-17.56,PRIMER-COS-15702,4.69,-1.0
150.158353,2.320199,-2.11,0.27,0.43,0.04,25.31,27.76,-18.69,PRIMER-COS-16423,5.17,-1.0
150.067833,2.303299,-2.23,0.71,0.8,0.19,25.62,27.74,-19.07,PRIMER-COS-18805,6.43,-1.0
150.076026,2.29377,-1.18,1.04,0.92,0.18,25.25,28.18,-18.45,PRIMER-COS-20188,5.77,-1.0
150.055362,2.291587,-1.98,0.25,0.16,0.09,24.46,26.0,-20.8,PRIMER-COS-20492,6.43,-1.0
150.16025,2.286545,-1.94,0.28,1.21,0.07,24.61,27.0,-19.83,PRIMER-COS-21151,6.52,-1.0
150.079159,2.285734,-2.06,0.35,0.79,0.09,25.73,27.59,-19.2,PRIMER-COS-21273,6.37,-1.0
150.111534,2.285523,-2.58,1.12,0.15,0.12,26.64,28.7,-17.77,PRIMER-COS-21309,5.23,-1.0
150.115213,2.282988,-1.49,0.99,0.3,0.13,26.36,28.73,-17.56,PRIMER-COS-21700,4.69,-1.0
150.129272,2.282174,-1.29,0.21,1.72,0.04,24.61,27.43,-19.26,PRIMER-COS-21824,5.98,-1.0
150.133426,2.282079,-1.92,0.41,0.6,0.1,26.41,28.34,-18.18,PRIMER-COS-21848,5.38,-1.0
150.08281,2.277724,-2.0,0.54,2.0,0.07,25.24,28.34,-18.17,PRIMER-COS-22424,5.35,-1.0
150.078017,2.277621,-1.42,0.32,1.25,0.08,24.41,27.33,-19.43,PRIMER-COS-22433,6.28,-1.0
150.152758,2.273191,-2.49,0.67,0.65,0.12,26.57,28.43,-18.03,PRIMER-COS-22990,5.17,-1.0
150.156146,2.266059,-1.37,0.38,0.48,0.07,25.22,27.82,-18.45,PRIMER-COS-23860,4.63,-1.0
150.150786,2.264098,-1.33,0.41,0.9,0.07,25.21,28.01,-18.3,PRIMER-COS-24118,4.72,-1.0
150.12472,2.262795,-1.35,0.39,2.46,0.05,24.55,28.14,-18.67,PRIMER-COS-24284,6.43,-1.0
150.084702,2.254013,-1.87,0.19,1.64,0.19,26.29,27.6,-19.64,PRIMER-COS-25273,8.56,-1.0
150.149346,2.252564,-2.55,0.66,0.98,0.11,26.0,28.1,-18.45,PRIMER-COS-25438,5.47,-1.0
150.063751,2.246798,-1.0,0.19,1.27,0.03,23.22,27.09,-19.45,PRIMER-COS-26016,5.47,-1.0
150.11106,2.245269,-1.46,0.31,1.06,0.07,25.27,27.5,-19.52,PRIMER-COS-26165,7.39,-1.0
150.066564,2.240178,-1.86,0.69,1.37,0.14,25.5,27.95,-18.76,PRIMER-COS-26676,6.04,-1.0
150.098383,2.232665,-2.17,1.89,0.41,0.07,23.49,28.23,-17.93,PRIMER-COS-27477,4.33,-1.0
150.149505,2.228654,-2.14,0.53,0.35,0.1,25.8,27.86,-18.96,PRIMER-COS-27851,6.49,-1.0
150.122938,2.203296,-2.28,1.53,0.29,0.1,24.91,27.28,-19.2,PRIMER-COS-30025,5.26,-1.0
150.071665,2.200398,-1.71,0.31,1.02,0.05,23.62,26.83,-19.63,PRIMER-COS-30244,5.17,-1.0
150.118931,2.194972,-1.62,0.15,1.66,0.06,24.54,26.81,-19.98,PRIMER-COS-30612,6.37,-1.0
150.149146,2.183952,-2.55,0.23,0.36,0.07,24.76,26.24,-20.45,PRIMER-COS-31362,6.01,-1.0
150.085867,2.189921,-1.33,1.74,1.09,0.29,26.94,29.5,-16.81,PRIMER-COS-35781,4.72,-1.0
150.07525,2.191796,-1.71,1.35,1.68,0.32,26.51,28.75,-18.29,PRIMER-COS-36179,7.45,-1.0
150.149576,2.20551,-2.48,0.36,0.33,0.29,26.28,27.24,-20.0,PRIMER-COS-39253,8.56,-1.0
150.063143,2.218324,-2.78,2.35,0.54,0.31,26.7,28.8,-18.02,PRIMER-COS-42535,6.49,-1.0
150.062547,2.225718,-1.7,1.32,2.11,0.32,25.75,28.41,-18.62,PRIMER-COS-44560,7.45,-1.0
150.175418,2.234439,-0.72,0.94,2.11,0.64,26.92,28.72,-18.84,PRIMER-COS-46911,10.6,-1.0
150.109599,2.241405,-2.61,2.29,2.67,0.38,26.94,29.38,-17.66,PRIMER-COS-49030,7.48,-1.0
150.123521,2.254837,-1.67,0.63,0.13,0.32,26.91,28.04,-18.88,PRIMER-COS-52735,6.94,-1.0
150.104751,2.263992,-0.96,2.72,0.49,0.2,27.04,30.53,-16.22,PRIMER-COS-55624,6.22,-1.0
150.099018,2.270399,-1.73,1.56,1.46,0.26,26.61,29.05,-17.74,PRIMER-COS-57613,6.37,-1.0
150.116172,2.270558,-2.35,0.99,1.86,0.15,26.18,28.74,-17.71,PRIMER-COS-57671,5.17,-1.0
150.098225,2.272912,-2.52,2.91,1.06,0.31,26.97,29.08,-17.38,PRIMER-COS-58401,5.2,-1.0
150.183066,2.288418,-2.55,0.66,0.37,0.16,26.45,28.03,-18.51,PRIMER-COS-63553,5.44,-1.0
150.12918,2.294164,-1.67,3.6,1.81,0.47,27.37,29.57,-17.47,PRIMER-COS-65459,7.45,-1.0
150.081871,2.30045,-2.44,0.35,1.48,0.7,27.9,28.4,-18.95,PRIMER-COS-67746,9.16,-1.0
150.136254,2.30803,-0.5,0.41,5.33,0.26,26.38,28.89,-18.85,PRIMER-COS-70533,11.92,-1.0
150.072897,2.323619,-1.71,0.73,1.11,0.18,26.36,28.67,-18.14,PRIMER-COS-74251,6.43,-1.0
150.083618,2.320564,-2.1,1.03,1.43,0.25,26.53,28.65,-17.92,PRIMER-COS-75330,5.56,-1.0
150.161027,2.465804,-1.59,0.57,2.13,0.35,25.25,27.43,-20.12,PRIMER-COS-78729,10.45,-1.0
150.160274,2.464053,-1.83,0.41,1.53,0.53,27.07,28.14,-19.31,PRIMER-COS-79014,9.79,-1.0
150.118144,2.45431,-1.31,1.4,1.2,0.49,27.37,29.07,-17.96,PRIMER-COS-80637,7.45,-1.0
150.129893,2.448441,-2.14,0.44,0.33,0.24,26.93,27.73,-19.4,PRIMER-COS-81528,7.93,-1.0
150.115063,2.419683,-1.63,1.34,1.24,0.2,26.32,28.82,-17.98,PRIMER-COS-86997,6.4,-1.0
150.076182,2.394829,-0.85,0.83,3.16,0.58,26.56,28.8,-18.53,PRIMER-COS-93733,9.04,-1.0
150.058948,2.371372,-1.98,0.8,1.81,0.26,26.29,28.16,-18.3,PRIMER-COS-100798,5.2,-1.0
150.127057,2.370589,-2.34,0.48,1.29,0.59,28.16,28.97,-18.41,PRIMER-COS-101131,9.31,-1.0
150.154692,2.350232,-0.83,1.06,0.23,0.22,26.95,29.15,-17.63,PRIMER-COS-108622,6.34,-1.0
150.170179,2.342379,-1.11,1.5,0.61,0.17,27.33,30.2,-16.52,PRIMER-COS-111762,6.1,-1.0
150.155705,2.33761,-0.95,1.03,2.15,0.43,27.6,29.99,-17.58,PRIMER-COS-113415,10.69,-1.0
150.117032,2.332659,-2.03,0.87,0.64,0.18,27.0,29.09,-17.41,PRIMER-COS-114914,5.32,-1.0
34.261651,-5.089333,-1.76,0.68,1.25,0.09,24.98,27.99,-18.66,PRIMER-UDS-1113,5.83,-1.0
34.441686,-5.093678,-1.34,0.47,0.02,0.05,23.88,27.45,-19.01,PRIMER-UDS-1800,5.17,-1.0
34.202316,-5.095298,-1.01,0.51,0.97,0.08,24.56,27.44,-19.36,PRIMER-UDS-2050,6.43,-1.0
34.201532,-5.095948,-2.79,0.68,0.19,0.22,25.42,26.92,-19.87,PRIMER-UDS-2154,6.37,-1.0
34.210411,-5.098689,-1.98,2.04,0.02,0.09,24.33,28.19,-17.61,PRIMER-UDS-2557,3.52,-1.0
34.368949,-5.103948,-1.69,0.42,1.67,0.05,24.62,27.86,-18.81,PRIMER-UDS-3510,5.92,-1.0
34.394401,-5.106762,-1.87,0.6,1.04,0.07,25.1,28.29,-18.17,PRIMER-UDS-4090,5.17,-1.0
34.374881,-5.108179,-1.63,0.33,1.37,0.1,25.4,27.56,-19.09,PRIMER-UDS-4396,5.83,-1.0
34.334611,-5.110271,-1.9,0.27,0.45,0.09,24.67,26.68,-19.55,PRIMER-UDS-4828,4.51,-1.0
34.353248,-5.112265,-2.33,0.42,0.35,0.08,25.38,27.49,-18.96,PRIMER-UDS-5280,5.17,-1.0
34.430215,-5.113209,-2.09,0.17,0.08,0.06,24.78,26.64,-20.0,PRIMER-UDS-5480,5.8,-1.0
34.21689,-5.11433,-2.6,1.51,0.98,0.11,25.27,28.25,-18.21,PRIMER-UDS-5719,5.2,-1.0
34.340241,-5.118699,-2.4,0.27,0.35,0.11,26.06,27.42,-19.2,PRIMER-UDS-6563,5.74,-1.0
34.26704,-5.120038,-1.73,0.4,0.84,0.08,25.1,27.61,-18.71,PRIMER-UDS-6817,4.75,-1.0
34.460348,-5.131579,-0.73,0.35,0.46,0.05,23.33,27.13,-19.07,PRIMER-UDS-9235,4.45,-1.0
34.447346,-5.135882,-2.08,0.59,1.48,0.12,25.53,27.98,-18.54,PRIMER-UDS-10330,5.38,-1.0
34.315038,-5.149331,-2.56,0.11,1.49,0.06,24.92,25.85,-21.08,PRIMER-UDS-13468,6.97,-1.0
34.295992,-5.149867,-1.43,0.37,0.96,0.07,24.6,27.2,-19.47,PRIMER-UDS-13624,5.89,-1.0
34.247823,-5.151952,-1.29,0.48,1.22,0.11,25.75,28.04,-18.98,PRIMER-UDS-14126,7.39,-1.0
34.404967,-5.152616,-1.55,0.26,0.32,0.08,25.43,27.22,-18.98,PRIMER-UDS-14305,4.42,-1.0
34.262847,-5.152974,-2.43,0.55,0.4,0.19,26.01,27.23,-19.7,PRIMER-UDS-14388,6.97,-1.0
34.425898,-5.159194,-1.5,0.78,1.07,0.12,25.75,28.55,-18.3,PRIMER-UDS-15912,6.61,-1.0
34.446115,-5.165109,-1.31,0.21,0.88,0.18,25.55,27.32,-19.85,PRIMER-UDS-17160,8.14,-1.0
34.346186,-5.168181,-1.35,0.35,1.52,0.06,24.84,27.79,-19.0,PRIMER-UDS-17818,6.37,-1.0
34.407997,-5.169145,-1.3,0.99,0.66,0.09,25.37,28.47,-18.33,PRIMER-UDS-18052,6.4,-1.0
34.438962,-5.170551,-1.71,0.22,0.09,0.07,24.99,27.14,-19.03,PRIMER-UDS-18356,4.36,-1.0
34.362942,-5.173186,-1.31,0.62,1.98,0.08,25.54,28.54,-18.48,PRIMER-UDS-18962,7.36,-1.0
34.363493,-5.17695,-1.73,0.13,0.56,0.04,24.13,26.69,-19.49,PRIMER-UDS-19877,4.39,-1.0
34.458208,-5.184345,-1.61,1.43,1.59,0.06,24.81,29.19,-17.27,PRIMER-UDS-21550,5.2,-1.0
34.283363,-5.186535,-1.48,0.56,0.51,0.16,25.88,27.19,-19.84,PRIMER-UDS-21988,7.45,-1.0
34.471108,-5.190456,-1.75,0.42,1.76,0.07,24.08,27.15,-19.37,PRIMER-UDS-22699,5.38,-1.0
34.462849,-5.191972,-1.26,0.54,2.2,0.05,24.21,28.0,-18.79,PRIMER-UDS-22980,6.4,-1.0
