id, cat_id, zphot, zspec, ra, dec
JADES-GS+53.0789-27.8842,165902,5.56,-1.0,53.0789,-27.8842
JADES-GS+53.0877-27.8712,172975,4.78,-1.0,53.0877,-27.8712
JADES-GS+53.0557-27.8688,174121,7.30,-1.0,53.0557,-27.8688
JADES-GS+53.0374-27.8656,175930,5.35,-1.0,53.0374,-27.8656
JADES-GS+53.0964-27.8531,184838,7.32,-1.0,53.0964,-27.8531
JADES-GS+53.1060-27.8482,187025,6.92,-1.0,53.1060,-27.8482
JADES-GS+53.1265-27.8181,197348,-1.0,5.919,53.1265,-27.8181
JADES-GS+53.0677-27.8123,198980,4.68,-1.0,53.0677,-27.8123
JADES-GS+53.1548-27.8065,200576,6.31,-1.0,53.1548,-27.8065
JADES-GS+53.1214-27.7949,203749,7.53,-1.0,53.1214,-27.7949
JADES-GS+53.1135-27.7935,204022,7.45,-1.0,53.1135,-27.7935
JADES-GS+53.1386-27.7903,204851,5.42,-1.0,53.1386,-27.7903
JADES-GS+53.1390-27.7844,206858,-1.0,3.941,53.1390,-27.7844
JADES-GS+53.1661-27.7720,210600,-1.0,6.310,53.1661,-27.7720
JADES-GS+53.1792-27.7587,214552,5.97,-1.0,53.1792,-27.7587
JADES-GS+53.1925-27.7531,216165,5.99,-1.0,53.1925,-27.7531
JADES-GS+53.1848-27.7440,217926,6.97,-1.0,53.1848,-27.7440
JADES-GS+53.1583-27.7409,218515,5.98,-1.0,53.1583,-27.7409
JADES-GS+53.1614-27.7377,219000,6.85,-1.0,53.1614,-27.7377
JADES-GS+53.1248-27.8663,283663,4.55,-1.0,53.1248,-27.8663
