           id        ,  ra        ,    dec     ,  zspec , fwhm_broad_halpha, fwhm_broad_halpha_up, fwhm_broad_halpha_lo, log_mbh, log_mbh_up, log_mbh_lo, log_lbol, log_lbol_up, log_lbol_lo, edd_ratio, edd_ratio_up, edd_ratio_lo, grating
   bluejay_1810_18688, 150.133502 ,   2.370408 , 2.0070 , 1550 , 240, -240 , 6.23 , 0.0363, -0.0476 , 43.8 , 0.0193, -0.0281 , 0.2957, 0.0114, -0.010 ,   g235m
      ceers_1345_2904, 215.048077 ,  52.968341 , 2.0250 , 3010 , 590, -450 , 6.78 , 0.0562, -0.0581 , 43.7 , 0.017, -0.019 , 0.0646, 0.0022, -0.00 ,   g235m
   bluejay_1810_18668, 150.129272 ,   2.369564 , 2.0856 , 1790 , 160, -160 , 6.26 , 0.0332, -0.0442 , 43.8 , 0.0121, -0.015 , 0.2429, 0.0096, -0.010 ,   g235m
   bluejay_1810_18977, 150.146497 ,   2.372308 , 2.0861 ,     4550 , 10, -200 ,   7.56 , 0.010, -0.010 ,   44.3 , 0.010, -0.010 , 0.0400, 0.0003, -0.00 ,   g235m
   bluejay_1810_12020, 150.074554 ,   2.301999 , 2.0934 ,   4180 , 50, -70 ,   7.84 , 0.010, -0.010 ,   44.8 , 0.010, -0.010 , 0.0704, 0.0003, -0.00 ,   g235m
   bluejay_1810_11337, 150.119519 ,   2.295778 , 2.0950 ,   2650 , 30, -20 ,   7.33 , 0.010, -0.010 ,   44.7 , 0.010, -0.010 , 0.1701, 0.0006, -0.00 ,   g235m
     cosmos_1879_2342, 150.121785 ,   2.213211 , 2.0986 ,   1940 , 70, -90 , 6.47 , 0.0134, -0.0168 ,   43.8 , 0.010, -0.010 , 0.1663, 0.0022, -0.00 ,   g235m
   bluejay_1810_10314, 150.085725 ,   2.285124 , 2.0996 , 1940 , 20, -4080 ,   6.81 , 0.82, -0.010 ,  44.4 , 0.209, -0.010 , 0.3054, 1.0732, -0.57 ,   g235m
        gto_1214_1158, 150.132576 ,   2.212071 , 2.1083 , 3770 , 830, -900 , 7.5 , 0.0426, -0.0455 , 44.5 , 0.0154, -0.0183 , 0.0707, 0.0030, -0.00 ,   g235m
        gto_1215_4909,  34.373619 ,  -5.185003 , 2.2078 , 2960 , 100, -100 ,    7.4 , 0.010, -0.010 ,   44.6 , 0.010, -0.010 , 0.1351, 0.0011, -0.00 ,   g235m
      gds_1207_209962,  53.131145 , -27.773187 , 2.2245 ,   2160 , 20, -20 ,   7.19 , 0.010, -0.010 ,   44.7 , 0.010, -0.010 , 0.2746, 0.0014, -0.00 ,   g235m
      cecilia_2593_25, 356.637130 ,  12.803911 , 2.2265 ,    1050 , 40, -20 ,   5.71 , 0.010, -0.010 ,   44.2 , 0.010, -0.010 , 2.7509, 0.0320, -0.04 ,   g235m
     jades_1181_27887, 189.150275 ,  62.249733 , 2.2313 , 1340 , 160, -150 , 5.98 , 0.0444, -0.0551 , 44.1 , 0.010, -0.0103 , 1.0199, 0.0993, -0.09 ,   g235m
     goodsn_1211_4151, 189.324563 ,  62.315454 , 2.2409 ,     4550 , 10, -200 ,   7.91 , 0.010, -0.010 ,   44.8 , 0.010, -0.010 , 0.0612, 0.0003, -0.00 ,   g235m
      cecilia_2593_29, 356.621640 ,  12.817598 , 2.2427 , 1170 , 140, -240 , 5.75 , 0.0167, -0.036 ,   44.1 , 0.010, -0.010 , 1.8283, 0.0670, -0.13 ,   g235m
        gto_1215_3088,  34.412371 ,  -5.267760 , 2.2553 , 1710 , 570, -300 , 6.65 , 0.0379, -0.0511 , 44.2 , 0.041, -0.0211 , 0.2605, 0.0233, -0.02 ,   g235m
 valentino_3567_55536,  34.450763 ,  -5.127912 , 2.2558 , 2020 , 410, -250 , 6.37 , 0.0367, -0.0475 , 43.9 , 0.0118, -0.0117 , 0.2622, 0.0127, -0.010 ,   g235m
     jades_1181_28074, 189.064589 ,  62.273815 , 2.2600 ,   3850 , 30, -20 ,   7.83 , 0.010, -0.010 ,   44.9 , 0.010, -0.010 , 0.0881, 0.0003, -0.00 ,   g235m
      lyc22_1869_4096, 334.251380 ,   0.332309 , 2.2762 ,     4550 , 10, -200 ,   8.39 , 0.010, -0.010 ,   45.5 , 0.010, -0.010 , 0.1091, 0.0003, -0.00 ,   g235m
    valentino_3567_71,  34.761581 ,  -5.361252 , 2.2848 ,  2340 , 90, -250 , 6.76 , 0.010, -0.0319 , 44.0 , 0.010, -0.0888 , 0.1252, 0.0019, -0.010 ,   g235m
 valentino_3567_40904,  34.408978 ,  -5.148414 , 2.2903 ,  3060 , 120, -3960 ,  6.92 , 0.977, -0.010 , 43.9 , 0.0131, -0.010 , 0.0770, 0.4564, -0.25 ,   g235m
     aurora_1914_5469, 150.179276 ,   2.233684 , 2.2997 ,   2160 , 40, -40 ,    6.7 , 0.010, -0.010 ,   43.9 , 0.010, -0.010 , 0.1312, 0.0018, -0.00 ,   g235m
        gto_1215_3470,  34.512380 ,  -5.189235 , 2.3026 ,   4570 , 10, -690 , 7.48 , 0.0329, -0.029 ,   44.2 , 0.010, -0.010 , 0.0468, 0.0006, -0.00 ,   g235m
     goodsn_1211_2460, 189.427236 ,  62.303289 , 2.3056 , 4130 , 190, -160 ,   7.86 , 0.010, -0.010 ,   44.9 , 0.010, -0.010 , 0.0774, 0.0006, -0.00 ,   g235m
     cosmos_1879_1295, 150.125800 ,   2.199290 , 2.3057 ,   1220 , 70, -90 , 5.92 , 0.0253, -0.0225 ,   44.3 , 0.010, -0.010 , 1.7305, 0.1004, -0.07 ,   g235m
     jades_1181_29711, 189.196910 ,  62.284104 , 2.3204 , 1720 , 210, -170 , 6.35 , 0.0275, -0.0255 , 44.0 , 0.010, -0.0104 , 0.3584, 0.0147, -0.010 ,   g235m
       gds_1671_37005,  53.154439 , -27.738678 , 2.3277 , 1940 , 170, -120 , 6.35 , 0.048, -0.0319 , 43.9 , 0.0111, -0.010 , 0.2726, 0.0221, -0.010 ,   g235m
  cantalupo_1835_2044,  10.393484 , -49.562990 , 2.4047 ,    4550 , 10, -10 ,   7.96 , 0.010, -0.010 ,   44.9 , 0.010, -0.010 , 0.0729, 0.0001, -0.00 ,   g235m
  valentino_3567_3285,  36.736799 ,  -4.547720 , 2.4193 , 1450 , 140, -150 , 6.42 , 0.0222, -0.0305 , 44.2 , 0.0133, -0.0143 , 0.5268, 0.0201, -0.02 ,   g235m
  valentino_3567_5276, 149.949929 ,   2.079299 , 2.4325 , 1690 , 360, -320 , 6.27 , 0.0646, -0.0742 , 43.6 , 0.0426, -0.0688 , 0.1820, 0.0128, -0.010 ,   g235m
   bluejay_1810_11142, 150.073292 ,   2.293290 , 2.4465 , 2700 , 170, -140 , 6.84 , 0.0189, -0.0215 ,   43.8 , 0.010, -0.010 , 0.0757, 0.0020, -0.00 ,   g235m
       cecilia_2593_4, 356.614369 ,  12.786432 , 2.4498 ,    1050 , 10, -30 , 5.84 , 0.0263, -0.016 ,   44.6 , 0.010, -0.010 , 4.7643, 0.2747, -0.18 ,   g235m
   bluejay_1810_12148, 150.118698 ,   2.302685 , 2.4612 ,  1200 , 80, -110 , 5.94 , 0.0227, -0.0292 ,   44.2 , 0.010, -0.010 , 1.5871, 0.0724, -0.10 ,   g235m
 valentino_3567_54545, 150.108418 ,   2.378934 , 2.4616 ,  1030 , 110, -110 , 5.44 , 0.0296, -0.0426 ,   44.0 , 0.010, -0.010 , 2.8851, 0.1573, -0.18 ,   g235m
   bluejay_1810_19705, 150.107752 ,   2.379484 , 2.4650 , 2280 , 280, -180 , 6.51 , 0.0378, -0.0291 ,   43.9 , 0.010, -0.010 , 0.1808, 0.0089, -0.00 ,   g235m
 valentino_3567_54546, 150.107754 ,   2.379469 , 2.4669 ,  1870 , 80, -100 , 6.58 , 0.0146, -0.0136 ,   44.2 , 0.010, -0.010 , 0.3636, 0.0071, -0.010 ,   g235m
   bluejay_1810_19891, 150.086225 ,   2.381412 , 2.4675 , 1190 , 210, -140 , 5.92 , 0.0363, -0.0497 , 44.0 , 0.0121, -0.0133 , 1.0231, 0.0701, -0.06 ,   g235m
     goodsn_1211_5243, 189.154664 ,  62.274602 , 2.4835 ,  1010 , 320, -150 , 5.99 , 0.0348, -0.0418 , 44.3 , 0.0164, -0.0196 , 1.7602, 0.1129, -0.10 ,   g235m
    aurora_1914_26798, 189.154584 ,  62.274625 , 2.4836 ,   1300 , 90, -60 , 6.12 , 0.0108, -0.0139 ,   44.2 , 0.010, -0.010 , 1.0639, 0.0203, -0.02 ,   g235m
valentino_3567_136272,  34.452493 ,  -5.154707 , 2.4893 , 1470 , 100, -100 , 6.17 , 0.0108, -0.0147 ,   43.9 , 0.010, -0.010 , 0.3854, 0.0061, -0.00 ,   g235m
 macs1149_2758_150337, 177.468506 ,  22.514523 , 2.4919 , 1060 , 1150, -250 , 5.29 , 0.0373, -0.0452 , 43.5 , 0.0177, -0.0164 , 1.3078, 0.1336, -0.08 ,   g235m
    bluejay_1810_8280, 150.086472 ,   2.264299 , 2.4943 ,   2870 , 80, -80 ,   7.17 , 0.010, -0.010 ,   44.4 , 0.010, -0.010 , 0.1259, 0.0009, -0.00 ,   g235m
        gto_1213_9063, 215.094680 ,  52.998226 , 2.5131 , 1770 , 300, -250 , 6.52 , 0.0508, -0.0571 , 44.0 , 0.0335, -0.0345 , 0.2230, 0.0126, -0.010 ,   g235m
    valentino_3567_24,  34.778169 ,  -5.366900 , 2.5405 ,  1290 , 100, -60 , 6.38 , 0.0112, -0.010 , 44.3 , 0.0146, -0.010 , 0.6143, 0.0183, -0.010 ,   g235m
   valentino_3567_406,  34.786143 ,  -5.335534 , 2.5471 , 3000 , 150, -130 , 6.87 , 0.0106, -0.0117 ,   43.9 , 0.010, -0.010 , 0.0781, 0.0009, -0.00 ,   g235m
  macs1149_2758_40151, 177.425232 ,  22.468645 , 2.5750 , 1080 , 130, -130 , 5.4 , 0.0329, -0.0391 ,   43.6 , 0.010, -0.010 , 1.3218, 0.1070, -0.10 ,   g235m
  valentino_3567_4301,  36.725819 ,  -4.533482 , 2.5826 , 1390 , 110, -140 , 6.43 , 0.0251, -0.0173 , 44.2 , 0.0164, -0.0185 , 0.4746, 0.0136, -0.02 ,   g235m
    jades_1180_107700,  53.146178 , -27.779934 , 2.5830 , 1660 , 160, -170 , 6.33 , 0.0233, -0.0233 , 43.9 , 0.013, -0.0129 , 0.2756, 0.0083, -0.010 ,   g235m
      jades_1180_5807,  53.185848 , -27.810034 , 2.5913 , 1710 , 120, -120 , 6.41 , 0.0208, -0.0259 , 44.1 , 0.010, -0.0102 , 0.3583, 0.0092, -0.010 ,   g235m
     jades_1286_37746,  53.182003 , -27.814182 , 2.6151 , 1490 , 160, -140 , 6.12 , 0.0213, -0.0294 , 43.7 , 0.013, -0.014 , 0.3238, 0.0099, -0.010 ,   g235m
    bluejay_1810_8002, 150.119934 ,   2.261021 , 2.6864 , 1910 , 230, -210 , 6.36 , 0.0374, -0.03 ,   44.2 , 0.010, -0.010 , 0.5792, 0.0471, -0.03 ,   g235m
      gds_1207_208030,  53.180521 , -27.779717 , 2.6935 ,   1820 , 90, -80 ,   6.56 , 0.010, -0.010 ,   44.1 , 0.010, -0.010 , 0.2627, 0.0041, -0.00 ,   g235m
      jades_1180_6112,  53.178704 , -27.802697 , 2.6948 , 1670 , 340, -260 , 6.28 , 0.0452, -0.0443 , 43.7 , 0.0267, -0.0256 , 0.2177, 0.0109, -0.010 ,   g235m
   cosmos_4318_126981, 150.461199 ,   2.429556 , 2.8003 , 1890 , 220, -160 , 6.36 , 0.0272, -0.0248 , 43.6 , 0.0155, -0.0153 , 0.1547, 0.0042, -0.00 ,   g235m
    excels_3543_98447,  34.374528 ,  -5.163477 , 2.8037 ,  4550 , 10, -270 , 6.95 , 0.102, -0.116 , 43.3 , 0.010, -0.0216 , 0.0165, 0.0019, -0.00 ,   g235m
      gds_1207_201027,  53.126930 , -27.804682 , 2.8720 ,   1660 , 70, -60 , 6.49 , 0.017, -0.0125 , 44.0 , 0.0129, -0.015 , 0.2390, 0.0044, -0.00 ,   g235m
 valentino_3567_44021, 214.876286 ,  52.852347 , 2.8968 ,   1960 , 20, -30 ,   6.98 , 0.010, -0.010 ,   44.5 , 0.010, -0.010 , 0.2538, 0.0016, -0.00 ,   g235m
       jades_1181_721, 189.153759 ,  62.222323 , 2.9436 ,   2670 , 40, -30 ,   7.32 , 0.010, -0.010 ,   44.6 , 0.010, -0.010 , 0.1482, 0.0007, -0.00 ,   g235m
     jades_1181_28428, 189.235679 ,  62.253620 , 2.9579 ,   2160 , 90, -90 , 6.82 , 0.0145, -0.0128 ,   44.1 , 0.010, -0.010 , 0.1651, 0.0025, -0.00 ,   g235m
     jades_1181_23367, 189.201153 ,  62.248935 , 2.9800 , 1280 , 1230, -300 , 6.0 , 0.0381, -0.0524 , 43.8 , 0.0617, -0.0698 , 0.4867, 0.0647, -0.06 ,   g235m
 valentino_3567_10480, 149.416615 ,   2.042305 , 2.9827 , 1540 , 120, -110 , 6.36 , 0.0175, -0.0256 ,   44.4 , 0.010, -0.010 , 0.8038, 0.0265, -0.03 ,   g235m
 valentino_3567_51372, 150.072298 ,   2.370851 , 2.9896 ,  1720 , 100, -90 , 6.38 , 0.0111, -0.0102 ,   43.9 , 0.010, -0.010 , 0.2755, 0.0046, -0.00 ,   g235m
     lyc22_1869_20013, 334.283137 ,   0.337929 , 3.0488 , 1340 , 150, -170 , 6.07 , 0.0125, -0.0173 ,   44.1 , 0.010, -0.010 , 0.9137, 0.0230, -0.03 ,   g235m
     lyc22_1869_20081, 334.275953 ,   0.314617 , 3.0502 ,    1010 , 70, -40 , 5.72 , 0.0127, -0.0116 ,   44.4 , 0.010, -0.010 , 3.4637, 0.1181, -0.09 ,   g235m
    jades_1180_197911,  53.165314 , -27.814140 , 3.0622 ,   2410 , 50, -50 ,   7.24 , 0.010, -0.010 ,   44.6 , 0.010, -0.010 , 0.1873, 0.0020, -0.00 ,   g235m
      lyc22_1869_2009, 334.235371 ,   0.333313 , 3.0743 ,   1570 , 50, -40 ,   6.36 , 0.010, -0.010 ,   44.1 , 0.010, -0.010 , 0.4420, 0.0032, -0.00 ,   g235m
     jades_1181_22456, 189.035722 ,  62.243154 , 3.1289 , 1720 , 110, -100 , 6.73 , 0.0173, -0.0154 , 44.3 , 0.0124, -0.0111 , 0.3260, 0.0068, -0.010 ,   g235m
     aurora_1914_4740, 150.158779 ,   2.226062 , 3.1566 ,    1300 , 50, -40 ,   5.86 , 0.010, -0.010 ,   44.6 , 0.010, -0.010 , 4.3604, 0.0665, -0.07 ,   g395h
   aurora_1914_921842, 189.197371 ,  62.253779 , 3.1738 ,   1820 , 50, -60 ,   6.58 , 0.010, -0.010 ,   44.3 , 0.010, -0.010 , 0.4471, 0.0047, -0.00 ,   g395h
      jades_1180_7384,  53.178503 , -27.784107 , 3.1882 ,   3760 , 50, -80 ,   7.67 , 0.010, -0.010 ,   44.7 , 0.010, -0.010 , 0.0883, 0.0004, -0.00 ,   g395h
 valentino_3567_45518, 150.115564 ,   2.353696 , 3.2079 , 1760 , 150, -160 , 6.39 , 0.026, -0.0293 ,   44.1 , 0.010, -0.010 , 0.3637, 0.0107, -0.010 ,   g395h
   bluejay_1810_17000, 150.115551 ,   2.353707 , 3.2093 , 1460 , 250, -190 , 6.06 , 0.0503, -0.0539 , 43.8 , 0.0122, -0.0122 , 0.4856, 0.0365, -0.03 ,   g395h
 valentino_3567_40442, 214.895613 ,  52.856498 , 3.2396 ,     4540 , 10, -200 , 7.53 , 0.0241, -0.0202 ,   44.2 , 0.010, -0.010 , 0.0355, 0.0009, -0.00 ,   g395m
    bluejay_1810_7102, 150.089834 ,   2.250410 , 3.2653 ,   1660 , 60, -70 ,   6.47 , 0.010, -0.010 ,   44.3 , 0.010, -0.010 , 0.5272, 0.0073, -0.010 ,   g395m
     jades_1181_53501, 189.295056 ,  62.193572 , 3.4304 , 1990 , 180, -130 , 6.8 , 0.0144, -0.0134 ,   44.4 , 0.010, -0.010 , 0.2984, 0.0066, -0.00 ,   g395m
 valentino_3567_53035, 214.864145 ,  52.866148 , 3.4393 ,    1010 , 50, -40 ,   6.11 , 0.010, -0.010 ,   44.5 , 0.010, -0.010 , 2.1047, 0.0262, -0.03 ,   g395m
     aurora_1914_6124, 150.181709 ,   2.239991 , 3.4592 , 1830 , 350, -370 , 6.43 , 0.0293, -0.0397 , 44.1 , 0.0102, -0.0186 , 0.3815, 0.0137, -0.03 ,   g395m
    jades_1286_180575,  53.085472 , -27.858170 , 3.4741 ,  1010 , 720, -100 , 5.84 , 0.027, -0.0316 , 44.5 , 0.0192, -0.0109 , 3.3781, 0.2162, -0.19 ,   g395m
      j0226_3325_1884,  36.530834 ,   3.056698 , 3.5811 ,   2780 , 50, -40 ,   7.59 , 0.010, -0.010 ,   45.1 , 0.010, -0.010 , 0.2407, 0.0014, -0.00 ,   g395m
   cosmos_4318_126891, 150.486200 ,   2.427953 , 3.5949 ,   2260 , 20, -20 ,   7.25 , 0.010, -0.010 ,   44.8 , 0.010, -0.010 , 0.2688, 0.0013, -0.00 ,   g395m
     jades_1180_17341,  53.087269 , -27.729623 , 3.5963 , 1220 , 1090, -340 , 6.23 , 0.0478, -0.0615 , 44.3 , 0.0311, -0.0199 , 0.9697, 0.0842, -0.05 ,   g395m
    rubies_4233_50522, 214.855980 ,  52.854661 , 3.6138 , 1380 , 310, -210 , 6.19 , 0.0484, -0.0611 , 43.9 , 0.0334, -0.0414 , 0.3704, 0.0241, -0.02 ,   g395m
   rubies_4233_150323,  34.417822 ,  -5.134842 , 3.6178 , 1720 , 150, -130 , 6.54 , 0.0213, -0.0144 , 44.1 , 0.0232, -0.011 , 0.3090, 0.0169, -0.010 ,   g395m
     stark_2478_16056, 342.180171 , -44.560590 , 3.6266 ,  1020 , 560, -430 , 5.79 , 0.0474, -0.0603 , 44.3 , 0.0161, -0.0136 , 2.7151, 0.3376, -0.26 ,   g395m
    rubies_4233_58237, 214.850571 ,  52.866030 , 3.6493 ,   1940 , 60, -90 ,   6.86 , 0.010, -0.010 , 44.4 , 0.010, -0.0103 , 0.2581, 0.0038, -0.00 ,   g395m
    rubies_4233_61627,  34.238394 ,  -5.205775 , 3.6546 , 1200 , 240, -190 , 6.06 , 0.0386, -0.0346 , 44.0 , 0.02, -0.0195 , 0.7311, 0.0495, -0.03 ,   g395m
  macs1149_2758_60003, 177.464005 ,  22.517816 , 3.6639 , 1220 , 150, -130 ,  5.8 , 0.0244, -0.03 ,   44.1 , 0.010, -0.010 , 1.6196, 0.0852, -0.09 ,   g395m
   rubies_4233_150987,  34.279081 ,  -5.134019 , 3.6645 , 2720 , 500, -420 , 7.03 , 0.0366, -0.036 , 44.2 , 0.0121, -0.0118 , 0.1118, 0.0041, -0.00 ,   g395m
    rubies_4233_15825, 215.079264 ,  52.934252 , 3.6650 , 3970 , 180, -180 ,   7.65 , 0.010, -0.010 ,   44.6 , 0.010, -0.010 , 0.0681, 0.0008, -0.00 ,   g395m
      jades_1181_2916, 189.107739 ,  62.269525 , 3.6653 ,  1100 , 270, -140 , 5.73 , 0.0343, -0.0348 , 44.0 , 0.0151, -0.0145 , 1.5960, 0.0965, -0.08 ,   g395m
       gdn_4762_36344, 189.149320 ,  62.207477 , 3.6813 , 1660 , 140, -130 , 6.49 , 0.016, -0.0144 ,   44.2 , 0.010, -0.010 , 0.4060, 0.0072, -0.010 ,   g395m
  macs1149_1199_20024, 177.424202 ,  22.386257 , 3.6960 ,   1850 , 80, -90 , 6.83 , 0.0108, -0.010 ,   44.5 , 0.010, -0.010 , 0.3608, 0.0064, -0.00 ,   g395m
    jades_1180_209777,  53.158471 , -27.774046 , 3.7099 ,   4000 , 50, -50 ,   7.94 , 0.010, -0.010 ,   45.0 , 0.010, -0.010 , 0.0949, 0.0004, -0.00 ,   g395m
 valentino_3567_20910, 214.949018 ,  52.851747 , 3.7197 ,   2340 , 50, -60 ,   7.16 , 0.010, -0.010 ,   44.5 , 0.010, -0.010 , 0.1849, 0.0012, -0.00 ,   g395m
   glimpse_9223_34789, 342.233643 , -44.534100 , 3.7426 ,  1020 , 460, -70 , 5.69 , 0.0118, -0.0122 , 43.9 , 0.0167, -0.010 , 1.1703, 0.0428, -0.02 ,   g395m
   glimpse_9223_43084, 342.233398 , -44.539059 , 3.7479 ,   1830 , 50, -40 ,   6.57 , 0.010, -0.010 ,   44.1 , 0.010, -0.010 , 0.2577, 0.0019, -0.00 ,   g395m
valentino_3567_217057, 149.425650 ,   2.060945 , 3.7518 ,    1030 , 30, -20 ,   5.99 , 0.010, -0.010 ,   44.5 , 0.010, -0.010 , 2.6850, 0.0349, -0.04 ,   g395m
    excels_3543_67887,  34.368747 ,  -5.214285 , 3.7650 ,   2210 , 30, -30 ,   7.29 , 0.010, -0.010 ,   45.0 , 0.010, -0.010 , 0.3768, 0.0025, -0.00 ,   g395m
  valentino_3567_1546, 149.419071 ,   2.017789 , 3.7675 , 1190 , 370, -280 , 6.11 , 0.0624, -0.109 , 43.9 , 0.0637, -0.0594 , 0.4435, 0.0365, -0.04 ,   g395m
    excels_3543_34495,  34.289463 ,  -5.269810 , 3.7976 , 4570 , 140, -610 , 7.19 , 0.0312, -0.0295 ,   43.8 , 0.010, -0.010 , 0.0306, 0.0006, -0.00 ,   g395m
    rubies_4233_10036,  34.381671 ,  -5.303742 , 3.8052 , 1510 , 180, -220 , 6.31 , 0.0291, -0.0224 , 44.0 , 0.0144, -0.012 , 0.3614, 0.0127, -0.010 ,   g395m
    excels_3543_51825,  34.360275 ,  -5.240628 , 3.8088 , 1650 , 400, -150 , 6.29 , 0.0844, -0.0889 , 44.1 , 0.0236, -0.0296 , 0.5400, 0.5163, -0.21 ,   g395m
    jades_1286_179198,  53.088977 , -27.860695 , 3.8299 , 1050 , 110, -120 , 5.66 , 0.025, -0.0279 ,   44.1 , 0.010, -0.010 , 2.3138, 0.1074, -0.11 ,   g395m
    rubies_4233_37032, 214.849388 ,  52.811824 , 3.8515 , 1410 , 290, -160 , 6.3 , 0.0216, -0.0221 , 43.9 , 0.0403, -0.0286 , 0.3429, 0.0233, -0.02 ,   g395m
    rubies_4233_45502, 214.896493 ,  52.870871 , 3.8609 , 1860 , 20, -3720 , 6.72 , 0.0421, -0.0483 , 44.5 , 0.010, -0.0305 , 0.4834, 0.1300, -0.10 ,   g395m
    rubies_4233_41926, 214.929216 ,  52.885041 , 3.8650 ,  1030 , 390, -130 , 5.7 , 0.0307, -0.0319 , 44.2 , 0.0199, -0.0139 , 2.5256, 0.2004, -0.12 ,   g395m
   excels_3543_112990,  34.274454 ,  -5.143780 , 3.8906 , 2110 , 290, -270 , 6.59 , 0.0299, -0.0379 , 44.0 , 0.010, -0.0138 , 0.2108, 0.0052, -0.010 ,   g395m
    rubies_4233_25712, 214.860745 ,  52.796831 , 3.8918 ,    1080 , 50, -50 ,   6.14 , 0.010, -0.010 ,   44.2 , 0.010, -0.010 , 0.8128, 0.0092, -0.010 ,   g395m
     jades_1180_13329,  53.139038 , -27.784433 , 3.9358 , 1540 , 290, -220 , 6.3 , 0.0382, -0.0393 , 44.0 , 0.0135, -0.0132 , 0.4362, 0.0191, -0.010 ,   g395m
        gto_1215_3757,  34.322542 ,  -5.171391 , 3.9423 , 1220 , 240, -230 , 6.53 , 0.0266, -0.0298 ,  44.5 , 0.034, -0.010 , 0.6607, 0.0374, -0.03 ,   g395m
    rubies_4233_16053,  34.367104 ,  -5.293524 , 3.9523 ,  1040 , 190, -100 , 5.69 , 0.0353, -0.0422 , 43.6 , 0.0225, -0.027 , 0.6064, 0.0303, -0.03 ,   g395m
   rubies_4233_147412,  34.360740 ,  -5.139000 , 3.9653 , 2050 , 680, -460 , 6.54 , 0.0363, -0.0279 , 43.9 , 0.0199, -0.0288 , 0.2032, 0.0126, -0.010 ,   g395m
      jades_1181_2331, 189.057303 ,  62.270060 , 3.9664 , 1110 , 190, -130 , 5.98 , 0.0293, -0.0522 ,   44.4 , 0.010, -0.010 , 2.0469, 0.1204, -0.17 ,   g395m
   rubies_4233_160366,  34.202863 ,  -5.121150 , 3.9706 , 1550 , 780, -580 , 5.97 , 0.128, -0.178 , 43.5 , 0.0559, -0.112 , 0.2676, 0.0475, -0.04 ,   g395m
   excels_3543_113667,  34.242590 ,  -5.143077 , 3.9746 , 2170 , 120, -110 , 6.39 , 0.0215, -0.0258 , 43.5 , 0.0209, -0.024 , 0.0964, 0.0044, -0.00 ,   g395m
   valentino_3567_793,  34.757418 ,  -5.302532 , 3.9757 ,    1030 , 40, -50 , 5.95 , 0.0119, -0.014 ,   44.5 , 0.010, -0.010 , 2.8925, 0.0661, -0.07 ,   g395m
     rubies_4233_8895,  34.363041 ,  -5.306108 , 3.9810 , 1420 , 150, -120 , 6.67 , 0.0213, -0.0167 ,   44.8 , 0.010, -0.010 , 1.1773, 0.0483, -0.03 ,   g395m
  valentino_3567_1369, 149.430359 ,   2.010774 , 3.9827 , 1100 , 580, -360 , 5.91 , 0.0307, -0.0488 , 44.0 , 0.0171, -0.0234 , 0.9237, 0.0490, -0.04 ,   g395m
    valentino_3567_18,  34.316190 ,  -5.051441 , 3.9856 ,  2110 , 10, -4070 ,   6.93 , 0.89, -0.010 ,   44.4 , 0.010, -0.010 , 0.2234, 0.8278, -1.02 ,   g395m
    rubies_4233_30969,  34.296356 ,  -5.268672 , 3.9989 , 1250 , 200, -200 , 6.2 , 0.0187, -0.0304 , 44.5 , 0.010, -0.0111 , 1.7362, 0.0660, -0.10 ,   g395m
   valentino_3567_262,  34.298697 ,  -4.989901 , 4.0116 ,     4540 , 10, -200 ,   7.72 , 0.010, -0.010 ,   44.5 , 0.010, -0.010 , 0.0457, 0.0007, -0.00 ,   g395m
   glass_1324_160133,  3.58027536 ,	-30.42440414 , 4.0116 ,     750 , 30, -20 ,   5.82 , 0.0109, -0.007 ,   44.5 , 0.005, -0.005 , 4.091, 0.059, -0.082 ,   g395h
  jades_1180_10013268,  53.201828 , -27.820880 , 4.0395 , 1240 , 440, -180 , 5.81 , 0.0287, -0.0425 , 43.7 , 0.0139, -0.013 , 0.5783, 0.0292, -0.03 ,   g395m
   aurora_1914_927605, 189.151830 ,  62.272228 , 4.0472 , 1500 , 130, -110 , 6.32 , 0.0131, -0.0162 ,   44.2 , 0.010, -0.010 , 0.6152, 0.0113, -0.010 ,   g395m
   rubies_4233_119559,  34.304860 ,  -5.177419 , 4.0885 , 1690 , 220, -210 , 6.39 , 0.05, -0.0477 , 43.8 , 0.0261, -0.0321 , 0.2250, 0.0103, -0.010 ,   g395m
    excels_3543_42268,  34.297511 ,  -5.257169 , 4.1204 ,   2220 , 60, -60 ,   6.86 , 0.010, -0.010 ,   44.3 , 0.010, -0.010 , 0.2326, 0.0018, -0.00 ,   g395m
    rubies_4233_31747,  34.223757 ,  -5.260245 , 4.1291 , 1620 , 70, -4030 ,  6.55 , 0.848, -0.010 , 44.1 , 0.0747, -0.010 , 0.3047, 2.7160, -2.43 ,   g395m
     jades_1181_73488, 189.197396 ,  62.177233 , 4.1325 ,   2000 , 50, -50 ,   6.84 , 0.010, -0.010 ,   44.4 , 0.010, -0.010 , 0.2658, 0.0016, -0.00 ,   g395m
        gdn_2674_3761, 189.259528 ,  62.172083 , 4.1393 , 1430 , 350, -310 , 5.91 , 0.0326, -0.0404 ,   43.8 , 0.010, -0.010 , 0.6491, 0.0364, -0.04 ,   g395m
    excels_3543_89922,  34.255946 ,  -5.177851 , 4.1427 ,    880 , 80, -60 , 5.93 , 0.0203, -0.0182 ,   44.4 , 0.010, -0.010 , 2.4580, 0.0864, -0.07 ,   g395m
