           id        ,  ra        ,    dec     ,  zspec , fwhm_broad_halpha, fwhm_broad_halpha_up, fwhm_broad_halpha_lo, log_mbh, log_mbh_up, log_mbh_lo, log_lbol, log_lbol_up, log_lbol_lo, edd_ratio, edd_ratio_up, edd_ratio_lo, grating
       egs_4106_71365, 214.895545 ,  52.906722 , 4.8004 , 1010 , 200, -100 , 5.79 , 0.0267, -0.0299 , 43.8 , 0.0176, -0.0193 , 0.7263, 0.0295, -0.03 ,   g395m
    rubies_4233_48449,  34.231608 ,  -5.230873 , 4.8174 ,  1030 , 300, -230 , 5.59 , 0.068, -0.114 , 43.9 , 0.0195, -0.0328 , 1.4932, 0.1966, -0.20 ,   g395m
     jades_1286_38562,  53.135864 , -27.871645 , 4.8218 , 2870 , 240, -250 , 6.94 , 0.0285, -0.0324 ,   44.2 , 0.010, -0.010 , 0.1322, 0.0016, -0.00 ,   g395m
  valentino_3567_1552, 149.412489 ,   2.018099 , 4.8376 ,  2640 , 100, -80 ,    7.2 , 0.010, -0.010 ,   44.5 , 0.010, -0.010 , 0.1546, 0.0013, -0.00 ,   g395m
     jades_1181_39353, 189.293952 ,  62.153091 , 4.8475 , 1180 , 660, -190 , 5.96 , 0.0322, -0.0454 , 43.9 , 0.0205, -0.0344 , 0.6250, 0.0294, -0.04 ,   g395m
     rubies_4233_6411, 215.109185 ,  52.939770 , 4.8796 , 1220 , 160, -130 , 5.86 , 0.0279, -0.0489 , 43.8 , 0.0125, -0.02 , 0.6908, 0.0306, -0.05 ,   g395m
     j0910_2028_14324, 137.714327 ,  -4.221305 , 4.9093 ,   2860 , 70, -60 ,   7.32 , 0.010, -0.010 ,   44.6 , 0.010, -0.010 , 0.1659, 0.0017, -0.00 ,   g395m
     jades_1180_13520,  53.131565 , -27.809901 , 4.9441 , 1150 , 410, -240 , 5.81 , 0.042, -0.0577 , 44.0 , 0.0108, -0.0116 , 1.1296, 0.0908, -0.08 ,   g395m
       egs_4106_51623, 214.886818 ,  52.855389 , 4.9528 ,   2240 , 80, -60 ,    7.0 , 0.010, -0.010 ,   44.4 , 0.010, -0.010 , 0.1964, 0.0028, -0.00 ,   g395m
    rubies_4233_42232, 214.886792 ,  52.855381 , 4.9528 , 2130 , 130, -140 , 6.93 , 0.0115, -0.0138 ,   44.4 , 0.010, -0.010 , 0.2124, 0.0039, -0.00 ,   g395m
  macs0416_4750_60009,  64.056234 , -24.113539 , 4.9992 ,   1660 , 60, -80 ,   6.38 , 0.010, -0.010 ,   43.9 , 0.010, -0.010 , 0.2658, 0.0030, -0.00 ,   g395m
     jades_1181_68797, 189.229137 ,  62.146190 , 5.0397 ,   3250 , 60, -30 ,   7.82 , 0.010, -0.010 ,   45.2 , 0.010, -0.010 , 0.1850, 0.0007, -0.00 ,   g395m
   rubies_4233_166271,  34.353256 ,  -5.112267 , 5.0758 , 1610 , 390, -360 ,  6.4 , 0.0438, -0.0444 , 44.0 , 0.034, -0.0301 , 0.2796, 0.0181, -0.02 ,   g395m
    jades_1286_159717,  53.097528 , -27.901260 , 5.0774 ,   2570 , 50, -40 , 7.24 , 0.010 , -0.010  ,   44.5 , 0.010, -0.010 , 0.1615, 0.0008, -0.00 ,   g395m
    rubies_4233_61496, 214.972441 ,  52.962192 , 5.0795 , 1440 , 180, -150 , 6.35 , 0.0261, -0.0222 , 44.0 , 0.0248, -0.018 , 0.3586, 0.0163, -0.010 ,   g395m
 valentino_3567_44330, 150.076721 ,   2.350921 , 5.1308 , 1830 , 670, -390 , 6.63 , 0.0241, -0.028  , 44.2 , 0.0394, -0.0541 , 0.2703, 0.0227, -0.02 ,   g395m
          gdn_2674_14, 189.199812 ,  62.161474 , 5.1800 ,   3520 , 60, -60 , 7.69 , 0.010 , -0.010  ,   44.8 , 0.010, -0.010 , 0.1092, 0.0006, -0.00 ,   g395m
     jades_1181_78773, 189.202942 ,  62.204654 , 5.1876 ,  890 , 220, -100 , 5.78 , 0.0156, -0.0282 ,   44.5 , 0.010, -0.010 , 4.6524, 0.1701, -0.24 ,   g395m
          gdn_2674_32, 189.265470 ,  62.199359 , 5.2197 , 1790 , 220, -190 , 6.51 , 0.0188, -0.0184 ,   44.4 , 0.010, -0.010 , 0.5579, 0.0193, -0.010 ,   g395m
   rubies_4233_148866,  34.326433 ,  -5.137382 , 5.2226 , 1410 , 230, -160 , 6.37 , 0.0242, -0.0296 , 44.1 , 0.0165, -0.0171 , 0.4639, 0.0157, -0.010 ,   g395m
     jades_1181_77652, 189.293228 ,  62.199003 , 5.2286 , 1110 , 170, -150 , 6.03 , 0.0315, -0.0304 , 44.0 , 0.0142, -0.0133 , 0.7048, 0.0225, -0.02 ,   g395m
      ceers_1345_2782, 214.823453 ,  52.830281 , 5.2390 , 2490 , 410, -500 , 6.73 , 0.0279, -0.0315 ,   44.0 , 0.010, -0.010 , 0.1615, 0.0042, -0.00 ,   g395m
