id,file,root,ra,dec,zspec
6368_43711,capers-cos07-v4_prism-clear_6368_43711.spec.fits,capers-cos07-v4,150.1026261,2.2495968,4.42044
6368_119334,capers-cos10-v4_prism-clear_6368_119334.spec.fits,capers-cos10-v4,150.13625319999,2.3080298,9.294025001594942
6368_30440,capers-cos10-v4_prism-clear_6368_30440.spec.fits,capers-cos10-v4,150.1209104,2.3179337,3.5045
6368_32659,capers-cos10-v4_prism-clear_6368_32659.spec.fits,capers-cos10-v4,150.124025,2.3068265,4.44217
6368_160387,capers-cos13-v4_prism-clear_6368_160387.spec.fits,capers-cos13-v4,150.12940409999,2.39366759999,6.38003
6368_4771,capers-cos19-v4_prism-clear_6368_4771.spec.fits,capers-cos19-v4,150.1610287,2.4658044,5.92735
6368_9226,capers-cos19-v4_prism-clear_6368_9226.spec.fits,capers-cos19-v4,150.175938,2.4324301,3.7241027
6368_19300,capers-egs47-v4_prism-clear_6368_19300.spec.fits,capers-egs47-v4,215.0220704,52.9207862,4.5332627
6368_212932,capers-egs47-v4_prism-clear_6368_212932.spec.fits,capers-egs47-v4,215.0096746,52.9285058,2.28602
6368_11585,capers-egs49-v4_prism-clear_6368_11585.spec.fits,capers-egs49-v4,214.8922488,52.8774032,6.6958222
6368_8752,capers-egs49-v4_prism-clear_6368_8752.spec.fits,capers-egs49-v4,214.8761374,52.880826,8.357495
6368_10108,capers-egs53-v4_prism-clear_6368_10108.spec.fits,capers-egs53-v4,214.7975318,52.818752,6.6230583
6368_23961,capers-egs61-v4_prism-clear_6368_23961.spec.fits,capers-egs61-v4,214.8996993,52.81284,5.00191
6368_14197,capers-egs65-v4_prism-clear_6368_14197.spec.fits,capers-egs65-v4,214.9295105,52.8879118,7.152932
6368_19799,capers-egs65-v4_prism-clear_6368_19799.spec.fits,capers-egs65-v4,214.9241459,52.8490471,4.2235518
6368_23419,capers-udsp1-v4_prism-clear_6368_23419.spec.fits,capers-udsp1-v4,34.47110735198,-5.19045542709,5.5160136
