id, ra, dec, mag, mu, muv, beta, zspec, zphot
GLASSz8-1, 3.60452, -30.38047, 25.56, 2.00, -20.37, -1.69, 8.04, 7.90
GLASSz8-2, 3.60135, -30.37921, 24.79, 2.10, -19.68, -1.33, 7.90, 7.55
