id, ra, dec, id_zf, zphot, mass, sn, s11
A2GS64  , 53.180574  , -27.779729  , 18336   , 2.67    , 10.67   , 4.19   ,  0.53
A2GS65  , 53.060693  , -27.882386  , 5860    , 2.22    , 11.15   , 4.16   ,  0.98
A2GS66  , 53.028301  , -27.778904  , 18460   , 1.686   , 10.81   , 4.16   ,  0.35
A2GS67  , 53.168078  , -27.832547  , 11581   , 0.650   , 10.30   , 4.15   ,  0.60
A2GS68  , 53.100219  , -27.842636  , 10418   , 1.413   , 10.10   , 4.10   ,  0.43
A2GS69  , 53.143518  , -27.783274  , 17733   , 1.414   , 10.89   , 4.09   ,  0.55
A2GS70  , 53.065710  , -27.809225  , 14760   , 2.61    , 9.61    , 4.06   ,  0.46
A2GS71  , 53.127853  , -27.867664  , 7653    , 3.026   , 10.26   , 4.05   ,  0.67
A2GS72  , 53.138771  , -27.805110  , 15233   , 2.28    , 9.37    , 4.04   ,  0.25
A2GS73  , 53.143706  , -27.834860  , 11381   , 1.987   , 10.15   , 4.03   ,  0.40
A2GS74  , 53.089200  , -27.760137  , 20735   , 1.61    , 11.31   , 3.97   ,  0.54
A2GS75  , 53.072754  , -27.834274  , 11449   , 1.618   , 11.25   , 3.96   ,  0.69
A2GS76  , 53.141751  , -27.816725  , 13714   , 2.53    , 11.24   , 3.94   ,  0.39
A2GS77  , 53.196745  , -27.772431  , 19313   , 2.805   , 10.55   , 3.90   ,  0.40
A2GS78  , 53.138604  , -27.821299  , 13269   , 3.65    , 10.15   , 3.89   ,  0.38
A2GS79  , 53.166960  , -27.798800  , 15702   , 1.998   , 10.94   , 3.84   ,  0.44
A2GS80  , 53.176495  , -27.785575  , 17465   , 1.314   , 11.06   , 3.82   ,  0.52
A2GS81  , 53.107330  , -27.804163  , 15305   , 2.66    , 10.63   , 3.82   ,  0.47
A2GS82  , 53.162978  , -27.841940  , 10656   , 4.38    , 10.61   , 3.79   ,  0.40
A2GS83  , 53.169775  , -27.824041  , 12763   , 2.130   , 11.00   , 3.78   ,  0.50
A2GS84  , 53.199969  , -27.774185  , 19133   , 4.36    , 10.74   , 3.71   ,  0.47
A2GS85  , 53.154933  , -27.730797  , 24422   , 2.72    , 10.77   , 3.68   ,  0.65
A2GS86  , 53.180784  , -27.835827  , 11385   , 1.95    , 10.12   , 3.65   ,  0.41
A2GS87  , 53.119150  , -27.814066  , 14122   , 3.32    , 10.56   , 3.63   ,  0.43
A2GS88  , 53.074368  , -27.849730  , 8874    , 0.123   , 10.21   , 3.59   ,  0.41
