id,ra,dec,zspec,source,qf
6041,177.6963723,-28.0931803,4.3337,m,9
6052,177.6966138,-28.0931012,5.9759,m,9
625,177.7019449,-28.0914314,0.4713,d,3
95,177.6996931,-28.0900366,0.4,m,3
6012,177.7004681,-28.0890348,4.3462,m,9
908,177.6959579,-28.0909943,0.384,m,3
971,177.6954523,-28.0912658,0.3841,m,3
994,177.6961704,-28.0908799,0.3838,m,3
1004,177.6959467,-28.0908163,0.0,m,3
3275,177.6970378,-28.0892689,0.5481,m,1
1012,177.6948236,-28.0907054,0.4192,m,9
6051,177.6953798,-28.0904011,5.9757,m,9
1093,177.6948071,-28.0894176,0.0,m,3
3266,177.6954912,-28.0881349,0.4023,m,3
3267,177.6956245,-28.0886161,0.3752,m,3
3268,177.6960423,-28.0889537,0.894,m,3
1118,177.6974762,-28.0891293,4.3471,m,9
6011,177.6974454,-28.0891679,4.3461,m,9
1002,177.7007267,-28.0876564,0.3983,m,3
1109,177.6993098,-28.0875997,0.386,m,3
1107,177.6968341,-28.0877687,1.4092,m,9
1278,177.6968493,-28.086817,1.4077,m,9
1219,177.698764,-28.0856234,0.3943,m,3
1276,177.6981493,-28.08703,0.0,m,3
735,177.6878195,-28.094908,1.42,m,9
736,177.6876751,-28.0949061,1.42,m,9
745,177.6877301,-28.094844,1.42,m,9
748,177.68787,-28.0948137,1.42,m,9
752,177.6879295,-28.094739,1.42,m,9
755,177.6878413,-28.0947225,1.42,m,9
759,177.6877375,-28.0946694,1.42,m,9
768,177.6862541,-28.0946011,0.373,m,3
826,177.6885162,-28.0935536,1.0739,m,9
857,177.6881888,-28.0928423,0.386,m,2
863,177.689588,-28.0928801,0.6286,m,3
903,177.6889181,-28.0921204,0.6266,m,3
914,177.689062,-28.0921544,0.6271,m,3
616,177.6856963,-28.0940748,0.373,m,3
818,177.6861998,-28.0937881,0.3997,m,3
954,177.6876986,-28.0914724,1.423,m,3
957,177.6879451,-28.0914446,1.423,m,3
962,177.6877541,-28.0913832,1.423,m,3
837,177.6917111,-28.091282,0.3759,m,3
907,177.6915773,-28.0900058,0.6277,m,3
966,177.6911034,-28.0913316,0.3757,m,3
991,177.6912202,-28.0909665,0.3856,m,3
864,177.6901902,-28.0885065,0.6288,m,3
1044,177.6905262,-28.0900998,3.855,m,1
952,177.6863025,-28.0903917,0.0661,m,3
1019,177.685295,-28.0905626,0.3831,m,3
6026,177.6849892,-28.0901776,5.4674,m,9
955,177.6824814,-28.0908788,0.3744,m,3
1040,177.6843334,-28.0901939,1.5825,m,1
1082,177.6842747,-28.089548,0.3809,m,3
1074,177.6866735,-28.0896398,0.3898,m,3
1128,177.688127,-28.0889452,0.3743,m,3
1131,177.6864479,-28.0889132,0.3031,m,3
1216,177.6886011,-28.0878673,2.4939,m,1
1232,177.6886348,-28.0876284,2.4939,m,1
1160,177.6873041,-28.087828,0.3914,m,3
1239,177.6860096,-28.0875319,0.3709,m,1
1248,177.6873089,-28.0873739,0.0,m,3
895,177.6926723,-28.0902831,0.4192,m,3
1083,177.6935279,-28.0894834,0.3902,m,3
3269,177.6943463,-28.0874248,0.3311,m,3
3273,177.6949266,-28.0882913,4.3338,m,9
6040,177.6949297,-28.0882885,4.3334,m,9
6046,177.6939316,-28.0885676,4.8768,m,9
164,177.690562,-28.0880303,0.3935,m,3
3270,177.6959376,-28.0862707,0.0,m,3
1146,177.6892639,-28.0844766,2.4939,m,1
1317,177.6889088,-28.0863885,2.4939,m,1
1351,177.6888574,-28.0859058,2.4939,m,1
1364,177.6890529,-28.0847513,2.4939,m,1
1377,177.6889088,-28.0856664,2.4939,m,1
1407,177.688986,-28.0852728,2.4939,m,1
1433,177.6892004,-28.0850808,2.4939,m,1
1445,177.6892644,-28.084968,2.4939,m,1
1453,177.6883142,-28.084847,0.3908,m,3
1571,177.6888823,-28.0857095,1.0602,m,1
1542,177.6891062,-28.0839938,2.4939,m,1
1548,177.6925932,-28.0839386,0.3304,m,3
1553,177.6920066,-28.0837132,1.2438,m,3
1581,177.6929315,-28.083518,0.0,m,3
6039,177.6942015,-28.0824167,4.3337,m,9
6047,177.6933783,-28.0824009,4.8772,m,9
1670,177.6918177,-28.0822111,0.383,m,3
1208,177.7043215,-28.0879698,0.6359,m,1
1240,177.7025947,-28.0875163,0.3831,m,2
1257,177.7019886,-28.0872561,0.3774,m,3
1287,177.7034062,-28.0868397,0.3684,m,3
1290,177.7043379,-28.0868044,0.3646,m,2
1190,177.7075831,-28.0863687,0.3906,m,3
1327,177.7082108,-28.0862655,0.5575,m,3
1549,177.7058869,-28.0839335,3.7669,m,9
1558,177.7060043,-28.0838711,3.7683,m,3
1582,177.7067254,-28.0835042,3.7683,m,9
1296,177.7009726,-28.0866783,3.3361,m,1
1323,177.7017979,-28.0855877,0.381,m,3
1455,177.7020516,-28.0848384,0.0,m,3
1523,177.7027611,-28.0841841,0.3638,m,2
1370,177.7001876,-28.085697,0.0,m,3
1441,177.7037146,-28.0850343,3.7674,m,9
1474,177.7043683,-28.0846293,3.7682,m,3
1580,177.703783,-28.0835425,0.0,m,3
1668,177.7053623,-28.0820686,0.0,m,3
1570,177.702665,-28.0836576,0.303,m,3
1611,177.7029433,-28.0811398,0.3981,m,3
1658,177.7026683,-28.0813861,0.398,m,3
1696,177.7039836,-28.081846,0.3782,m,3
1575,177.7109849,-28.0825991,0.0,m,3
1637,177.7095128,-28.0826836,0.3822,m,2
1574,177.7074507,-28.0828432,0.3806,m,2
1708,177.7080224,-28.0817026,0.382,m,3
273,177.7090129,-28.0821343,0.3823,m,3
1878,177.7126058,-28.0804982,0.3687,m,3
1915,177.7119183,-28.0808081,0.475,m,1
867,177.7142722,-28.0801803,0.3778,m,3
1814,177.712942,-28.079141,0.3825,m,3
1850,177.7137276,-28.079017,0.3878,m,3
1955,177.7130466,-28.0808134,0.3926,m,3
1966,177.7130872,-28.0803588,0.345,m,3
6037,177.7125481,-28.0802612,2.9304,m,9
1794,177.7101982,-28.0799288,3.5686,m,1
1857,177.7119754,-28.0798859,0.3777,m,1
1963,177.7119311,-28.0800768,0.2353,m,2
2111,177.7100039,-28.0795905,0.3974,m,3
6044,177.7105813,-28.0802905,4.5174,m,9
1958,177.7130135,-28.0786893,0.2771,m,3
3244,177.7128118,-28.0791762,0.3817,m,2
1401,177.7074439,-28.0813043,0.3844,m,3
1700,177.7068381,-28.0813556,0.3741,m,3
6021,177.7069521,-28.0810991,2.9318,m,9
6022,177.7071198,-28.0812053,2.9315,m,9
1646,177.7076458,-28.079229,0.3779,m,3
1860,177.7087762,-28.0798485,0.3808,m,3
1922,177.7090716,-28.0801953,0.3769,m,3
3240,177.7081907,-28.0789612,0.3838,m,3
1845,177.7055838,-28.0802331,2.9321,m,9
3184,177.7047915,-28.079486,0.3868,m,3
3249,177.7059587,-28.079964,0.4043,m,3
6029,177.7045364,-28.0803016,5.1841,m,9
1867,177.7055946,-28.0786535,0.2763,m,3
3139,177.7061835,-28.0780509,0.3787,m,3
1929,177.7093675,-28.0796019,0.3818,m,1
2165,177.7090422,-28.0790367,0.6434,m,1
3180,177.7093738,-28.0785607,0.3452,m,3
6034,177.7097627,-28.0791905,3.5655,m,9
1854,177.7104317,-28.0780187,0.4032,m,3
1984,177.7105075,-28.0772583,0.2774,m,3
3124,177.7102934,-28.0772089,0.0,m,3
3125,177.7106276,-28.0771227,0.2767,m,3
2027,177.7090341,-28.0767162,0.3823,m,3
3111,177.7089046,-28.0765566,0.382,m,3
6033,177.7083018,-28.0761683,3.5673,m,9
1597,177.6979135,-28.0831276,0.3948,m,3
1537,177.69702,-28.0830562,0.0,m,3
1821,177.6980948,-28.0812647,0.389,m,3
1828,177.6979293,-28.0809011,3.2155,m,1
3237,177.6979707,-28.0807996,3.4605,m,9
1449,177.700824,-28.0821576,0.3722,m,3
1609,177.699979,-28.0814049,0.3826,m,3
6053,177.7007905,-28.0811467,3.4603,m,9
3097,177.7020207,-28.0792272,0.0,m,3
6028,177.70334,-28.0798016,5.1837,m,9
1070,177.7002287,-28.0805057,0.3823,m,3
1674,177.6991095,-28.0797564,0.3956,m,3
1855,177.7008276,-28.0787393,0.4168,m,1
3102,177.7008747,-28.0778196,0.376,m,3
6027,177.7008592,-28.0777459,5.1845,m,9
1680,177.6958915,-28.0809423,4.3474,m,9
1780,177.6959217,-28.0806528,4.3474,m,9
1864,177.6959034,-28.081189,4.3474,m,9
3213,177.6958624,-28.0810294,4.3474,m,9
6008,177.695746,-28.0815567,4.3462,m,9
1866,177.6970422,-28.080447,3.1132,m,1
2760,177.6981248,-28.0797876,0.4464,m,2
6050,177.6944868,-28.0802232,5.9753,m,9
3152,177.6968667,-28.0786011,0.3798,m,3
3153,177.69521,-28.0783612,1.1323,m,9
3200,177.6954145,-28.0790098,0.3951,m,3
1965,177.699304,-28.0782994,0.3973,m,3
3165,177.6979277,-28.078514,0.3797,m,3
3041,177.6996847,-28.0760622,0.3819,m,3
