id,ra,dec,zspec
1397,53.062269,-27.87504,4.223529676469196
6620,53.07872,-27.8396,3.468908407687533
8290,53.08188,-27.8288,4.366043576810281
8777,53.108211,-27.825186,4.655827415650166
11252,53.1269345,-27.8046814,2.8787632228314894
12214,53.190192,-27.769214,2.9909039218402027
12619,53.1969096,-27.7605277,3.6085910846683737
25511,189.182535430229,62.232005211148504,2.9947599962133733
25529,189.02575423375447,62.26049954285082,3.1191496326857413
27461,189.22643770372414,62.24714981919786,2.9202397986548703
72127,189.26571836457276,62.16839331645808,4.130695083855004
72396,189.26304806499655,62.170384740403314,2.778426782087238
80660,189.27544872581637,62.21413534445617,4.393276385187984
83288,189.2674103579094,62.24780388193027,2.2102311393986462
171147,53.0556264,-27.874064,2.553632531826742
197911,53.16531419382983,-27.814139556209554,3.073368963552367
199773,53.16324080075382,-27.809056701807965,2.8143091925834867
200733,53.1071354,-27.80482,2.8709632809593844
