id,ra,dec,zspec,Conf
213065229,150.17547,2.21609,4.6746,1
213026122,150.17045,2.2159,3.529,2
213057209,150.16747,2.21543,4.4384,2
213021101,150.16957,2.21629,3.4656,1
214021083,150.17647,2.21931,4.1355,1
214063213,150.17706,2.22281,5.1603,2
213002002,150.17675,2.22312,2.9393,2
213039143,150.16764,2.21865,3.856,2
213007015,150.16998,2.21903,3.0567,1
213083251,150.16662,2.22076,5.165,1
213004004,150.16594,2.22209,3.0074,2
213011046,150.16591,2.22175,3.0947,2
213035139,150.17533,2.22317,3.7504,1
213073239,150.1694,2.22363,4.9136,2
212005007,150.15511,2.22169,3.1632,2
211049280,150.14601,2.21875,2.763,1
211021215,150.14306,2.21799,3.958,1
211048279,150.14307,2.21757,4.9059,2
211063297,150.14433,2.22136,5.8912,2
211029229,150.14453,2.22289,4.284,1
219011255,150.14702,2.22646,3.2943,1
219018263,150.15098,2.2262,3.6808,2
213036140,150.16191,2.22121,3.7695,1
213038142,150.16216,2.22462,3.8048,1
219037298,150.16044,2.22564,4.7017,1
219009247,150.15624,2.22576,3.194,2
219040301,150.15499,2.22807,4.8565,1
219054316,150.15587,2.23043,5.8574,1
220005082,150.16211,2.23083,3.1062,1
219013257,150.15992,2.23069,3.3617,2
219033293,150.16035,2.2321,4.5592,1
219034294,150.1598,2.23718,4.5791,1
221019049,150.18601,2.22504,3.9966,2
221032075,150.19232,2.23019,4.8444,2
221027067,150.18602,2.22761,4.7032,1
221018048,150.18662,2.2319,3.98,1
221004004,150.18004,2.23127,2.148,3
221014038,150.18059,2.23515,3.8687,2
221049092,150.19157,2.23491,5.9749,1
221016045,150.17966,2.23664,3.9223,2
220008087,150.17066,2.23947,3.3696,1
211054288,150.14093,2.22241,5.2476,2
218026108,150.14083,2.22579,4.1714,1
211015198,150.13752,2.22479,3.7892,1
211022216,150.13386,2.22454,3.9638,1
218045146,150.14432,2.22961,5.3266,2
219048310,150.14474,2.23044,5.1994,2
218049150,150.1334,2.22505,5.5407,1
218025107,150.13343,2.22751,4.1718,2
218016082,150.1363,2.22855,3.7624,1
218019091,150.1401,2.23045,3.973,1
218034129,150.14249,2.23272,4.5098,1
218004058,150.13915,2.2351,3.1206,3
219032292,150.15257,2.23863,4.5212,2
218037137,150.14324,2.23643,4.8191,1
219004217,150.14835,2.24056,3.0402,2
218029117,150.1335,2.23792,4.2666,1
208061363,150.08506,2.21337,5.031,3
208015259,150.08618,2.21565,3.295,1
208058360,150.08701,2.21604,4.9043,2
208006149,150.08346,2.21601,3.018,2
208005148,150.08377,2.21823,3.0173,2
208080385,150.08511,2.21895,5.8617,1
208012255,150.09002,2.22161,3.2509,2
215027065,150.0859,2.22445,4.2901,3
215045100,150.08262,2.22467,4.9048,2
215054112,150.0959,2.22493,5.1406,1
208013257,150.09397,2.22464,3.2619,1
216027241,150.10295,2.22955,4.4657,1
215059117,150.09645,2.22984,5.7904,2
215016042,150.08798,2.22743,3.7143,1
215007030,150.08659,2.22765,3.4562,2
215019046,150.09467,2.22999,4.066,2
215042097,150.09602,2.23447,4.7778,1
215052110,150.09162,2.23282,5.1023,1
215053111,150.09409,2.23388,5.136,0
215017044,150.09539,2.23759,3.9238,1
216004181,150.10597,2.23034,3.0142,3
216017221,150.10978,2.23624,3.7736,3
216038260,150.11489,2.23693,4.8451,1
216005182,150.10308,2.23723,3.0432,1
215004022,150.08474,2.23333,3.2445,3
215008031,150.08815,2.23452,3.4907,3
215055113,150.08392,2.2379,5.1633,2
259010057,150.12923,2.31884,3.2827,1
259047127,150.128,2.32022,4.4388,2
258019056,150.1001,2.31811,4.5566,2
259013060,150.11825,2.3177,3.4996,1
258030069,150.11322,2.31758,5.8014,1
259065153,150.11526,2.31932,5.2472,2
259042120,150.12384,2.32081,4.3495,1
259055140,150.12487,2.32035,4.686,1
259053138,150.12168,2.32035,4.5374,2
259011058,150.12484,2.32127,3.4215,2
259008055,150.11836,2.32186,3.2666,2
258014051,150.10992,2.31986,4.2055,1
258015052,150.11119,2.32005,4.389,1
258020057,150.11202,2.32269,4.5679,2
259049129,150.11373,2.32321,4.4991,2
259014061,150.11463,2.32357,3.5002,2
259062150,150.11432,2.32717,4.9112,1
259009056,150.11596,2.32741,3.2668,2
259025087,150.11526,2.32872,3.946,2
259026088,150.12734,2.32491,3.9738,2
259064152,150.12855,2.3272,5.1892,1
259048128,150.12736,2.33102,4.4689,2
259004007,150.12108,2.32986,3.1308,1
259002002,150.12272,2.33115,3.0971,2
259001001,150.11923,2.33322,3.0081,2
258016053,150.10893,2.32823,4.4041,2
258003034,150.10574,2.32892,3.2098,2
404017277,53.2703,-27.87708,3.6312,2
404009191,53.26969,-27.87671,3.4636,1
404038414,53.26364,-27.87473,4.7774,1
404039415,53.26354,-27.87301,4.7864,1
404001001,53.26177,-27.87334,2.9403,3
404026317,53.27283,-27.87884,3.8053,1
404034409,53.27287,-27.87816,4.5544,2
404005161,53.27311,-27.87133,3.3312,1
404002002,53.27148,-27.87076,2.9537,1
404037413,53.27808,-27.87241,4.6854,2
