id,ra,dec,zspec,zconf
MUSE-259,69.296460,0.743350,1.5835,1
MUSE-238_2.5,69.282083,0.733172,1.9718,1
MUSE-165_2.2+2.3,69.291008,0.730035,1.9722,3
MUSE-398_2.5,69.282118,0.733031,1.9722,2
MUSE-193_2.1+2.4,69.292311,0.730871,1.9722,3
MUSE-388,69.292066,0.734602,2.0696,1
MUSE-343,69.285996,0.737992,2.6982,3
MUSE-266,69.292931,0.733528,2.9209,1
MUSE-160_1.5,69.297785,0.729119,2.9732,3
MUSE-384_1.4,69.288286,0.731356,2.9732,3
MUSE-182_1.3,69.287254,0.730270,2.9732,3
MUSE-241_1.1,69.287730,0.732667,2.9732,3
MUSE-220_1.2,69.286482,0.731973,2.9732,3
MUSE-122_Sys1,69.286831,0.731110,2.9732,3
MUSE-214_Sys1,69.287212,0.731676,2.9732,3
MUSE-107,69.282285,0.726435,2.9854,3
MUSE-374,69.287630,0.735272,3.006,1
MUSE-163,69.292985,0.725463,3.053,1
MUSE-129,69.281317,0.743090,3.0622,2
MUSE-142,69.279094,0.731861,3.0643,2
MUSE-153,69.279128,0.730444,3.1893,2
MUSE-353,69.293594,0.736567,3.2204,1
MUSE-141_6.2,69.285958,0.736275,3.2612,3
MUSE-187_6.3,69.296584,0.732487,3.2612,3
MUSE-132_6.1,69.290387,0.736728,3.2612,3
MUSE-45,69.282906,0.721224,3.5019,3
MUSE-191,69.284838,0.720267,3.505,2
MUSE-267,69.281214,0.733651,3.5276,2
MUSE-230_Sys,69.291830,0.730604,3.5287,3
MUSE-205_5.1,69.291493,0.730817,3.5296,3
MUSE-209_5.2,69.291818,0.731021,3.5296,3
MUSE-320,69.282566,0.736000,3.5322,3
MUSE-401_8.1+8.2,69.293361,0.732262,3.5343,3
MUSE-410,69.291397,0.731233,3.5344,3
MUSE-94,69.295363,0.743919,3.5656,1
MUSE-45_9.2,69.285670,0.733381,3.5691,3
MUSE-181_9.1,69.287530,0.734313,3.5691,3
MUSE-165,69.299509,0.735442,3.6656,2
MUSE-364,69.299554,0.736776,3.742,1
MUSE-178,69.298267,0.730255,3.7436,3
MUSE-30,69.290891,0.719017,4.0598,3
MUSE-149,69.298641,0.740834,4.0677,3
MUSE-167,69.298192,0.727494,4.2508,2
MUSE-232,69.298440,0.734228,4.3995,1
MUSE-133,69.280870,0.733958,4.4674,2
MUSE-114,69.298124,0.742108,4.6039,2
MUSE-233,69.298582,0.732430,4.7373,1
MUSE-247_12.1,69.296643,0.730126,4.7668,3
