id, ra, dec, zphot, zphot_err, xi_Ha
JADES-GS+53.16176-27.75061, 53.16176, -27.75061  ,  4.2195  ,  0.0440  ,  25.40  
JADES-GS+53.16834-27.81332, 53.16834, -27.81332  ,  4.2196  ,  0.0399  ,  25.25  
JADES-GS+53.20359-27.76754, 53.20359, -27.76754  ,  4.2196  ,  0.0431  ,  25.41  
JADES-GS+53.21918-27.77163, 53.21918, -27.77163  ,  4.2197  ,  0.0379  ,  25.93  
JADES-GS+53.15002-27.80250, 53.15002, -27.80250  ,  4.2271  ,  0.0614  ,  25.30  
JADES-GS+53.15502-27.80706, 53.15502, -27.80706  ,  4.2289  ,  0.0494  ,  25.04  
JADES-GS+53.15141-27.79829, 53.15141, -27.79829  ,  4.2294  ,  0.0506  ,  25.17  
JADES-GS+53.15833-27.80724, 53.15833, -27.80724  ,  4.2384  ,  0.0505  ,  25.27  
JADES-GS+53.14330-27.81554, 53.14330, -27.81554  ,  4.2392  ,  0.0579  ,  25.47  
JADES-GS+53.15154-27.77991, 53.15154, -27.77991  ,  4.2394  ,  0.0514  ,  25.31  
JADES-GS+53.19125-27.74982, 53.19125, -27.74982  ,  4.2394  ,  0.0492  ,  25.44  
JADES-GS+53.20269-27.78162, 53.20269, -27.78162  ,  4.2395  ,  0.0445  ,  25.46  
JADES-GS+53.16411-27.75239, 53.16411, -27.75239  ,  4.2494  ,  0.0506  ,  25.31  
JADES-GS+53.13474-27.80877, 53.13474, -27.80877  ,  4.2494  ,  0.0498  ,  25.31  
JADES-GS+53.16186-27.75054, 53.16186, -27.75054  ,  4.2495  ,  0.0443  ,  25.49  
JADES-GS+53.15281-27.83118, 53.15281, -27.83118  ,  4.2496  ,  0.0409  ,  25.21  
JADES-GS+53.21229-27.76304, 53.21229, -27.76304  ,  4.2591  ,  0.0604  ,  25.43  
JADES-GS+53.16636-27.75351, 53.16636, -27.75351  ,  4.2593  ,  0.0529  ,  25.44  
JADES-GS+53.19056-27.75458, 53.19056, -27.75458  ,  4.2593  ,  0.0528  ,  25.57  
JADES-GS+53.20047-27.78476, 53.20047, -27.78476  ,  4.2594  ,  0.0505  ,  25.31  
JADES-GS+53.15055-27.82350, 53.15055, -27.82350  ,  4.2594  ,  0.0514  ,  25.42  
JADES-GS+53.14595-27.78661, 53.14595, -27.78661  ,  4.2626  ,  0.0655  ,  25.35  
JADES-GS+53.14314-27.81547, 53.14314, -27.81547  ,  4.2691  ,  0.0621  ,  25.23  
JADES-GS+53.15429-27.73372, 53.15429, -27.73372  ,  4.2693  ,  0.0537  ,  25.44  
JADES-GS+53.15068-27.82087, 53.15068, -27.82087  ,  4.2694  ,  0.0486  ,  25.32  
JADES-GS+53.13902-27.78429, 53.13902, -27.78429  ,  4.2694  ,  0.0520  ,  25.38  
JADES-GS+53.14204-27.79749, 53.14204, -27.79749  ,  4.2695  ,  0.0447  ,  25.27  
JADES-GS+53.15369-27.73428, 53.15369, -27.73428  ,  4.2695  ,  0.0475  ,  25.41  
JADES-GS+53.14125-27.82357, 53.14125, -27.82357  ,  4.2790  ,  0.0648  ,  25.25  
JADES-GS+53.15083-27.82100, 53.15083, -27.82100  ,  4.2791  ,  0.0637  ,  25.39  
JADES-GS+53.14249-27.82302, 53.14249, -27.82302  ,  4.2794  ,  0.0492  ,  25.30  
JADES-GS+53.13732-27.81122, 53.13732, -27.81122  ,  4.2797  ,  0.0356  ,  25.16  
JADES-GS+53.14648-27.77343, 53.14648, -27.77343  ,  4.2797  ,  0.0373  ,  25.19  
JADES-GS+53.15765-27.79791, 53.15765, -27.79791  ,  4.2893  ,  0.0546  ,  25.26  
JADES-GS+53.14907-27.82246, 53.14907, -27.82246  ,  4.2895  ,  0.0479  ,  24.97  
JADES-GS+53.17592-27.78277, 53.17592, -27.78277  ,  4.2895  ,  0.0452  ,  25.32  
JADES-GS+53.15079-27.82081, 53.15079, -27.82081  ,  4.2895  ,  0.0456  ,  25.41  
JADES-GS+53.13903-27.78444, 53.13903, -27.78444  ,  4.2988  ,  0.0726  ,  25.69  
JADES-GS+53.16212-27.75048, 53.16212, -27.75048  ,  4.2996  ,  0.0413  ,  25.30  
JADES-GS+53.17446-27.78843, 53.17446, -27.78843  ,  4.3093  ,  0.0563  ,  25.52  
JADES-GS+53.18467-27.75480, 53.18467, -27.75480  ,  4.3093  ,  0.0544  ,  25.14  
JADES-GS+53.18959-27.77307, 53.18959, -27.77307  ,  4.3093  ,  0.0550  ,  25.40  
JADES-GS+53.19805-27.74444, 53.19805, -27.74444  ,  4.3093  ,  0.0536  ,  25.58  
JADES-GS+53.16729-27.73284, 53.16729, -27.73284  ,  4.3093  ,  0.0538  ,  25.49  
JADES-GS+53.15079-27.82093, 53.15079, -27.82093  ,  4.3093  ,  0.0547  ,  25.46  
JADES-GS+53.17065-27.74482, 53.17065, -27.74482  ,  4.3095  ,  0.0476  ,  25.43  
JADES-GS+53.18108-27.82683, 53.18108, -27.82683  ,  4.3096  ,  0.0417  ,  25.50  
JADES-GS+53.13858-27.77205, 53.13858, -27.77205  ,  4.3096  ,  0.0424  ,  25.65  
JADES-GS+53.16543-27.74412, 53.16543, -27.74412  ,  4.3097  ,  0.0384  ,  25.62  
JADES-GS+53.15075-27.82086, 53.15075, -27.82086  ,  4.3184  ,  0.0842  ,  25.58  
JADES-GS+53.18975-27.79015, 53.18975, -27.79015  ,  4.3189  ,  0.0676  ,  25.57  
JADES-GS+53.14754-27.74783, 53.14754, -27.74783  ,  4.3190  ,  0.0673  ,  25.33  
JADES-GS+53.17363-27.79254, 53.17363, -27.79254  ,  4.3191  ,  0.0627  ,  25.50  
JADES-GS+53.15700-27.83585, 53.15700, -27.83585  ,  4.3194  ,  0.0522  ,  25.40  
JADES-GS+53.15597-27.83114, 53.15597, -27.83114  ,  4.3194  ,  0.0501  ,  25.44  
JADES-GS+53.21696-27.77111, 53.21696, -27.77111  ,  4.3194  ,  0.0507  ,  25.71  
JADES-GS+53.16994-27.76017, 53.16994, -27.76017  ,  4.3194  ,  0.0498  ,  25.60  
JADES-GS+53.15649-27.75369, 53.15649, -27.75369  ,  4.3194  ,  0.0508  ,  25.54  
JADES-GS+53.14788-27.74143, 53.14788, -27.74143  ,  4.3194  ,  0.0525  ,  25.51  
JADES-GS+53.11176-27.79895, 53.11176, -27.79895  ,  4.3194  ,  0.0505  ,  25.63  
JADES-GS+53.20937-27.77061, 53.20937, -27.77061  ,  4.3194  ,  0.0516  ,  25.38  
JADES-GS+53.15637-27.75567, 53.15637, -27.75567  ,  4.3194  ,  0.0525  ,  25.86  
JADES-GS+53.15561-27.73065, 53.15561, -27.73065  ,  4.3194  ,  0.0505  ,  25.33  
JADES-GS+53.16583-27.74003, 53.16583, -27.74003  ,  4.3194  ,  0.0530  ,  25.30  
JADES-GS+53.14819-27.75460, 53.14819, -27.75460  ,  4.3195  ,  0.0461  ,  25.26  
JADES-GS+53.18762-27.78703, 53.18762, -27.78703  ,  4.3195  ,  0.0454  ,  25.24  
JADES-GS+53.20600-27.77947, 53.20600, -27.77947  ,  4.3195  ,  0.0484  ,  25.63  
JADES-GS+53.15492-27.75777, 53.15492, -27.75777  ,  4.3195  ,  0.0459  ,  25.43  
