id,ra,dec,zphot
392470,150.168215,1.953246,5.76
392648,150.128852,1.969517,6.28
394189,150.255950,1.939309,5.79
400185,150.200629,1.803246,7.00
402317,150.163303,1.830085,6.48
406648,150.131406,1.876011,7.51
406791,150.151781,1.869693,7.49
412467,150.230606,1.888950,6.55
414710,150.164236,1.927284,7.41
420614,150.148612,1.978486,6.64
420761,150.151152,1.978739,6.00
423449,150.307816,1.735818,6.59
423665,150.311031,1.737622,5.35
425104,150.247400,1.776348,6.62
426729,150.226136,1.798722,4.88
427533,150.299158,1.781118,5.23
429981,150.244827,1.829484,5.55
431662,150.298157,1.829356,6.65
433777,150.316068,1.849068,6.77
434274,150.277222,1.868668,7.45
434478,150.328269,1.852134,7.09
436076,150.336070,1.866522,6.36
439351,150.313406,1.911930,5.39
449197,150.265488,1.801953,6.78
453213,150.286160,1.827229,6.45
454109,150.239908,1.852284,5.34
456353,150.250468,1.870060,6.88
456377,150.315596,1.846639,7.07
457763,150.334395,1.850401,7.00
457782,150.346701,1.846050,6.46
462346,150.294715,1.896402,6.03
462811,150.306628,1.896348,6.35
471423,149.974323,2.514214,7.15
471589,150.003575,2.505850,9.33
473965,149.949634,2.555520,5.83
475362,149.964459,2.571915,7.22
480112,149.938373,2.627653,7.86
484535,149.944829,2.667249,5.06
485859,150.030608,2.649182,6.76
486647,149.950559,2.484331,6.84
486844,149.917923,2.498473,6.26
487868,149.955317,2.495444,6.33
490205,149.945123,2.524326,5.96
492412,149.981784,2.531122,6.36
493071,149.956136,2.546888,6.90
501020,150.033850,2.593035,6.22
501080,149.948882,2.624490,5.72
501552,150.023198,2.601312,6.68
503041,150.026725,2.610369,6.63
506111,149.923003,2.669467,7.61
507540,150.050222,2.634411,7.04
509336,150.007983,2.464684,5.61
509786,150.093816,2.438552,5.25
510265,150.066422,2.453217,5.71
513339,150.041461,2.493439,7.22
513860,150.066747,2.489704,6.01
516460,150.085752,2.508655,5.17
520764,150.103693,2.543781,5.21
521672,150.079424,2.560730,6.37
522137,150.064774,2.569829,5.40
523117,150.153121,2.547160,5.25
524291,150.149426,2.559842,5.58
524784,150.155460,2.562474,8.15
528253,150.185973,2.581010,5.43
529019,150.090686,2.622607,4.91
531803,150.061055,2.454691,7.02
532929,150.055256,2.465084,6.22
538351,150.051253,2.507224,5.65
543089,150.116523,2.520963,5.82
546683,150.080842,2.560680,6.71
548708,150.154193,2.548289,7.71
555589,150.142994,2.598849,4.99
555842,150.170493,2.591039,7.00
562990,150.221808,2.463240,6.03
563514,150.285392,2.449468,6.56
563588,150.201765,2.481388,6.57
564357,150.170996,2.502483,6.78
565997,150.234515,2.495407,6.43
567196,150.286804,2.486117,5.77
567236,150.225855,2.508656,5.80
570923,150.274981,2.530795,5.92
571353,150.282351,2.531598,5.52
571962,150.196178,2.567306,4.84
573117,150.310310,2.535382,7.18
577896,150.143809,2.445220,6.80
580262,150.198392,2.451766,6.78
587193,150.240678,2.502653,6.92
588420,150.182166,2.533780,6.92
590176,150.292162,2.509332,6.50
597358,150.365528,2.339142,5.78
598827,150.373211,2.347651,7.97
598990,150.355473,2.355289,5.36
599058,150.330732,2.364853,5.68
599168,150.297169,2.377968,5.98
599662,150.347478,2.363353,5.97
600536,150.306455,2.385280,8.04
602222,150.333528,2.391131,6.25
602937,150.286438,2.414653,6.93
603972,150.375475,2.391304,7.49
604887,150.327191,2.417157,5.49
604962,150.383349,2.397355,7.01
606851,150.317827,2.437850,6.64
607598,150.387651,2.420066,6.30
611869,150.339450,2.476059,6.68
614804,150.442558,2.465391,5.69
617290,150.327554,2.527141,7.13
617623,150.351638,2.520976,7.26
617830,150.433225,2.493302,5.83
618691,150.421108,2.507367,5.67
618812,150.429493,2.505713,5.07
620307,150.358985,2.340765,5.99
628178,150.412042,2.374087,7.11
630287,150.409333,2.389768,6.56
631105,150.293555,2.438176,5.78
633521,150.361894,2.432763,7.12
638523,150.398042,2.455418,6.23
640952,150.322410,2.500014,6.28
653082,150.441387,2.363196,9.44
653770,150.441201,2.370243,4.84
653784,150.469618,2.360040,5.89
654741,150.482298,2.364981,6.89
660628,150.485047,2.430639,4.78
661038,150.495546,2.431544,6.23
661646,150.553001,2.417551,5.60
661710,150.554815,2.417571,8.90
663384,150.538413,2.440577,6.98
664573,150.566492,2.441745,6.60
666773,150.410348,2.320029,6.85
673759,150.478504,2.354992,6.53
677093,150.523859,2.371341,7.14
678045,150.452874,2.407800,6.65
679845,150.482546,2.413193,6.30
681800,150.500236,2.424747,7.22
682428,150.517650,2.424394,6.50
682579,150.460189,2.446693,6.82
684571,150.548786,2.429367,6.08
690407,149.917428,2.292273,5.50
690906,149.805840,2.337504,5.35
692679,149.865475,2.329853,7.25
692769,149.814875,2.349080,5.74
692866,149.895259,2.320753,5.47
693777,149.858092,2.341197,5.39
700818,149.880927,2.393291,6.07
701687,149.908370,2.391968,5.59
702434,149.962052,2.379994,5.47
702825,149.885698,2.411869,6.95
702840,149.917652,2.400395,5.27
704437,149.869589,2.431541,7.96
705443,149.872182,2.439025,5.13
707233,149.932703,2.435303,6.21
708360,149.853256,2.475362,6.19
708982,149.869758,2.474494,4.98
709415,149.951441,2.448766,8.81
709555,149.878492,2.476623,5.64
713167,149.795245,2.324690,5.67
714477,149.917472,2.290414,6.38
720760,149.835371,2.368029,6.57
721725,149.922989,2.342190,6.67
721890,149.831227,2.376469,6.33
725865,149.846350,2.398308,6.92
726649,149.867525,2.397388,6.39
727265,149.876463,2.399414,6.71
738870,149.953262,2.454665,6.08
739182,149.951365,2.457938,8.10
743722,150.063756,2.246802,5.53
744843,149.986724,2.287873,5.91
746708,150.054117,2.284628,6.38
746771,149.990874,2.308272,5.77
746863,150.078019,2.277619,5.61
748189,150.001809,2.319603,7.42
748301,150.076031,2.293769,5.10
749013,150.067837,2.303300,5.96
752534,150.029218,2.355501,5.25
753210,150.019065,2.364849,5.49
753306,150.062753,2.349848,7.23
756434,150.106901,2.360044,7.00
756666,150.078336,2.372682,5.85
757268,150.094119,2.373677,6.12
758452,150.058641,2.399339,5.81
758982,150.053678,2.405779,5.08
759410,149.991324,2.432431,6.39
768463,150.013330,2.295407,5.27
773692,149.964868,2.359213,5.94
773996,150.072902,2.323619,6.26
786037,150.004032,2.439587,6.04
788646,150.121932,2.203101,5.75
790249,150.066569,2.240181,8.31
791944,150.149513,2.228651,5.84
792196,150.111071,2.245270,5.41
792325,150.165241,2.227033,5.39
793947,150.082817,2.277726,5.47
793976,150.124725,2.262793,6.13
797268,150.160245,2.286543,6.27
799374,150.221599,2.287413,5.40
803070,150.175775,2.338788,5.61
806149,150.204114,2.355459,8.35
806494,150.150468,2.377869,5.29
806911,150.156852,2.379453,5.56
810256,150.120350,2.207731,7.12
814231,150.136807,2.237555,6.41
815751,150.104758,2.263996,6.50
816262,150.099022,2.270400,5.99
817172,150.116179,2.270558,7.82
821941,150.188752,2.287511,7.89
822124,150.136258,2.308025,9.45
826202,150.232583,2.303717,5.99
834965,150.137112,2.401204,7.73
838731,150.271180,2.176745,5.34
838757,150.268663,2.177909,5.79
838867,150.335345,2.154964,6.75
841518,150.226524,2.231753,5.39
842265,150.264479,2.227473,5.61
844533,150.254761,2.261438,5.96
845096,150.290482,2.253738,5.22
846139,150.312120,2.256282,6.34
847744,150.347966,2.256788,6.34
848670,150.274295,2.290822,7.10
850477,150.310995,2.294790,6.61
850508,150.300933,2.298752,5.15
850780,150.314973,2.296281,6.11
851000,150.318865,2.296949,8.08
851286,150.286818,2.311433,7.11
851820,150.340614,2.296946,5.68
851866,150.352385,2.293049,6.44
852067,150.298268,2.314348,5.87
853647,150.326756,2.316675,6.61
854310,150.363256,2.309392,7.48
854608,150.279931,2.342471,5.28
859101,150.256640,2.171875,6.85
859277,150.220638,2.186684,6.55
860061,150.216866,2.196448,5.86
862127,150.265838,2.200979,4.94
863544,150.249998,2.220234,6.97
869317,150.282485,2.265528,6.46
874698,150.332954,2.288579,7.10
879175,150.321009,2.324708,6.44
881707,150.364738,2.112911,6.30
881827,150.406562,2.099226,5.76
882482,150.392196,2.111579,5.31
884802,150.352512,2.151556,6.65
886768,150.403305,2.154685,7.76
888750,150.361887,2.190180,5.72
891611,150.390164,2.208813,5.99
895127,150.403692,2.299808,4.98
895722,150.468412,2.289116,5.87
912751,150.465268,2.288050,6.74
912983,150.417907,2.307505,6.00
