id,ra,dec,z_excels_v1,zflag_excels_v1,zspec
75319,34.342738094,-5.2023693293,3.195,4,3.195
75487,34.339458789,-5.2021034168,3.241,4,3.241
75549,34.355562238,-5.2020040511,3.537,4,3.537
77863,34.340749978,-5.1982723544,3.98,4,3.98
78078,34.344825613,-5.1976987025,3.239,4,3.239
79094,34.346572635,-5.1954707991,0.915,4,0.915
79180,34.336229386,-5.1964949315,3.203,4,3.203
79373,34.353161433,-5.1956862008,3.995,4,3.995
79533,34.337843231,-5.1957310172,3.228,4,3.228
80745,34.353924873,-5.193820781,0.915,4,0.915
81762,34.354618856,-5.1922202266,1.518,4,1.518
83628,34.340089321,-5.1892311163,3.464,4,3.464
85501,34.267803699,-5.186014866,1.742,4,1.742
87159,34.276542338,-5.1833549776,4.059,4,4.059
87500,34.269324019,-5.1829751039,6.807,4,6.807
89881,34.231013589,-5.1760937752,1.092,4,1.092
89922,34.255945636,-5.1778505735,4.143,4,4.143
90402,34.258661907,-5.1763484367,0.644,4,0.644
90477,34.267981587,-5.1773971956,2.59,4,2.59
90508,34.273770778,-5.1782284667,3.353,4,3.353
90549,34.259960186,-5.1760561829,1.092,4,1.092
90591,34.263500772,-5.1759137424,1.093,4,1.093
90910,34.254366334,-5.1768876766,0.643,4,0.643
91667,34.390102772,-5.1760051599,1.825,4,1.825
91726,34.258853229,-5.1727609041,1.095,4,1.095
91807,34.23388933,-5.1758585727,3.189,4,3.189
92580,34.385917167,-5.1748397877,3.104,4,3.104
92608,34.270465646,-5.1740928275,1.095,4,1.095
92874,34.238554697,-5.1742304908,3.175,4,3.175
93044,34.245370875,-5.1737978225,3.858,4,3.858
93146,34.390731024,-5.1735459029,4.134,4,4.134
93227,34.259735767,-5.1717560835,1.094,4,1.094
93343,34.392828658,-5.1717715215,1.467,4,1.467
93404,34.244438722,-5.1736002773,3.981,4,3.981
93632,34.273584449,-5.1729074644,1.434,4,1.434
93701,34.394998741,-5.1725786191,1.337,4,1.337
93897,34.263331416,-5.1725353986,4.08,4,4.08
94335,34.272831547,-5.171723798,1.812,4,1.812
94384,34.259021792,-5.1712712078,2.289,4,2.289
94520,34.371461878,-5.1715658465,4.887,4,4.887
94639,34.278014432,-5.171375591,5.666,4,5.666
94982,34.389596656,-5.1680887844,1.827,4,1.827
95188,34.391615265,-5.1704620522,1.827,4,1.827
95645,34.400387078,-5.1703149156,5.026,4,5.026
95839,34.392127074,-5.1697298494,4.958,4,4.958
96040,34.380303013,-5.1695743467,4.784,4,4.784
96066,34.247589989,-5.1691957246,4.708,4,4.708
96409,34.385675257,-5.1676617335,2.293,4,2.293
96505,34.25896914,-5.1686652315,1.693,4,1.693
96524,34.240890853,-5.1689371277,3.903,9,3.903
97353,34.36170344,-5.1673544039,3.107,3,3.107
97469,34.395631163,-5.1676164702,1.535,4,1.535
97592,34.355363635,-5.1671631892,7.755,4,7.755
97765,34.396332607,-5.1663053842,2.294,4,2.294
98236,34.39331414,-5.1656752476,3.227,4,3.227
98258,34.271002838,-5.1658792252,0.914,4,0.914
98447,34.374527612,-5.1634769907,2.805,4,2.805
98539,34.224547566,-5.1653555722,4.353,4,4.353
98834,34.226941682,-5.1652746318,3.797,4,3.797
98963,34.26112896,-5.1651754145,3.386,4,3.386
99492,34.392979748,-5.1642465223,3.231,3,3.231
99502,34.239511775,-5.1641804477,0.647,4,0.647
99965,34.365370661,-5.163390119,2.988,4,2.988
100458,34.357638778,-5.1626817092,3.974,4,3.974
101499,34.352043301,-5.1601412386,1.089,4,1.089
101570,34.379345825,-5.161422029,3.687,9,3.687
101946,34.22820417,-5.1587788423,0.962,4,0.962
102088,34.356641399,-5.1601412693,2.729,4,2.729
102291,34.241941086,-5.1598320968,2.537,4,2.537
102847,34.383881482,-5.158747251,0.92,4,0.92
102901,34.379313315,-5.1569503032,1.819,4,1.819
102914,34.229202593,-5.1584471219,1.656,4,1.656
103131,34.2456005,-5.1591608243,3.185,4,3.185
103217,34.38792741,-5.1586445196,3.246,4,3.246
103348,34.367067484,-5.1587610259,3.811,4,3.811
103425,34.386378074,-5.1585631393,3.063,4,3.063
103571,34.23050588,-5.1584192796,3.536,9,3.536
103743,34.358192087,-5.1577382825,1.089,4,1.089
104707,34.227789425,-5.156404937,2.533,4,2.533
104937,34.357974214,-5.1563504153,1.652,4,1.652
104955,34.385098823,-5.1554780628,0.668,2,0.668
105097,34.402808699,-5.1565328989,0.156,1,0.156
105273,34.231931729,-5.1559062922,3.185,4,3.185
105507,34.400028862,-5.1550604754,3.231,3,3.231
105697,34.363377391,-5.1553299732,2.107,4,2.107
105954,34.341256827,-5.1535963874,3.104,4,3.104
105961,34.368998573,-5.1550156725,3.812,4,3.812
106215,34.237911608,-5.1544146583,3.698,4,3.698
106260,34.360142675,-5.1530848122,3.98,4,3.98
108679,34.361100037,-5.1507705284,1.411,4,1.411
109269,34.350624126,-5.1498782101,4.624,4,4.624
109360,34.366020815,-5.1498985185,4.621,4,4.621
109760,34.365072232,-5.1488459484,4.622,4,4.622
110118,34.286376915,-5.1464132635,2.667,4,2.667
110239,34.276511664,-5.1486178666,3.893,4,3.893
110671,34.369849843,-5.1478977641,1.987,4,1.987
111711,34.262783266,-5.1462491141,3.024,4,3.024
111714,34.271359574,-5.1457278547,2.991,4,2.991
112152,34.348250263,-5.1460857363,4.622,4,4.622
112260,34.265136734,-5.1456935901,2.162,4,2.162
112309,34.247161923,-5.1452497277,1.662,4,1.662
112501,34.343950351,-5.1455944206,3.975,4,3.975
112783,34.351650876,-5.1443452598,0.892,4,0.892
112815,34.282818446,-5.1436023132,1.657,4,1.657
112990,34.274454308,-5.1437795914,3.892,4,3.892
113092,34.246532886,-5.1447765881,5.362,4,5.362
113444,34.401854467,-5.1439736816,3.205,4,3.205
113667,34.242589604,-5.1430765493,3.971,4,3.971
114127,34.288519504,-5.1419362143,2.534,4,2.534
114156,34.247477116,-5.1429652323,3.627,9,3.627
114383,34.275841685,-5.1426162518,4.357,9,4.357
114511,34.288722073,-5.1418298831,2.529,4,2.529
114529,34.245539823,-5.1422338491,2.673,4,2.673
114555,34.265371267,-5.1423824323,5.591,4,5.591
114633,34.395478687,-5.1414021269,2.613,4,2.613
114664,34.241802221,-5.1422007992,3.975,9,3.975
114836,34.281323868,-5.1416158088,5.411,4,5.411
114929,34.284826712,-5.1407988741,2.177,4,2.177
114961,34.238414753,-5.1412018653,1.664,4,1.664
115322,34.401962959,-5.1408593871,3.204,4,3.204
115431,34.239337512,-5.1407604758,1.232,4,1.232
115541,34.271630714,-5.1405164892,6.194,4,6.194
116322,34.275021417,-5.1389333236,3.182,4,3.182
116354,34.250409353,-5.1389546196,1.258,4,1.258
116398,34.247455491,-5.1382215334,2.991,4,2.991
116579,34.268391978,-5.1388141593,2.14,4,2.14
116704,34.229573354,-5.1383796325,2.86,4,2.86
116830,34.394139344,-5.1376879485,1.765,4,1.765
116840,34.241343666,-5.1385191685,4.606,9,4.606
116974,34.396160534,-5.1375226047,0.909,4,0.909
117004,34.288270994,-5.1375350126,4.081,4,4.081
117175,34.232583379,-5.1379718888,6.283,4,6.283
117493,34.289991479,-5.1369382215,0.93,4,0.93
117560,34.399659834,-5.136356876,4.621,4,4.621
117563,34.286528478,-5.1371537778,3.89,4,3.89
117855,34.395649428,-5.1367164026,4.623,4,4.623
117997,34.386022129,-5.1359595533,3.336,4,3.336
118036,34.387209583,-5.1365206767,4.126,4,4.126
118087,34.381284174,-5.1359088221,1.536,4,1.536
118171,34.255704799,-5.1362978759,4.312,9,4.312
118193,34.400758226,-5.1357890909,2.205,4,2.205
118305,34.249359382,-5.1361998466,3.424,4,3.424
118313,34.395462988,-5.1359058659,1.976,4,1.976
118578,34.40327196,-5.1355598977,1.868,4,1.868
119004,34.382592706,-5.1343096294,1.526,4,1.526
119137,34.267818127,-5.1345743717,4.108,4,4.108
119183,34.40648635,-5.1347942103,3.095,9,3.095
