id,ra,dec,z_ALT,n_lines_detected,zspec
19876,3.6147259,-30.4120993,6.322755,2,6.322755
19886,3.5664017,-30.4146106,1.102754,1,
19905,3.6005555,-30.41217,4.018393,1,
19949,3.6124089,-30.4117234,6.320728,1,
20034,3.5581914,-30.4117431,1.050274,1,
20092,3.5680716,-30.4115102,5.524484,1,
20125,3.5551764,-30.4116376,6.189153,3,6.189153
20147,3.6124429,-30.4116731,6.325927,1,
20164,3.5879276,-30.4115864,5.280386,1,
20171,3.5585878,-30.4134605,2.631451,1,
20190,3.5743817,-30.4125533,4.725965,1,
20191,3.5678409,-30.4114226,5.524241,1,
20209,3.5741866,-30.4115872,4.388252,1,
20255,3.5682947,-30.4118218,2.449107,2,2.449107
20256,3.5676007,-30.4113458,4.341631,1,
20276,3.5784366,-30.4112459,3.808609,1,
20331,3.5706479,-30.4111906,5.547591,1,
20333,3.6006895,-30.4119114,4.017017,1,
20510,3.5687465,-30.4111801,2.494382,4,2.494382
20559,3.5934089,-30.4108212,3.779237,1,
20564,3.5782858,-30.4113028,3.808653,1,
20606,3.5937967,-30.4106983,3.779693,1,
20720,3.6140892,-30.4104497,6.323034,3,6.323034
20813,3.6030259,-30.4105365,6.585648,1,
20828,3.5601958,-30.4101758,5.766567,1,
20879,3.6078714,-30.4106133,4.755219,1,
20977,3.5637269,-30.4098793,4.351618,1,
21022,3.6092276,-30.4100547,5.544197,2,5.544197
21040,3.6180402,-30.4114141,2.381435,2,2.381435
21054,3.5581453,-30.40967,4.027446,1,
21077,3.5681074,-30.4096874,5.537385,1,
21092,3.5753067,-30.4096031,6.245427,1,
21096,3.5794356,-30.409933,2.577492,3,2.577492
21247,3.584585,-30.4097935,2.660152,3,2.660152
21356,3.6281943,-30.4097496,1.004369,1,
21360,3.6045437,-30.409348,6.32906,1,
21388,3.5864148,-30.4093415,2.016639,3,2.016639
21434,3.5766844,-30.4101621,1.648037,1,
21443,3.6068847,-30.4090931,0.916503,1,
21488,3.5707718,-30.4101692,2.744485,2,2.744485
21491,3.5965661,-30.4089705,5.281671,1,
21535,3.5527851,-30.4095576,1.590905,1,
21585,3.5693263,-30.4087051,4.042793,1,
21629,3.5690591,-30.4088639,5.052526,1,
21644,3.5834371,-30.4084794,4.906796,1,
21683,3.6229941,-30.4089437,1.046248,1,
21831,3.6164373,-30.4100362,2.561463,3,2.561463
21832,3.626375,-30.4090205,0.942134,2,0.942134
21859,3.550452,-30.4081098,4.027305,1,
22098,3.5567045,-30.4081921,2.41363,2,2.41363
22100,3.5740418,-30.4076718,4.390079,1,
22120,3.6082102,-30.4098551,1.345013,1,
22171,3.5940418,-30.4079819,2.017118,2,2.017118
22193,3.6192886,-30.4082568,2.996398,2,2.996398
22199,3.5515886,-30.4082125,2.290784,2,2.290784
22306,3.6021097,-30.4073319,6.470124,1,
22363,3.5693198,-30.4073852,6.626086,3,6.626086
22370,3.5699219,-30.4074341,5.413519,1,
22390,3.5677583,-30.4072712,3.981628,1,
22415,3.5743591,-30.4073344,4.084239,1,
22429,3.5822079,-30.4071139,5.655404,1,
22476,3.617293,-30.4069847,6.421027,1,
22486,3.6063692,-30.4072628,6.330617,2,6.330617
22516,3.6051973,-30.4070896,6.130448,1,
22555,3.5498676,-30.4070605,4.724885,1,
22589,3.5952128,-30.4073844,2.660147,2,2.660147
22599,3.6185821,-30.4071558,4.501127,1,
22639,3.6225457,-30.4067966,4.522985,1,
22664,3.6121395,-30.4069545,4.083408,1,
22694,3.6084559,-30.4069692,4.751788,1,
22777,3.5582817,-30.4063801,4.331726,1,
22783,3.6377819,-30.406464,4.976995,1,
22807,3.5997182,-30.4064527,1.09633,1,
22855,3.625202,-30.4092194,0.370849,1,
22865,3.5582296,-30.406369,4.329344,1,
22928,3.550838,-30.4065986,5.050602,1,
22945,3.6280831,-30.406321,4.630458,1,
22948,3.6080556,-30.4062738,6.583975,1,
22956,3.638026,-30.4073592,2.578952,2,2.578952
22979,3.5675457,-30.4062303,4.628879,1,
23000,3.6369628,-30.4063616,8.511574,1,
23041,3.6151591,-30.4060693,6.140306,1,
23229,3.5722145,-30.4068424,2.727496,1,
23241,3.5617661,-30.4059491,4.080129,1,
23354,3.6009237,-30.4055878,6.226677,1,
23374,3.6061534,-30.4054399,3.047888,2,3.047888
23399,3.5586742,-30.4053247,5.040536,1,
23408,3.5664023,-30.406469,2.353207,2,2.353207
23409,3.5547775,-30.4055163,4.273856,1,
23421,3.558594,-30.405449,5.047148,1,
23423,3.6124306,-30.4056616,6.333846,1,
23430,3.6188361,-30.4079529,0.617798,1,
23488,3.6095563,-30.4053511,6.321047,1,
23494,3.5497083,-30.4061298,1.60993,1,
23536,3.6124343,-30.4055419,6.324801,3,6.324801
23556,3.6112703,-30.4054005,6.324763,2,6.324763
23568,3.6123379,-30.4056952,6.324998,1,
23598,3.6017492,-30.4078361,1.096633,2,1.096633
23660,3.5596886,-30.4054005,3.979208,1,
23716,3.5747074,-30.4056144,2.576491,2,2.576491
23777,3.5659379,-30.4048488,6.650227,1,
23848,3.5587027,-30.4054181,5.050106,1,
23874,3.6198789,-30.4062166,0.960103,1,
23886,3.6090909,-30.4047337,5.458885,1,
23998,3.613,-30.4050685,3.058062,2,3.058062
24065,3.6062292,-30.4052788,3.048054,2,3.048054
24096,3.5804464,-30.4050218,6.871702,2,6.871702
24106,3.5531762,-30.4045242,4.770802,1,
24115,3.5683138,-30.404555,5.017016,1,
24123,3.5615844,-30.404324,4.334483,1,
24132,3.608706,-30.4046782,5.286883,1,
24135,3.5532104,-30.4043743,6.23871,1,
24158,3.5812683,-30.4041826,6.872393,1,
24267,3.5837031,-30.404079,4.753055,1,
