id,ra,dec,zphot,zspec,z_spec_source,Muv,mag
JADES-GS-53.14901-27.80146,53.14901113327186,-27.80145801513211,8.68,-9999.0,-,-18.65,29.52100541725648
JADES-GS-53.14973-27.76181,53.149734760302124,-27.761805517233256,8.07,-9999.0,-,-17.42,29.813238217350253
JADES-GS-53.14988-27.7765,53.14988126513455,-27.776502536843484,13.41,13.274365,NIRSpec,-18.96,29.4335743100334
JADES-GS-53.15009-27.75513,53.15008526940361,-27.7551331678995,8.44,-9999.0,-,-19.52,28.386019608785002
JADES-GS-53.15018-27.7472,53.1501813567368,-27.747198797951615,10.58,-9999.0,-,-17.61,30.642770351117864
JADES-GS-53.15029-27.73883,53.150291692370146,-27.738825068649152,8.25,-9999.0,-,-17.66,29.67131339797388
JADES-GS-53.15087-27.83179,53.1508729492038,-27.831793817867254,8.89,-9999.0,-,-18.37,29.237398721719128
JADES-GS-53.15106-27.75698,53.15105589383405,-27.75698285210469,8.34,-9999.0,-,-18.12,29.53679171342335
JADES-GS-53.15203-27.80497,53.152029418921124,-27.804974003648447,8.65,-9999.0,-,-16.98,30.174288938887848
JADES-GS-53.15241-27.75626,53.15240539966608,-27.75626246557098,8.04,-9999.0,-,-17.55,29.987756451232624
JADES-GS-53.15338-27.82525,53.15337873618728,-27.825254825969637,8.47,-9999.0,-,-18.92,28.388373809525707
JADES-GS-53.15342-27.77844,53.153418795629975,-27.778437251535724,8.81,-9999.0,-,-18.25,29.77874907369751
JADES-GS-53.1535-27.76036,53.15350030635725,-27.76036276655511,8.07,-9999.0,-,-17.74,29.635650188357083
JADES-GS-53.15371-27.82902,53.153710095504074,-27.8290242277582,9.0,-9999.0,-,-17.87,29.215085992012447
JADES-GS-53.1551-27.75395,53.15510029925039,-27.753951235469597,10.29,-9999.0,-,-17.97,30.038286481854758
JADES-GS-53.15532-27.78665,53.15532490043915,-27.786646156467686,8.57,-9999.0,-,-17.04,30.038721869613408
JADES-GS-53.15536-27.82726,53.1553581944266,-27.827255245289848,8.57,-9999.0,-,-18.25,28.88036742270727
JADES-GS-53.15577-27.75095,53.155765443715204,-27.750953372033482,8.48,-9999.0,-,-17.76,29.0048010107417
JADES-GS-53.15633-27.83128,53.1563278714249,-27.831282691258384,8.49,7.923,FRESCO,-18.77,27.621117969046693
JADES-GS-53.15637-27.74844,53.15637450175366,-27.748443717888033,10.22,-9999.0,-,-18.65,29.57473251785939
JADES-GS-53.15661-27.75428,53.156608367939704,-27.75428382769866,8.02,-9999.0,-,-19.00,29.028990426079666
JADES-GS-53.15674-27.76293,53.156740031078364,-27.76292983719582,8.01,-9999.0,-,-17.31,29.76993042463379
JADES-GS-53.15701-27.73277,53.15701087535149,-27.732767915286843,9.21,-9999.0,-,-17.80,29.71813141609466
JADES-GS-53.1571-27.83708,53.15710468804858,-27.837081482690827,8.39,7.66785,FRESCO,-20.13,27.450652187571983
JADES-GS-53.15713-27.78003,53.15712653143618,-27.78002507125461,11.27,-9999.0,-,-16.69,30.04728015377254
JADES-GS-53.15731-27.83936,53.15731238385789,-27.83935922597254,8.97,-9999.0,-,-18.00,29.89752656200258
JADES-GS-53.15751-27.76677,53.157508080118106,-27.766774678911034,8.0,-9999.0,-,-19.19,28.209660252679893
JADES-GS-53.15784-27.76271,53.157835976338355,-27.762714973507254,8.57,-9999.0,-,-17.01,29.7239517378388
JADES-GS-53.15862-27.83408,53.158617822519744,-27.83407681434948,8.86,-9999.0,-,-19.97,27.79042444037016
JADES-GS-53.15883-27.7735,53.15882876549883,-27.77349774802844,10.84,10.420103,NIRSpec,-18.42,29.049065516911323
JADES-GS-53.15891-27.76508,53.158906371523045,-27.765076041372282,8.52,8.478,FRESCO,-19.35,27.778653821929193
JADES-GS-53.15897-27.82636,53.158972554219964,-27.826359431850154,8.38,-9999.0,-,-17.85,29.517326987086843
JADES-GS-53.15916-27.7609,53.15916402205249,-27.760895213929746,10.89,-9999.0,-,-17.61,30.92585585194647
JADES-GS-53.16079-27.7337,53.160785866478136,-27.73370267055298,8.56,-9999.0,-,-17.92,29.477781743239778
JADES-GS-53.16091-27.83743,53.16090854873287,-27.837432541785663,9.59,-9999.0,-,-17.35,29.805261310504516
JADES-GS-53.1611-27.75877,53.16110084354207,-27.75877462596499,8.4,-9999.0,-,-17.40,30.34918518358857
JADES-GS-53.16142-27.83939,53.16141709008094,-27.839389240852498,10.24,-9999.0,-,-17.46,29.340484241838123
JADES-GS-53.16157-27.79748,53.16157146527853,-27.797478874791196,8.54,-9999.0,-,-17.06,29.79238325412032
JADES-GS-53.16258-27.75267,53.162575570673276,-27.7526744782667,9.2,-9999.0,-,-17.66,30.694780721759702
JADES-GS-53.16311-27.72928,53.16310569452062,-27.72928497836352,8.66,-9999.0,-,-17.33,29.471348398592305
JADES-GS-53.16316-27.73388,53.163155208770426,-27.73388123472863,8.57,-9999.0,-,-18.50,28.683984002108122
JADES-GS-53.16326-27.76361,53.163258353761314,-27.763610313203444,8.71,-9999.0,-,-17.65,29.564148344526394
JADES-GS-53.16337-27.77569,53.163370392584355,-27.775687236028528,8.65,8.664562,NIRSpec,-18.00,30.207006618002254
JADES-GS-53.16415-27.78452,53.16414879308121,-27.784523043799783,8.02,-9999.0,-,-18.42,28.866627648665833
JADES-GS-53.16447-27.80218,53.164466983315926,-27.80218412038218,8.5,8.476365,NIRSpec,-18.75,27.871071575108417
JADES-GS-53.16476-27.77463,53.16476166869503,-27.7746259454232,12.31,11.670615,NIRSpec,-19.74,28.36559335773689
JADES-GS-53.1652-27.74156,53.165201689937405,-27.74156431126348,8.54,-9999.0,-,-18.37,29.52496606060068
JADES-GS-53.16528-27.73379,53.16527771708964,-27.73378721041506,8.4,-9999.0,-,-17.52,29.622680065259246
JADES-GS-53.16553-27.82303,53.165527872078236,-27.823026840754782,9.96,-9999.0,-,-18.51,29.716128066525297
JADES-GS-53.16594-27.83424,53.165935635850374,-27.834235814645886,10.75,-9999.0,NIRSpec,-19.61,28.331162823059294
