id,ra,dec,zspec,zconf
rxj1347-1025,206.87746,-11.7631,0.45201,3
rxj1347-872,206.87469,-11.76236,4.382,1
rxj1347-924,206.87443,-11.76295,0.0997,2
rxj1347-395,206.87485,-11.76209,0.36363,3
rxj1347-957,206.87504,-11.76156,0.44581,3
rxj1347-1062,206.87506,-11.76219,0.36344,3
rxj1347-674,206.8695,-11.7644,0.44589,3
rxj1347-1061,206.86879,-11.7619,0.84835,3
rxj1347-1042,206.86969,-11.76143,0.001585,3
rxj1347-6,206.87205,-11.76124,3.56752,2
rxj1347-4574,206.87191,-11.76097,1.76967,3
rxj1347-1343,206.87483,-11.76021,0.13977,3
rxj1347-1366,206.87398,-11.75982,0.45078,3
rxj1347-1127,206.8723,-11.75974,0.0,3
rxj1347-1483,206.87214,-11.75918,3.75055,3
rxj1347-738,206.88379,-11.76572,0.45617,3
rxj1347-693,206.88398,-11.76527,0.45399,3
rxj1347-1082,206.88467,-11.76422,0.000527,3
rxj1347-948,206.88254,-11.76435,1.76895,3
rxj1347-3,206.88313,-11.76374,3.705,1
rxj1347-1014,206.88344,-11.76438,0.369,1
rxj1347-1208,206.8868,-11.76392,3.571,2
rxj1347-1264,206.88634,-11.76313,0.5366,3
rxj1347-1417,206.88719,-11.76235,4.38317,3
rxj1347-416,206.88431,-11.7625,4.83232,3
rxj1347-4571,206.88516,-11.76289,0.78218,3
rxj1347-1292,206.88383,-11.76274,4.16409,2
rxj1347-1301,206.88573,-11.76271,1.25867,3
rxj1347-766,206.88062,-11.76413,0.432974,3
rxj1347-1075,206.88159,-11.76354,0.78147,3
rxj1347-402,206.88042,-11.76274,4.84663,3
rxj1347-937,206.87964,-11.7632,0.45261,3
rxj1347-1356,206.88169,-11.7612,-0.000443,3
rxj1347-1378,206.88185,-11.7617,0.5084,1
rxj1347-370,206.88312,-11.76222,4.84366,3
rxj1347-1350,206.88402,-11.76011,0.45938,3
rxj1347-1522,206.88472,-11.7595,0.4572,3
rxj1347-1531,206.88477,-11.75997,0.4511,3
rxj1347-1627,206.88209,-11.75974,3.0668,3
rxj1347-1063,206.88815,-11.76128,0.60611,3
rxj1347-1514,206.88937,-11.76195,3.75079,2
rxj1347-1556,206.88935,-11.76123,0.907,1
rxj1347-903,206.89096,-11.7605,4.08588,1
rxj1347-443,206.88763,-11.7594,3.70397,3
rxj1347-1717,206.88899,-11.75977,0.54546,3
rxj1347-1879,206.89225,-11.75863,0.58005,3
rxj1347-1981,206.89207,-11.75856,0.5802,3
rxj1347-4572,206.89375,-11.75723,1.31844,3
rxj1347-1943,206.89275,-11.7582,0.44981,3
rxj1347-535,206.8916,-11.75644,0.20374,3
rxj1347-2245,206.89212,-11.75661,0.2036,3
rxj1347-2316,206.89137,-11.75631,0.20373,3
rxj1347-1715,206.88661,-11.75954,0.57998,2
rxj1347-1907,206.88852,-11.75807,0.452096,2
rxj1347-4583,206.88744,-11.75754,2.12672,1
rxj1347-1861,206.88512,-11.75792,0.449836,2
rxj1347-1911,206.88459,-11.75739,0.4604,1
rxj1347-4584,206.88452,-11.75847,3.06494,3
rxj1347-1963,206.88909,-11.7572,0.46125,2
rxj1347-2089,206.88982,-11.75683,0.20315,3
rxj1347-2296,206.88912,-11.75568,0.60785,3
rxj1347-132,206.89064,-11.75455,0.60803,2
rxj1347-954,206.89059,-11.75533,3.333,1
rxj1347-2292,206.89063,-11.756,-0.000446,2
rxj1347-2327,206.88952,-11.75577,3.995,1
rxj1347-2415,206.89106,-11.75529,0.74961,3
rxj1347-905,206.8883,-11.75498,4.08366,3
rxj1347-1886,206.88719,-11.75578,0.00015,3
rxj1347-2087,206.888,-11.75587,0.44877,3
rxj1347-2444,206.88753,-11.75483,0.66871,3
rxj1347-1089,206.88805,-11.75432,4.74451,2
rxj1347-411,206.87704,-11.76137,3.70459,3
rxj1347-1068,206.8778,-11.76123,0.44145,3
rxj1347-1074,206.87914,-11.76153,0.44242,3
rxj1347-187,206.87853,-11.76026,5.67454,2
rxj1347-396,206.87999,-11.76058,4.74352,3
rxj1347-1377,206.87955,-11.76064,0.37589,2
rxj1347-1493,206.87908,-11.76026,4.081841,3
rxj1347-1248,206.87612,-11.76021,0.45342,3
rxj1347-1358,206.87536,-11.76023,0.44972,1
rxj1347-1443,206.87754,-11.75936,2.12699,1
rxj1347-1542,206.87733,-11.75892,0.44463,2
rxj1347-1781,206.88078,-11.75801,0.34724,3
rxj1347-1448,206.88001,-11.7584,0.44927,3
rxj1347-1732,206.88002,-11.75766,0.456797,3
rxj1347-1739,206.87641,-11.75702,0.448515,3
rxj1347-1827,206.87665,-11.757,3.68266,2
rxj1347-1695,206.8784,-11.75734,0.44798,3
rxj1347-1818,206.87728,-11.75673,0.46643,1
rxj1347-1597,206.87872,-11.75551,0.60522,3
rxj1347-1939,206.87748,-11.75592,0.458156,3
rxj1347-1984,206.87724,-11.75583,0.458683,1
rxj1347-2265,206.87759,-11.7543,3.68213,2
rxj1347-398,206.88321,-11.75629,6.56616,3
rxj1347-2067,206.88323,-11.75598,0.4544,3
rxj1347-1107,206.88458,-11.75517,4.270642,1
rxj1347-1034,206.88286,-11.75561,6.56792,1
rxj1347-1955,206.88243,-11.75643,0.436137,2
rxj1347-2062,206.88098,-11.75536,0.434573,3
rxj1347-2138,206.88128,-11.75539,0.43393,1
rxj1347-2000,206.88396,-11.75503,0.44653,3
rxj1347-695,206.88665,-11.75433,3.066,1
rxj1347-2348,206.88635,-11.75359,0.45307,3
rxj1347-2363,206.88712,-11.75416,0.45547,3
rxj1347-1072,206.88801,-11.75287,4.747104,1
rxj1347-2555,206.88785,-11.75392,0.85,3
rxj1347-2664,206.88798,-11.75321,0.0,3
rxj1347-2782,206.8883,-11.75249,4.080949,3
rxj1347-2238,206.88522,-11.75257,0.34685,3
rxj1347-2712,206.88493,-11.75246,0.45079,2
rxj1347-2780,206.88556,-11.75258,3.70581,3
rxj1347-2698,206.88651,-11.75184,0.45722,3
rxj1347-147,206.88062,-11.7544,4.0826,2
rxj1347-665,206.88144,-11.75422,4.74574,2
rxj1347-1070,206.87989,-11.75449,5.673,1
rxj1347-2153,206.88127,-11.75478,0.45152,3
rxj1347-2215,206.88068,-11.75445,0.454,2
rxj1347-2358,206.88191,-11.75409,0.45039,3
rxj1347-2468,206.88077,-11.75327,0.45775,3
rxj1347-12,206.88177,-11.75271,4.83771,1
rxj1347-110,206.88344,-11.75312,0.44752,3
rxj1347-500,206.88187,-11.75244,4.160282,1
rxj1347-1571,206.88259,-11.7532,0.45072,3
rxj1347-2414,206.88116,-11.75297,0.44954,3
rxj1347-2606,206.88289,-11.75283,0.44862,3
rxj1347-2,206.87905,-11.75302,3.70342,3
rxj1347-2390,206.87867,-11.75334,2.12672,1
rxj1347-2431,206.88065,-11.75307,0.44927,3
rxj1347-2619,206.88099,-11.75131,0.44442,3
rxj1347-2718,206.88187,-11.75181,0.454,1
rxj1347-821,206.88372,-11.75149,0.44134,1
rxj1347-2568,206.88271,-11.75188,0.44701,3
rxj1347-2571,206.88298,-11.75257,0.44909,3
rxj1347-2701,206.8846,-11.75218,0.45892,3
rxj1347-458,206.88398,-11.75078,5.42057,3
rxj1347-2661,206.88514,-11.75112,0.45478,3
rxj1347-2703,206.88378,-11.75053,0.46422,3
rxj1347-2855,206.88186,-11.75137,3.70131,3
rxj1347-2857,206.88196,-11.75026,0.462124,3
rxj1347-405,206.88455,-11.74921,4.163,2
rxj1347-861,206.88287,-11.7499,3.705,1
rxj1347-388,206.86039,-11.76632,0.0,3
rxj1347-492,206.86277,-11.76547,0.45552,3
rxj1347-504,206.86304,-11.76565,0.70556,2
rxj1347-539,206.86276,-11.76508,1.02432,3
rxj1347-482,206.85979,-11.76486,0.44942,3
rxj1347-4581,206.86165,-11.76275,0.45403,3
rxj1347-695,206.8651,-11.76413,1.76826,1
rxj1347-751,206.86512,-11.76398,1.76864,2
rxj1347-686,206.86621,-11.76216,0.0,3
rxj1347-796,206.86546,-11.76304,0.46139,3
rxj1347-794,206.86357,-11.7624,0.46029,3
rxj1347-798,206.86341,-11.76191,0.45352,3
rxj1347-816,206.86411,-11.76273,0.81125,3
rxj1347-965,206.86278,-11.76165,0.69375,2
rxj1347-1043,206.86486,-11.76138,5.155495,3
rxj1347-4570,206.86157,-11.7616,0.84744,3
rxj1347-1051,206.86181,-11.76085,3.23436,3
rxj1347-1040,206.86055,-11.76042,0.0,1
rxj1347-1335,206.86175,-11.75873,4.388,1
rxj1347-954,206.86676,-11.76132,1.77316,3
rxj1347-1108,206.86681,-11.76096,0.84868,3
rxj1347-854,206.8691,-11.76027,-0.000183,3
rxj1347-1211,206.8687,-11.75996,0.57953,3
rxj1347-1175,206.86516,-11.76032,3.081937,3
rxj1347-1212,206.86646,-11.76034,4.944878,3
rxj1347-1142,206.86729,-11.75898,0.84868,3
rxj1347-1217,206.86649,-11.75962,0.465059,2
rxj1347-1282,206.86823,-11.75908,1.16471,3
rxj1347-1314,206.86719,-11.75977,4.383,2
rxj1347-1384,206.867,-11.75827,0.451604,3
rxj1347-1290,206.86932,-11.75922,-0.000486,3
rxj1347-1719,206.87163,-11.7571,3.992606,3
rxj1347-5,206.86868,-11.75705,3.56752,2
rxj1347-1269,206.86872,-11.75686,0.08632,3
rxj1347-1659,206.86934,-11.75639,0.454,1
rxj1347-1383,206.86566,-11.75815,0.36327,3
rxj1347-1361,206.86278,-11.75772,0.69308,3
rxj1347-1513,206.86293,-11.75711,5.38266,3
rxj1347-1721,206.86814,-11.75581,0.44519,3
rxj1347-1733,206.86732,-11.75553,0.45171,3
rxj1347-1986,206.86789,-11.75425,0.0,2
rxj1347-2018,206.86789,-11.75386,0.00097,3
rxj1347-712,206.86161,-11.75742,4.88009,3
rxj1347-1755,206.86415,-11.7554,6.37235,1
rxj1347-1893,206.8652,-11.75395,4.40062,2
rxj1347-4575,206.86618,-11.75239,2.37975,3
rxj1347-747,206.86413,-11.75156,5.422,2
rxj1347-1838,206.86401,-11.75234,-0.000431,3
rxj1347-2311,206.86386,-11.75122,0.29078,3
rxj1347-7,206.87188,-11.75694,4.08555,2
rxj1347-1591,206.87274,-11.75726,0.44213,3
rxj1347-1701,206.87205,-11.75642,0.08173,3
rxj1347-1598,206.87487,-11.75546,0.46618,3
rxj1347-1993,206.87452,-11.75484,0.44935,3
rxj1347-1722,206.87034,-11.75519,0.88609,3
rxj1347-1824,206.8703,-11.75555,0.88524,3
rxj1347-2141,206.87255,-11.75422,5.00828,3
rxj1347-1057,206.87628,-11.75442,5.723,2
rxj1347-2068,206.87491,-11.75441,0.34817,3
rxj1347-2130,206.87562,-11.75442,0.28221,3
rxj1347-2142,206.87513,-11.75438,0.0,2
rxj1347-2314,206.87762,-11.75345,0.45185,2
rxj1347-2543,206.87678,-11.7521,0.454,3
rxj1347-2354,206.87431,-11.75244,0.452197,2
rxj1347-1814,206.8708,-11.75418,0.28212,3
rxj1347-2007,206.86943,-11.7545,0.87472,3
rxj1347-4568,206.86927,-11.75476,0.50898,3
rxj1347-2137,206.86919,-11.75352,3.75086,2
rxj1347-2544,206.87006,-11.75146,3.99443,3
rxj1347-680,206.87185,-11.75145,3.01486,1
rxj1347-2409,206.8723,-11.7506,0.45134,3
rxj1347-2634,206.87273,-11.75035,0.44804,3
rxj1347-2867,206.87244,-11.74859,0.1028,3
rxj1347-9,206.87835,-11.75112,4.947295,2
rxj1347-924,206.87831,-11.75243,4.382,2
rxj1347-1641,206.87755,-11.75263,0.45116,3
rxj1347-2519,206.87829,-11.75244,0.461013,3
rxj1347-2605,206.87704,-11.75181,0.45492,3
rxj1347-4,206.8786,-11.75116,3.56752,2
rxj1347-2827,206.87859,-11.75031,0.454856,2
rxj1347-2892,206.87916,-11.7499,0.0,3
rxj1347-782,206.87685,-11.75114,5.769,2
rxj1347-2814,206.87643,-11.74998,0.458179,2
rxj1347-13,206.87792,-11.74996,4.875,2
rxj1347-2547,206.87767,-11.7495,0.45213,3
rxj1347-2963,206.87821,-11.7489,0.452947,2
rxj1347-2954,206.88247,-11.74895,0.54532,3
rxj1347-3086,206.88145,-11.74793,0.45316,3
rxj1347-3116,206.88309,-11.74832,0.0,2
rxj1347-74,206.88061,-11.74796,3.564597,2
rxj1347-3278,206.88,-11.74724,4.942484,3
rxj1347-287,206.87574,-11.75017,4.03847,3
rxj1347-2711,206.87513,-11.75037,0.44948,3
rxj1347-2688,206.87423,-11.74921,0.446509,2
rxj1347-2804,206.87442,-11.74907,0.44826,3
rxj1347-3050,206.87487,-11.74816,5.76961,3
rxj1347-3117,206.87492,-11.74769,5.516,1
rxj1347-1027,206.87819,-11.74787,4.876977,2
rxj1347-3163,206.87791,-11.74785,0.40841,3
rxj1347-3434,206.87968,-11.74549,3.75083,3
rxj1347-2971,206.87683,-11.74698,0.44652,3
rxj1347-442,206.87762,-11.74439,2.965,1
rxj1347-2434,206.86734,-11.75159,4.38242,3
rxj1347-995,206.86897,-11.7509,0.90002,1
rxj1347-312,206.86593,-11.75045,4.15982,2
rxj1347-826,206.86571,-11.74993,4.83544,3
rxj1347-2107,206.86574,-11.75103,0.29083,3
rxj1347-2328,206.86579,-11.75067,0.0,3
rxj1347-765,206.87056,-11.74947,4.08555,3
rxj1347-2744,206.87107,-11.74938,0.45377,3
rxj1347-2918,206.87106,-11.74832,4.086,1
rxj1347-2654,206.8695,-11.74733,2.12459,2
rxj1347-2457,206.86423,-11.75036,0.91904,2
rxj1347-2501,206.86417,-11.75002,0.91894,3
rxj1347-2629,206.86432,-11.74959,0.71461,3
rxj1347-2630,206.86557,-11.74955,0.84932,3
rxj1347-448,206.86559,-11.7485,4.8437,3
rxj1347-2520,206.86495,-11.74793,0.84942,3
rxj1347-2614,206.8666,-11.74849,0.45611,3
rxj1347-290,206.86503,-11.7467,3.70673,3
rxj1347-414,206.86806,-11.74715,3.70526,2
rxj1347-3003,206.8666,-11.74644,0.29066,1
rxj1347-3070,206.86661,-11.74673,0.47663,1
rxj1347-4577,206.86768,-11.74633,0.84753,3
rxj1347-2972,206.86825,-11.74631,1.285333,3
rxj1347-278,206.8677,-11.74465,4.086029,3
rxj1347-1030,206.86681,-11.74471,4.750704,1
rxj1347-3346,206.86758,-11.74417,0.84715,3
rxj1347-851,206.87269,-11.74627,4.08678,2
rxj1347-2910,206.87319,-11.74721,0.43741,3
rxj1347-3004,206.87252,-11.74797,0.14374,3
rxj1347-3168,206.8724,-11.74643,4.086,1
rxj1347-481,206.8737,-11.74641,0.2964,1
rxj1347-3350,206.87408,-11.74509,4.082296,2
rxj1347-3158,206.87147,-11.74644,0.69366,3
rxj1347-3281,206.87143,-11.74484,0.45769,3
rxj1347-3428,206.87208,-11.74416,0.8055,3
rxj1347-3329,206.87629,-11.74443,0.44815,3
rxj1347-3557,206.87408,-11.74257,0.453862,2
rxj1347-4578,206.87453,-11.74201,0.85042,3
rxj1347-3442,206.87498,-11.74304,0.30841,3
rxj1347-3542,206.87484,-11.74288,0.45207,3
rxj1347-3568,206.87556,-11.74331,1.022136,2
rxj1347-3609,206.87568,-11.74267,1.02257,2
rxj1347-4409,206.87498,-11.7415,3.68062,2
rxj1347-3177,206.87049,-11.74532,0.53346,3
rxj1347-3407,206.86975,-11.74404,3.99334,2
rxj1347-3363,206.87171,-11.74411,0.84843,3
rxj1347-3453,206.87096,-11.74304,0.00075,3
rxj1347-3389,206.86798,-11.74385,5.67208,1
rxj1347-3458,206.87216,-11.7432,0.456197,3
rxj1347-847,206.8734,-11.7417,0.68197,1
rxj1347-3616,206.8733,-11.7406,0.0,3
rxj1347-3768,206.87323,-11.74143,0.91606,1
rxj1347-3865,206.87378,-11.74037,0.0,2
rxj1347-3871,206.87424,-11.74061,0.27795,3
rxj1347-3785,206.87054,-11.74161,3.70522,2
rxj1347-3853,206.87241,-11.74031,0.81314,3
rxj1347-15,206.8963,-11.75525,4.298,3
rxj1347-349,206.89372,-11.75559,5.723,1
rxj1347-662,206.89226,-11.75552,0.20349,3
rxj1347-2323,206.89244,-11.75604,0.20366,3
rxj1347-2373,206.89228,-11.7559,0.20375,3
rxj1347-4567,206.89287,-11.7555,0.20315,3
rxj1347-4582,206.89603,-11.75368,0.61593,3
rxj1347-2834,206.89623,-11.75339,0.81137,3
rxj1347-2933,206.89554,-11.75284,5.12679,2
rxj1347-2489,206.89074,-11.75455,0.45342,3
rxj1347-991,206.89236,-11.75311,4.053,1
rxj1347-2856,206.89269,-11.75283,4.74715,3
rxj1347-2725,206.89102,-11.75364,3.68066,3
rxj1347-2593,206.89095,-11.75202,0.449214,3
rxj1347-2978,206.8923,-11.75154,3.67387,2
rxj1347-1090,206.89432,-11.75218,4.493,1
rxj1347-2881,206.89477,-11.75265,5.553,1
rxj1347-587,206.89595,-11.75002,4.53697,1
rxj1347-813,206.8962,-11.75019,4.923,1
rxj1347-2846,206.89564,-11.75153,0.5528,3
rxj1347-3088,206.89573,-11.75129,4.5358,2
rxj1347-3111,206.8962,-11.75062,0.61794,3
rxj1347-4569,206.89522,-11.75109,0.55324,3
rxj1347-670,206.89419,-11.75069,5.04369,2
rxj1347-2996,206.89229,-11.75056,0.45185,3
rxj1347-3044,206.89357,-11.75046,0.44171,3
rxj1347-3125,206.89429,-11.75083,0.6158,3
rxj1347-1064,206.89438,-11.74872,4.778,1
rxj1347-2747,206.8949,-11.75039,0.44958,3
rxj1347-470,206.89591,-11.7486,4.148016,1
rxj1347-8,206.88899,-11.75289,5.67454,2
rxj1347-297,206.88869,-11.75124,5.6732,3
rxj1347-1006,206.88939,-11.75156,4.299772,2
rxj1347-1007,206.888,-11.75173,4.08478,3
rxj1347-2534,206.88899,-11.75285,3e-05,3
rxj1347-2839,206.88906,-11.75217,0.6153,3
rxj1347-2988,206.891,-11.75113,0.3465,3
rxj1347-2997,206.89055,-11.75076,0.20369,2
rxj1347-3103,206.88949,-11.7497,0.45098,2
rxj1347-3238,206.88836,-11.74898,4.29859,1
rxj1347-3222,206.89154,-11.74951,4.662417,1
rxj1347-1022,206.8921,-11.74831,5.97994,1
rxj1347-3286,206.89343,-11.74915,0.61537,2
rxj1347-3340,206.89241,-11.74866,3.077645,3
rxj1347-3262,206.89215,-11.74794,0.446694,3
rxj1347-3264,206.891,-11.74741,0.90635,3
rxj1347-3375,206.89188,-11.74754,1.68977,3
rxj1347-3431,206.89186,-11.74745,0.76838,1
rxj1347-3431,206.89186,-11.74745,1.68989,3
rxj1347-958,206.88566,-11.74968,4.844766,2
rxj1347-1092,206.88692,-11.749,1.012,1
rxj1347-2990,206.88549,-11.74908,0.45326,3
rxj1347-3082,206.88632,-11.74953,0.000503,1
rxj1347-3229,206.88708,-11.74793,0.8475,3
rxj1347-494,206.88532,-11.74764,3.70342,3
rxj1347-3179,206.88502,-11.74904,4.836,1
rxj1347-3195,206.88503,-11.74836,2.12495,2
rxj1347-3369,206.88658,-11.74709,3.99184,2
rxj1347-3508,206.88996,-11.74658,3.6809,3
rxj1347-3518,206.88733,-11.74514,0.44907,2
rxj1347-3569,206.88956,-11.74534,0.0,3
rxj1347-4030,206.88822,-11.74455,3.679,3
rxj1347-3457,206.89518,-11.74757,0.76799,2
rxj1347-820,206.89602,-11.74581,3.94228,1
rxj1347-3911,206.89652,-11.74578,5.51,1
rxj1347-4463,206.89565,-11.74278,0.553,3
rxj1347-13,206.89293,-11.74298,0.40842,3
rxj1347-917,206.89372,-11.74402,0.354816,1
rxj1347-3620,206.89335,-11.74397,0.443794,2
rxj1347-1073,206.89079,-11.74406,1.06,1
rxj1347-4556,206.89238,-11.74222,3.630961,3
rxj1347-3702,206.89378,-11.74233,5.30499,1
rxj1347-4086,206.89511,-11.74182,0.34623,3
rxj1347-4546,206.89533,-11.74183,0.34653,3
rxj1347-3416,206.8931,-11.74169,-1e-05,3
rxj1347-3972,206.89517,-11.74028,0.55309,3
rxj1347-3224,206.88312,-11.74735,0.45715,3
rxj1347-3248,206.8848,-11.74721,0.44553,3
rxj1347-3265,206.88246,-11.74701,0.44782,1
rxj1347-3354,206.88301,-11.74696,4.380905,3
rxj1347-3413,206.88426,-11.74554,0.450619,3
rxj1347-3464,206.8843,-11.74566,0.45068,3
rxj1347-3377,206.88169,-11.74587,0.456872,3
rxj1347-4573,206.88334,-11.74495,0.805711,3
rxj1347-3599,206.88678,-11.74469,0.459,2
rxj1347-4379,206.88817,-11.74365,0.447,2
rxj1347-3993,206.88502,-11.74414,3.68136,3
rxj1347-3711,206.88642,-11.74305,4.66254,2
rxj1347-3531,206.88021,-11.74452,0.8471,3
rxj1347-1032,206.88236,-11.74387,3.908,1
rxj1347-3564,206.88226,-11.74462,0.8472,3
rxj1347-3608,206.88306,-11.74346,0.45351,2
rxj1347-2944,206.87965,-11.7441,0.84857,3
rxj1347-3529,206.87988,-11.7441,0.84772,3
rxj1347-3547,206.87889,-11.74365,0.28049,3
rxj1347-3583,206.87844,-11.7436,0.28032,3
rxj1347-1099,206.8816,-11.74247,3.907,1
rxj1347-4339,206.88087,-11.74163,0.88231,2
rxj1347-4585,206.88413,-11.74177,3.670296,2
rxj1347-767,206.88464,-11.74138,4.036408,2
rxj1347-4424,206.88461,-11.74101,0.44633,3
rxj1347-21,206.8826,-11.74069,5.7689,2
rxj1347-4586,206.88274,-11.74115,3.668,2
rxj1347-4286,206.88261,-11.74079,0.45356,3
rxj1347-4491,206.88133,-11.74101,0.45401,2
rxj1347-710,206.88333,-11.74069,4.040708,2
rxj1347-4501,206.88965,-11.74266,0.45052,3
rxj1347-3969,206.89069,-11.74035,1.85077,3
rxj1347-4164,206.89174,-11.74119,0.44387,3
rxj1347-4166,206.89084,-11.74056,1.851,3
rxj1347-4564,206.8877,-11.74187,0.46783,3
rxj1347-4250,206.89043,-11.7398,0.84866,3
rxj1347-3476,206.87763,-11.74271,0.44823,3
rxj1347-3777,206.8794,-11.74229,0.60742,3
rxj1347-271,206.87831,-11.7394,3.6816,2
rxj1347-3798,206.87904,-11.73982,1.322,2
rxj1347-4281,206.87849,-11.73969,0.85065,3
rxj1347-4362,206.87819,-11.73989,0.53293,3
rxj1347-4404,206.87789,-11.73955,4.65719,3
rxj1347-4436,206.87876,-11.73986,1.3223,2
rxj1347-4233,206.88127,-11.73864,0.592,3
rxj1347-404,206.87993,-11.7387,3.146,2
rxj1347-3692,206.87904,-11.73951,3.68198,3
rxj1347-4023,206.8795,-11.73984,4.65981,3
rxj1347-4348,206.87902,-11.73859,2.663267,1
rxj1347-4396,206.87912,-11.73863,2.66117,3
rxj1347-4431,206.88093,-11.73853,1.33652,3
rxj1347-4439,206.87474,-11.73972,4.954,1
rxj1347-4408,206.87616,-11.73856,6.457,3
rxj1347-4308,206.87565,-11.73759,0.000393,3
rxj1347-10,206.86491,-11.74307,6.56616,1
rxj1347-3294,206.86553,-11.7443,0.66883,2
rxj1347-3432,206.86638,-11.74254,0.00039,3
rxj1347-3516,206.86705,-11.7423,0.97314,1
rxj1347-518,206.86722,-11.74117,4.19917,3
rxj1347-570,206.86965,-11.74133,4.29376,1
rxj1347-807,206.86846,-11.74209,4.86872,2
rxj1347-3588,206.86758,-11.74151,2.05615,3
rxj1347-3621,206.86673,-11.74116,0.84961,2
rxj1347-3991,206.86578,-11.74102,3.71072,2
rxj1347-335,206.8674,-11.73997,4.53874,3
rxj1347-3770,206.86786,-11.7402,3.92382,3
rxj1347-645,206.86968,-11.73954,4.03806,3
rxj1347-1082,206.86955,-11.74066,4.58741,1
rxj1347-3764,206.86748,-11.73862,0.77957,3
rxj1347-3884,206.86775,-11.73906,0.77826,3
rxj1347-4522,206.86862,-11.73836,0.44918,3
rxj1347-464,206.86626,-11.73887,4.53931,3
rxj1347-4535,206.86682,-11.73852,0.61715,3
rxj1347-4378,206.87326,-11.73749,3.92335,1
rxj1347-4215,206.8717,-11.73707,0.45204,3
smc2031-1,307.97751,-40.6244,4.4151,1
smc2031-2,307.97707,-40.62311,4.4151,2
smc2031-3,307.97075,-40.63152,4.4151,2
smc2031-38,307.97339,-40.62549,2.256,3
smc2031-55,307.97021,-40.61774,0.3495,2
smc2031-63,307.97,-40.62914,5.62743,3
smc2031-65,307.96882,-40.62617,5.62857,3
smc2031-66,307.97272,-40.62717,5.62733,3
smc2031-67,307.97402,-40.63264,3.94057,2
smc2031-68,307.97142,-40.62603,5.6273,2
smc2031-70,307.96329,-40.62042,6.41436,2
smc2031-71,307.97399,-40.61694,5.62673,2
smc2031-72,307.97384,-40.62784,5.627,2
smc2031-74,307.97016,-40.61849,5.24274,2
smc2031-78,307.97572,-40.62845,3.506,1
smc2031-79,307.98194,-40.61803,3.61835,2
smc2031-80,307.96753,-40.62938,3.3412,2
smc2031-81,307.96644,-40.6234,5.24109,2
smc2031-82,307.96221,-40.62665,3.72349,3
smc2031-84,307.98262,-40.62677,2.98801,3
smc2031-85,307.97258,-40.61858,3.34249,3
smc2031-87,307.96556,-40.63,5.24308,2
smc2031-90,307.97177,-40.61791,0.352,3
smc2031-91,307.96457,-40.61836,6.41458,2
smc2031-93,307.96725,-40.61734,3.725174,3
smc2031-98,307.96572,-40.61902,5.61541,2
smc2031-100,307.98277,-40.63103,5.992,2
smc2031-101,307.96471,-40.62053,5.61777,2
smc2031-105,307.96291,-40.62403,3.72146,2
smc2031-120,307.97944,-40.61698,6.342,1
smc2031-124,307.97469,-40.61916,3.50782,3
smc2031-125,307.9636,-40.62977,3.858,2
smc2031-127,307.9673,-40.62714,2.98883,3
smc2031-157,307.97692,-40.63188,4.12628,2
smc2031-187,307.97213,-40.62183,5.352,1
smc2031-192,307.96501,-40.63124,6.23988,1
smc2031-205,307.9699,-40.61784,0.349022,2
smc2031-210,307.98073,-40.61762,4.8203,2
smc2031-216,307.9675,-40.62118,3.59415,1
smc2031-219,307.96128,-40.62886,5.61541,2
smc2031-223,307.97599,-40.61781,3.50856,1
smc2031-231,307.96365,-40.62215,6.375,1
smc2031-240,307.97721,-40.61918,6.228,1
smc2031-244,307.96505,-40.62303,4.73006,2
smc2031-249,307.97477,-40.62536,3.42194,1
smc2031-252,307.97628,-40.61839,4.19589,2
smc2031-257,307.96513,-40.63266,4.398,1
smc2031-263,307.9634,-40.62875,4.727827,2
smc2031-265,307.96397,-40.62631,4.011,1
smc2031-271,307.96833,-40.61815,4.7299,3
smc2031-274,307.97887,-40.63061,4.83733,1
smc2031-1,307.96378,-40.63345,0.33972,3
smc2031-2,307.97511,-40.63328,0.35038,3
smc2031-12,307.97422,-40.633,0.0,3
smc2031-17,307.97839,-40.63242,0.34519,3
smc2031-19,307.96141,-40.6322,0.34069,3
smc2031-20,307.97387,-40.63199,0.33239,3
smc2031-29,307.97143,-40.63231,1.15048,3
smc2031-30,307.98065,-40.63183,0.34136,2
smc2031-33,307.97805,-40.63179,0.33501,3
smc2031-34,307.98242,-40.63183,0.3462,1
smc2031-42,307.96484,-40.63107,0.347725,3
smc2031-45,307.96544,-40.63142,0.41768,3
smc2031-49,307.96732,-40.63095,3.415,3
smc2031-52,307.9727,-40.63012,0.34139,3
smc2031-55,307.9732,-40.63066,0.52365,3
smc2031-56,307.96394,-40.6296,0.33414,3
smc2031-57,307.98113,-40.63016,0.88704,1
smc2031-58,307.97037,-40.63041,0.347,2
smc2031-63,307.97043,-40.63013,3.506685,3
smc2031-64,307.9827,-40.62965,0.346599,3
smc2031-66,307.97803,-40.62994,0.34203,1
smc2031-68,307.97554,-40.62817,0.33846,3
smc2031-74,307.97104,-40.62939,3.506206,3
smc2031-95,307.96743,-40.61879,-0.001206,3
smc2031-103,307.97139,-40.62071,3.42074,3
smc2031-106,307.97937,-40.62092,0.61817,3
smc2031-108,307.96712,-40.62088,0.34028,3
smc2031-111,307.97632,-40.62116,0.34458,3
smc2031-115,307.96363,-40.62105,0.34798,3
