id,ra,dec,zspec,zconf
mc1206-3386,181.57314,-8.8033,0.7337,3
mc1206-3404,181.56661,-8.8036,0.4197,2
mc1206-3407,181.54621,-8.80349,0.448081,3
mc1206-3413,181.56147,-8.80409,0.4395,3
mc1206-3416,181.55376,-8.80374,0.4767,3
mc1206-3432,181.55761,-8.80305,3.761,3
mc1206-3436,181.5556,-8.80342,0.4443,1
mc1206-3442,181.55325,-8.80382,0.4414,3
mc1206-3448,181.56798,-8.80291,0.4707,3
mc1206-3453,181.56881,-8.80315,0.435075,3
mc1206-3457,181.54221,-8.80305,0.448,1
mc1206-3462,181.53584,-8.80345,0.445,3
mc1206-3468,181.55225,-8.80298,0.4452,2
mc1206-3473,181.56207,-8.80255,0.419588,3
mc1206-3483,181.55757,-8.80374,0.4529,3
mc1206-3484,181.5377,-8.80358,0.4377,3
mc1206-3485,181.55774,-8.80272,0.44186,2
mc1206-3486,181.55031,-8.80276,0.470515,1
mc1206-3488,181.5684,-8.80284,0.7854,3
mc1206-3497,181.55613,-8.80454,0.4427,3
mc1206-3504,181.56554,-8.8034,0.4385,3
mc1206-3520,181.5641,-8.80259,0.9875,3
mc1206-3527,181.5478,-8.80212,3.3985,3
mc1206-3529,181.55877,-8.80269,0.4425,3
mc1206-3540,181.56187,-8.80434,0.425198,3
mc1206-3549,181.54775,-8.80271,0.4447,3
mc1206-3559,181.55253,-8.80229,0.4399,3
mc1206-3564,181.54477,-8.80261,0.4451,3
mc1206-3567,181.5494,-8.80177,3.3988,3
mc1206-3581,181.56428,-8.80221,0.439828,2
mc1206-3584,181.5425,-8.80222,0.539212,3
mc1206-3598,181.5671,-8.80319,0.4355,3
mc1206-3607,181.55739,-8.80233,0.443,3
mc1206-3608,181.53725,-8.80234,0.446,3
mc1206-3618,181.55433,-8.80249,0.4408,3
mc1206-3627,181.5691,-8.80225,1.6417,3
mc1206-3628,181.56874,-8.80215,0.5962,3
mc1206-3639,181.56863,-8.80188,0.440741,3
mc1206-3641,181.54445,-8.80147,0.4291,3
mc1206-3668,181.55339,-8.8012,4.0722,3
mc1206-3673,181.55814,-8.8019,0.438344,3
mc1206-3677,181.53466,-8.80152,0.442361,2
mc1206-3680,181.53853,-8.80122,0.42,3
mc1206-3686,181.54858,-8.8015,0.43609,3
mc1206-3687,181.54277,-8.80153,0.4386,2
mc1206-3694,181.55522,-8.80106,5.7025,2
mc1206-3698,181.56223,-8.80259,0.420329,3
mc1206-3705,181.55153,-8.80092,4.0727,3
mc1206-3710,181.55409,-8.80149,0.4155,3
mc1206-3715,181.55328,-8.80157,0.4437,3
mc1206-3718,181.56426,-8.80135,0.7343,3
mc1206-3725,181.54247,-8.80131,0.4236,3
mc1206-3728,181.55453,-8.8011,1.4865,3
mc1206-3748,181.55904,-8.80143,2.504,1
mc1206-3749,181.55985,-8.80158,0.4341,3
mc1206-3753,181.54104,-8.80232,0.434519,3
mc1206-3791,181.55588,-8.80121,0.2291,3
mc1206-3794,181.55254,-8.80059,1.4268,3
mc1206-3806,181.57105,-8.80166,1.0085,3
mc1206-3813,181.54492,-8.80065,0.4432,3
mc1206-3814,181.55889,-8.80103,0.4396,2
mc1206-3822,181.55327,-8.8002,3.3896,2
mc1206-3826,181.55214,-8.80058,-0.000411,3
mc1206-3829,181.56969,-8.80024,0.1835,3
mc1206-3831,181.55222,-8.8004,1.4259,3
mc1206-3833,181.55292,-8.80133,0.439,3
mc1206-3836,181.54517,-8.80179,0.4375,3
mc1206-3837,181.54935,-8.80064,0.4399,3
mc1206-3838,181.54921,-8.80061,0.4395,3
mc1206-3840,181.56449,-8.80116,1.3619,3
mc1206-3841,181.56872,-8.80084,0.8078,3
mc1206-3842,181.55514,-8.80081,0.4363,3
mc1206-3849,181.54559,-8.8009,0.4457,3
mc1206-3863,181.56707,-8.80175,0.4403,3
mc1206-3865,181.55132,-8.80033,1.4259,3
mc1206-3871,181.57102,-8.80055,0.4505,1
mc1206-3880,181.56079,-8.80087,0.44,3
mc1206-3891,181.53375,-8.80053,0.9828,3
mc1206-3904,181.54244,-8.80012,0.4388,2
mc1206-3907,181.55404,-8.80036,0.4444,3
mc1206-3908,181.53647,-8.79975,5.3424,1
mc1206-3909,181.54762,-8.79981,1.0436,3
mc1206-3914,181.56935,-8.80051,0.1834,3
mc1206-3915,181.54191,-8.79998,0.4384,2
mc1206-3934,181.54511,-8.80279,1.0364,3
mc1206-3935,181.57043,-8.80036,2.2176,3
mc1206-3940,181.56784,-8.80082,0.4388,3
mc1206-3979,181.55049,-8.7998,2.54,1
mc1206-3986,181.55696,-8.79942,3.820319,2
mc1206-3996,181.5496,-8.79929,1.0122,3
mc1206-4005,181.54891,-8.80008,1.4251,3
mc1206-4007,181.5538,-8.80005,0.4511,3
mc1206-4008,181.54203,-8.79938,0.4203,3
mc1206-4010,181.55477,-8.79989,2.540481,3
mc1206-4079,181.5514,-8.79973,0.4264,3
mc1206-4160,181.55064,-8.80094,0.4392,3
mc1206-6571,181.54546,-8.78962,3.38808,2
mc1206-6625,181.54173,-8.78986,0.4706,3
mc1206-6640,181.54835,-8.79005,1.2093,3
mc1206-6681,181.54367,-8.79053,0.4339,3
mc1206-6725,181.55629,-8.79059,0.4291,3
mc1206-6727,181.54781,-8.79065,0.4185,2
mc1206-6749,181.53879,-8.79099,0.7335,3
mc1206-6751,181.53877,-8.79125,0.7332,3
mc1206-6782,181.54113,-8.79107,-0.000372,3
mc1206-6784,181.56625,-8.79112,0.6938,3
mc1206-6798,181.54811,-8.79122,0.4374,2
mc1206-6818,181.54163,-8.79129,0.7341,3
mc1206-6830,181.53952,-8.79175,0.4496,3
mc1206-6832,181.55653,-8.79148,0.4223,3
mc1206-6835,181.56687,-8.79161,0.6045,3
mc1206-6845,181.54432,-8.79141,4.2923,3
mc1206-6891,181.56716,-8.79179,0.604675,3
mc1206-6903,181.55443,-8.79177,1.4253,3
mc1206-6913,181.5547,-8.79196,1.4258,3
mc1206-6915,181.541,-8.79235,0.4275,3
mc1206-6948,181.55037,-8.79202,0.4289,3
mc1206-6954,181.54123,-8.79222,0.42745,3
mc1206-6963,181.54279,-8.79206,1.72,2
mc1206-6985,181.55139,-8.7924,0.417,3
mc1206-7000,181.54976,-8.7925,0.4325,3
mc1206-7006,181.53604,-8.79257,0.9845,3
mc1206-7012,181.5669,-8.79264,1.0123,3
mc1206-7028,181.56663,-8.79253,0.5859,3
mc1206-7036,181.55312,-8.79301,0.4227,3
mc1206-7038,181.53647,-8.79266,0.4353,3
mc1206-7055,181.54854,-8.79275,0.3057,3
mc1206-7072,181.56777,-8.79304,0.5717,3
mc1206-7074,181.54261,-8.79303,0.4465,3
mc1206-7098,181.54676,-8.79313,1.9605,3
mc1206-7101,181.55112,-8.79323,0.4361,2
mc1206-7107,181.56549,-8.7932,0.4299,3
mc1206-7119,181.54754,-8.79326,0.362,3
mc1206-7124,181.55217,-8.79354,0.4512,3
mc1206-7126,181.56697,-8.79322,3.833,3
